bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,28bf8180-fe05-4e88-8651-6805b08e3b1c,2113,,,"[63.0, 16.0]",7540,57,,,-0.34302393,,,Head,,,"[77.0, 11.0]",,High Pass,14.866069,,Aleksandr Golovin,5177.0,,,Recovery,2,Regular Play,Yury Gazinskiy,5181.0,Right Defensive Midfield,122,Russia,796,"['71274ec8-a587-4016-93df-e7ea29a6d7e9', 'c7a9086e-4598-480e-b0a5-3c0e734f920a']",16,,,,,,,,,,,,,,,,,,Russia,796,00:12:16.893,Pass,
,,,,,,,,,,,,,0.973,,,,,,,,,,,,,,,2ed6ae40-a536-40ce-93b5-404065566031,2116,,,"[79.0, 11.0]",7540,57,,,0.98279375,,,Right Foot,,,"[87.0, 23.0]",,Ground Pass,14.422205,,Artem Dzyuba,5195.0,,,,2,Regular Play,Aleksandr Golovin,5177.0,Center Attacking Midfield,122,Russia,796,['8c620970-6638-4f5f-b662-603e03021047'],18,,,,,,,,,,,,,,,,,,Russia,796,00:12:18.400,Pass,
,,,,,,,,,,,,,0.933,,,,,,,,,,,,,,,4cb19fa4-c3bc-416f-82cc-0f7d9b7288e3,2120,,,"[87.0, 19.0]",7540,57,,,2.0344439,,True,Right Foot,,,"[83.0, 27.0]",,Ground Pass,8.944272,,Aleksandr Samedov,5182.0,,,,2,Regular Play,Artem Dzyuba,5195.0,Center Forward,122,Russia,796,"['2223382a-382b-4652-8620-9030673f9c9b', '7430c760-20a5-446f-b29b-6a5b8dadd615']",19,,,,,,,,,,,,,,,,,,Russia,796,00:12:19.600,Pass,True
,,,,,,,,,,,,,1.173,,,,,,,,,,,,,,,3f0a918a-e57e-47d2-9da6-5c23c7173d92,2126,,,"[97.0, 26.0]",7540,57,,,-0.87605804,,,Right Foot,,,"[107.0, 14.0]",,Ground Pass,15.6205,,Denis Cheryshev,5186.0,,,,2,Regular Play,Aleksandr Samedov,5182.0,Right Wing,122,Russia,796,['3615a4d6-a2fb-4c3f-b5ec-0a34285a5feb'],23,,,,,,,,,,,,,,,,,,Russia,796,00:12:23.400,Pass,
,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,841a34c5-0d60-4c3c-b250-ee6d685c8547,2129,,,"[107.0, 14.0]",7540,57,,,1.2827408,,,Left Foot,True,,"[115.0, 41.0]",,High Pass,28.160255,Incomplete,Artem Dzyuba,5195.0,,,,2,Regular Play,Denis Cheryshev,5186.0,Left Wing,122,Russia,796,"['4d12e950-7a39-4243-a38d-4453520a9bb5', '8a21ca12-2582-407b-a0f9-6081659cd472']",25,,,,,,,,,,,,,,,,,,Russia,796,00:12:25.520,Pass,
,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,29cee7b8-6819-4fcf-a4da-7348509c7bb4,2132,,,"[99.0, 41.0]",7540,57,,,0.0,,,Head,,,"[99.0, 41.0]",,High Pass,0.0,Incomplete,Aleksandr Samedov,5182.0,,,Recovery,2,Regular Play,Yury Gazinskiy,5181.0,Right Defensive Midfield,122,Russia,796,"['01e0a633-34fd-46a2-b784-29fbe35dc376', '4db04adb-3691-4be0-8ba2-75252993bebe']",28,,,,,,,,,,,,,,,,,,Russia,796,00:12:28.280,Pass,
,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,99db1600-8c18-485d-a38b-dad4ee574590,2138,,,"[24.0, 1.0]",7540,57,,,0.5880026,,,Left Foot,,,"[27.0, 3.0]",,High Pass,3.6055512,Incomplete,,,,,Recovery,2,Regular Play,Mohamed Abdul Shafy Sayed Abouezeid,5263.0,Left Back,122,Russia,796,"['685dcad8-dbd6-4cdf-96f9-050c870665a1', '8124ef20-a019-4567-871b-9736bc2c5f4a']",33,,,,,,,,,,,,,,,,,,Egypt,774,00:12:33.440,Pass,True
,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,1b5c45a4-4a47-4b14-9b88-eeee842293bb,2140,,,"[35.0, 2.0]",7540,57,,,0.0,,,,,,"[64.0, 2.0]",,High Pass,29.0,Incomplete,Marwan Mohsen,5252.0,,,Throw-in,2,From Throw In,Mohamed Abdul Shafy Sayed Abouezeid,5263.0,Left Back,123,Egypt,774,"['540db7a5-0d39-4a54-8753-9d44a1686dc4', 'dd164d1f-4172-41cc-b866-566fef6831c0']",47,,,,,,,,,,,,,,,,,,Egypt,774,00:12:47.040,Pass,
,,,,,,,,,,,,,1.573,,,,,,,,,,,,,,,dd164d1f-4172-41cc-b866-566fef6831c0,2143,,,"[63.0, 77.0]",7540,57,,True,-0.4636476,,,,,,"[67.0, 75.0]",,High Pass,4.472136,Incomplete,Yury Gazinskiy,5181.0,,,Recovery,2,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,123,Egypt,774,"['046d2686-6627-4c10-8857-97ab7ef937b6', '0f7d459a-6644-405f-83d8-178cfaf2c04d', '1b5c45a4-4a47-4b14-9b88-eeee842293bb', 'b7818081-28e5-46c7-bb83-c30a25204281']",48,,,,,,,,,,,,,,,,,,Russia,796,00:12:48.840,Pass,True
,,,,,,,,,,,,,1.386,,,,,,,,,,,,,,,0f7d459a-6644-405f-83d8-178cfaf2c04d,2145,,,"[54.0, 6.0]",7540,57,,,-2.863293,,,Right Foot,,,"[40.0, 2.0]",,High Pass,14.56022,Out,,,,,Recovery,2,From Throw In,Abdalla Mahmoud El Said Bekhit,5251.0,Center Attacking Midfield,123,Egypt,774,['dd164d1f-4172-41cc-b866-566fef6831c0'],50,,,,,,,,,,,,,,,,,,Egypt,774,00:12:50.413,Pass,
,,,,,,,,,,,,,0.707,,,,,,,,,,,,,,,f3eb4f8a-c634-4487-8958-5ad43a660ed9,2146,,,"[91.0, 80.0]",7540,58,,,-1.3521274,,,,,,"[93.0, 71.0]",,High Pass,9.219544,,Aleksandr Golovin,5177.0,,,Throw-in,2,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,124,Russia,796,['02e68f14-07df-48d7-89ab-f7327ed910db'],14,,,,,,,,,,,,,,,,,,Russia,796,00:13:14.973,Pass,
,,,,,,,,,,,,,0.853,,,,,,,,,,,,,,,b60d4891-4df4-458b-95b1-5d16309512c5,2149,,,"[93.0, 67.0]",7540,58,,,1.6539376,,,Right Foot,,,"[92.0, 79.0]",,Ground Pass,12.0415945,,Mário Figueira Fernandes,5170.0,,,,2,From Throw In,Aleksandr Golovin,5177.0,Center Attacking Midfield,124,Russia,796,"['5d616b3d-e18d-4f43-a8b1-a5c91941d38b', 'e75886f1-483b-41ad-8146-4f96f817a516']",15,,,,,,,,,,,,,,,,,,Russia,796,00:13:15.680,Pass,True
,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,043476f1-59f2-4a74-bd91-0654edd658da,2152,,,"[92.0, 79.0]",7540,58,,,0.0,,,Left Foot,,,"[98.0, 79.0]",,Ground Pass,6.0,Incomplete,Aleksandr Samedov,5182.0,,,,2,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,124,Russia,796,"['5e8999ea-4cb2-4540-8a9e-bdb21b919ac8', 'f05eb5f7-215f-4f83-abc7-da39d57a288b']",17,,,,,,,,,,,,,,,,,,Russia,796,00:13:17.280,Pass,
,,,,,,,,,,,,,1.493,,,,,,,,,,,,,,,f05eb5f7-215f-4f83-abc7-da39d57a288b,2154,,,"[23.0, 2.0]",7540,58,,,0.04542328,,,Left Foot,,,"[45.0, 3.0]",,Ground Pass,22.022715,Incomplete,Marwan Mohsen,5252.0,,,Recovery,2,From Throw In,Mahmoud Ibrahim Hassan,5261.0,Left Wing,124,Russia,796,"['043476f1-59f2-4a74-bd91-0654edd658da', '097217a0-a4cc-4cf4-822c-bf9df2cb78c1', '5ac0207a-7335-4f3c-b257-0b37e9d32595']",18,,,,,,,,,,,,,,,,,,Egypt,774,00:13:18.000,Pass,
,,,,,,,,,,,,,1.413,,,,,,,,,,,,,,,13b2b7f1-50ee-4628-a7d3-270c8aaf3acb,2158,,,"[73.0, 77.0]",7540,58,,,-3.0648208,,,Left Foot,,,"[60.0, 76.0]",,Ground Pass,13.038404,,Ilya Kutepov,5175.0,,,,2,From Throw In,Roman Zobnin,5171.0,Left Defensive Midfield,124,Russia,796,['82400c31-1b87-48fd-ab0c-f7d07f556688'],20,,,,,,,,,,,,,,,,,,Russia,796,00:13:20.920,Pass,
,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,14981804-6b5b-4d4a-b177-a6f5e92e1023,2160,,,"[61.0, 78.0]",7540,58,,,-1.9055332,,,Right Foot,,,"[53.0, 55.0]",,Ground Pass,24.351591,,Sergei Ignashevich,5174.0,,,,2,From Throw In,Ilya Kutepov,5175.0,Right Center Back,124,Russia,796,['101bab9d-af30-47f7-a0c4-e1145e209b04'],22,,,,,,,,,,,,,,,,,,Russia,796,00:13:22.333,Pass,
,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,b4051a3f-019c-4498-84fa-5a898db20b4f,2163,,,"[53.0, 54.0]",7540,58,,,-0.029403288,,,Right Foot,,,"[87.0, 53.0]",,High Pass,34.0147,Incomplete,Artem Dzyuba,5195.0,,,,2,From Throw In,Sergei Ignashevich,5174.0,Left Center Back,124,Russia,796,"['45125ef0-cca9-41f2-90f6-fa2a881b8034', '70dc8693-4a54-41bf-a613-ac80503a661b', 'b7649060-73de-4a20-b7a5-ad028cfd830e']",23,,,,,,,,,,,,,,,,,,Russia,796,00:13:23.733,Pass,True
,,,,,,,,,,,,,2.467,,,,,,,,,,,,,,,70dc8693-4a54-41bf-a613-ac80503a661b,2165,,,"[34.0, 28.0]",7540,58,,,1.4601392,,,Head,,,"[36.0, 46.0]",,High Pass,18.110771,Incomplete,Ahmed Fathy Abdel Meneim Ibrahim,5250.0,,,Recovery,2,From Throw In,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Left Center Back,124,Russia,796,"['92c290fc-76b0-46a5-a3f8-27a367423e36', 'ab6894c7-2d58-4c05-a09e-e03dbd8d72b8', 'b4051a3f-019c-4498-84fa-5a898db20b4f']",25,,,,,,,,,,,,,,,,,,Egypt,774,00:13:25.493,Pass,
,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,92c290fc-76b0-46a5-a3f8-27a367423e36,2167,,,"[85.0, 35.0]",7540,58,,,0.8850668,,,Head,,,"[94.0, 46.0]",,High Pass,14.21267,,Artem Dzyuba,5195.0,,,Recovery,2,From Throw In,Denis Cheryshev,5186.0,Left Wing,124,Russia,796,"['70dc8693-4a54-41bf-a613-ac80503a661b', 'c4a78df5-e4d0-4bd6-825c-770c15338a81']",27,,,,,,,,,,,,,,,,,,Russia,796,00:13:27.960,Pass,
,,,,,,,,,,,,,3.359,,,,,,,,,,,,,,,84e653dc-7ba6-4fa7-8df2-4e8042d65df5,2170,,,"[94.0, 43.0]",7540,58,,,1.1193433,,,Right Foot,,,"[110.0, 76.0]",,High Pass,36.67424,,Aleksandr Samedov,5182.0,,,,2,From Throw In,Artem Dzyuba,5195.0,Center Forward,124,Russia,796,['0f6d7f51-4f65-4f8a-8692-47078b1576f9'],29,,,,,,,,,,,,,,,,,,Russia,796,00:13:29.613,Pass,
,,,,,,,,,,,,,1.093,,,,,,,,,,,,,,,b1399d2b-a22d-4f09-9925-2864921b17d2,2173,,,"[110.0, 75.0]",7540,58,,,-1.5707964,,,Right Foot,,,"[110.0, 62.0]",,Ground Pass,13.0,,Mário Figueira Fernandes,5170.0,,,,2,From Throw In,Aleksandr Samedov,5182.0,Right Wing,124,Russia,796,['108a223f-29f8-4949-8752-f72141f3f27a'],34,,,,,,,,,,,,,,,,,,Russia,796,00:13:34.520,Pass,
,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,7d26b207-eb03-4d9e-afc0-f6883674fb2f,2176,,,"[116.0, 60.0]",7540,58,,,-1.9756881,a5baa866-445c-4fec-a109-11b5ab0c080b,,Right Foot,True,True,"[110.0, 46.0]",True,Ground Pass,15.231546,,Denis Cheryshev,5186.0,,,,2,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,124,Russia,796,['177b8ae9-45d0-41ab-b1b0-cad679d1597e'],37,,,,,,,,,,,,,,,,,,Russia,796,00:13:37.120,Pass,
,,,,,,,,,,,,,3.127,,,,,,,,,,,,,,,e18a8213-46f2-40a3-8f38-ba9619897bb3,2180,,,"[6.0, 40.0]",7540,60,,,0.112028964,,,Right Foot,,,"[86.0, 49.0]",,High Pass,80.50466,Incomplete,Artem Dzyuba,5195.0,,,Goal Kick,2,From Goal Kick,Igor Akinfeev,5172.0,Goalkeeper,125,Russia,796,"['8539b69c-4704-4c46-936c-1fb23fd1e50f', 'c377fa77-5430-4a79-9806-0906b6acd725']",17,,,,,,,,,,,,,,,,,,Russia,796,00:15:17.773,Pass,
,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,c377fa77-5430-4a79-9806-0906b6acd725,2182,,,"[35.0, 32.0]",7540,60,,,2.3561945,,,Other,,,"[34.0, 33.0]",,High Pass,1.4142135,,Tarek Hamed,5262.0,,,Recovery,2,Regular Play,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Left Center Back,126,Egypt,774,"['846aebba-03ac-439f-9d11-2701fb4745f5', 'e18a8213-46f2-40a3-8f38-ba9619897bb3']",20,,,,,,,,,,,,,,,,,,Egypt,774,00:15:20.900,Pass,
,,,,,,,,,,,,,1.533,,,,,,,,,,,,,,,3288f806-ff9b-474d-9bbe-bb6c755d8ee5,2184,,,"[35.0, 37.0]",7540,60,,,-1.9074712,,,Head,,,"[28.0, 17.0]",,High Pass,21.189621,,Mohamed Abdul Shafy Sayed Abouezeid,5263.0,,,,2,Regular Play,Tarek Hamed,5262.0,Left Defensive Midfield,126,Egypt,774,['1ca64ca0-26a9-4ef8-b18b-959c1fa60ae2'],22,,,,,,,,,,,,,,,,,,Egypt,774,00:15:22.960,Pass,
,,,,,,,,,,,,,3.293,,,,,,,,,,,,,,,2d4dedc9-9bd5-4a72-ab7e-7642d2514e45,2188,,,"[28.0, 16.0]",7540,60,,,-0.24497867,,,Left Foot,,,"[68.0, 6.0]",,Low Pass,41.231056,Incomplete,Mahmoud Ibrahim Hassan,5261.0,,,,2,Regular Play,Mohamed Abdul Shafy Sayed Abouezeid,5263.0,Left Back,126,Egypt,774,"['6e7a11d9-4c1a-44c4-9638-b9434611f1b4', 'b11c3d3c-14ed-4403-a839-c84e77593b31', 'b2c46787-63aa-4a83-a0b9-696cd3585ee9']",25,,,,,,,,,,,,,,,,,,Egypt,774,00:15:25.200,Pass,True
,,,,,,,,,,,,,0.733,,,,,,,,,,,,,,,dcb03169-ea3e-498e-915e-1e76515f94d0,2192,,,"[53.0, 75.0]",7540,60,,,-1.5707964,,,Right Foot,,,"[53.0, 65.0]",,Ground Pass,10.0,,Yury Gazinskiy,5181.0,,,,2,Regular Play,Mário Figueira Fernandes,5170.0,Right Back,126,Egypt,774,['5a9c8447-c661-45d9-b463-604a9df9d95e'],29,,,,,,,,,,,,,,,,,,Russia,796,00:15:29.560,Pass,
,,,,,,,,,,,,,1.173,,,,,,,,,,,,,,,1af269c7-0365-4347-ae54-e1bdb7eaabae,2196,,,"[51.0, 67.0]",7540,60,,,2.1995926,,,Right Foot,,,"[43.0, 78.0]",,Ground Pass,13.601471,Incomplete,Ilya Kutepov,5175.0,,,,2,Regular Play,Yury Gazinskiy,5181.0,Right Defensive Midfield,126,Egypt,774,"['1640f630-a8bd-4de7-a029-c4dc426c566c', 'ca66f46e-a098-471d-bcca-2df7353b8825']",32,,,,,,,,,,,,,,,,,,Russia,796,00:15:32.360,Pass,
,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,ca66f46e-a098-471d-bcca-2df7353b8825,2198,,,"[78.0, 3.0]",7540,60,,,0.14189705,,,Right Foot,,,"[85.0, 4.0]",,Ground Pass,7.071068,,Mahmoud Ibrahim Hassan,5261.0,,,Recovery,2,Regular Play,Marwan Mohsen,5252.0,Center Forward,126,Egypt,774,"['1af269c7-0365-4347-ae54-e1bdb7eaabae', '5dcf19e8-9942-4012-af92-5b8c14e43112']",33,,,,,,,,,,,,,,,,,,Egypt,774,00:15:33.533,Pass,
