ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,e8c79806-546a-4a19-8dc0-e188aafda85d,1,,,8650,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,3.039,,,,,,,,,,,,,be44ebee-c417-4f7c-b415-ac30848355cf,2,,,8650,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'jersey_number': 7}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,8.013,,,,,,,,,,,,,e9107c14-7357-4cde-bb95-c28ba82feba1,3,,,8650,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['4bcd3352-342f-4b93-8e6a-4052a97e8c4b'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,9.0,,,,,,,,,,,,,4bcd3352-342f-4b93-8e6a-4052a97e8c4b,4,,,8650,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['e9107c14-7357-4cde-bb95-c28ba82feba1'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,67183014-42a2-4174-8947-02af3ffa879f,1821,,,8650,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Brazil,781,['09d4c265-eab3-4bb3-91f6-c30002862938'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,09d4c265-eab3-4bb3-91f6-c30002862938,1822,,,8650,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Brazil,781,['67183014-42a2-4174-8947-02af3ffa879f'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,1.173,,,,,,,,,,,,,52e9ed8e-a8d1-40fb-ab0d-69d9779d6acb,5,,"[60.0, 40.0]",8650,0,,-2.9996955,,,Right Foot,,,,"[39.0, 37.0]",,Ground Pass,21.213203,,Fernando Luiz Rosa,3054.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Brazil,781,['13516f9b-d510-49eb-b7f7-2796c6b7cb83'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.340,Pass,
,,,,,,,,,,1.133,,,,,,,,,,,,,277e6965-10b8-41bf-83f1-dc8bbf7ebbc3,8,,"[39.0, 39.0]",8650,0,,-0.8329813,,,Right Foot,,,,"[49.0, 28.0]",,Ground Pass,14.866069,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Fernando Luiz Rosa,3054.0,Center Midfield,2,Brazil,781,['8b0f67bb-3360-455d-a8c2-5e88f63ddc0f'],2,,,,,,,,,,,,,,,,,Brazil,781,00:00:02.460,Pass,
,,,,,,,,,,1.333,,,,,,,,,,,,,a587c4bc-8ce6-44a7-b290-ddca5e6ecbb5,11,,"[48.0, 27.0]",8650,0,,2.5213432,,,Right Foot,,,,"[41.0, 32.0]",,Ground Pass,8.602325,,Fernando Luiz Rosa,3054.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Midfield,2,Brazil,781,['9d5db520-0337-43d3-b9d0-a120760fa799'],3,,,,,,,,,,,,,,,,,Brazil,781,00:00:03.620,Pass,
,,,,,,,,,,1.253,,,,,,,,,,,,,7144ba58-efd6-4cc8-a920-4144e89ca6c7,14,,"[42.0, 33.0]",8650,0,,-1.6207547,,,Right Foot,,,,"[41.0, 13.0]",,Ground Pass,20.024984,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,From Kick Off,Fernando Luiz Rosa,3054.0,Center Midfield,2,Brazil,781,['3dbf9b8f-9345-4fd8-9a56-23a8a14444a8'],5,,,,,,,,,,,,,,,,,Brazil,781,00:00:05.060,Pass,
,,,,,,,,,,1.533,,,,,,,,,,,,,39a4bd55-cc31-4320-8115-a1febcf14f10,17,,"[40.0, 14.0]",8650,0,,2.5899377,,,Left Foot,,,,"[27.0, 22.0]",,Ground Pass,15.264338,,João Miranda de Souza Filho,5551.0,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Brazil,781,['b6dbed0a-f832-4e7f-8e47-467c36566cd2'],7,,,,,,,,,,,,,,,,,Brazil,781,00:00:07.700,Pass,
,,,,,,,,,,1.375,,,,,,,,,,,,,1eb0b970-65ae-42f5-8a8f-bbd58ed5f876,20,,"[26.0, 22.0]",8650,0,,1.5208379,,,Right Foot,,,,"[27.0, 42.0]",,Ground Pass,20.024984,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,João Miranda de Souza Filho,5551.0,Left Center Back,2,Brazil,781,['c6883e3d-cfae-44f5-8d58-122fc7006ac4'],9,,,,,,,,,,,,,,,,,Brazil,781,00:00:09.620,Pass,
,,,,,,,,,,1.773,,,,,,,,,,,,,24ebc880-bf76-4553-9ac9-57a81cb9276c,23,,"[27.0, 44.0]",8650,0,,1.3439975,,,Right Foot,,,,"[33.0, 70.0]",,Ground Pass,26.683329,,Fágner Conserva Lemos,5838.0,,,,,,1,From Kick Off,Thiago Emiliano da Silva,3295.0,Right Center Back,2,Brazil,781,['a1f90ccc-70ef-4cca-8597-4bf34f4b0276'],12,,,,,,,,,,,,,,,,,Brazil,781,00:00:12.180,Pass,
,,,,,,,,,,0.972,,,,,,,,,,,,,9e616751-7478-4871-b6d4-034ef99da74b,26,,"[32.0, 69.0]",8650,0,,-1.8692952,,,Right Foot,,,,"[28.0, 56.0]",,Ground Pass,13.601471,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,Fágner Conserva Lemos,5838.0,Right Back,2,Brazil,781,['0a3b2a67-ef20-46e9-89ff-67903616ddf5'],14,,,,,,,,,,,,,,,,,Brazil,781,00:00:14.820,Pass,
