50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,de3be98d-e227-475b-bd55-f57a6a89d308,1,,,7585,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.754,,,,,,,,,,,,,,f50ccda4-b768-4f07-9136-8f79fd17dac5,2,,,7585,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,9.32,,,,,,,,,,,,,,b5e98805-0a22-4a5e-a306-7d40651a0f6e,3,,,7585,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['762b829f-5f24-4dd7-bfe2-da7e289838bb'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.053,,,,,,,,,,,,,,762b829f-5f24-4dd7-bfe2-da7e289838bb,4,,,7585,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['b5e98805-0a22-4a5e-a306-7d40651a0f6e'],0,,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,8.72,,,,,,,,,,,,,,6b533c4f-e8c3-4e13-94ba-791f140db2b3,1652,,,7585,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,England,768,['93a59d43-26aa-42cd-b899-b64db777f85e'],0,,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,93a59d43-26aa-42cd-b899-b64db777f85e,1653,,,7585,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,England,768,['6b533c4f-e8c3-4e13-94ba-791f140db2b3'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.72,,,,,,,,,,,,,,cb8c1e6c-79eb-4d42-9ad0-c4f5c558fe29,2959,,,7585,90,,,,,,,,,,,,,,,,,,3,Regular Play,,,,155,Colombia,769,['1c34cf78-bc1e-4821-b230-ab1df1c42133'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,1c34cf78-bc1e-4821-b230-ab1df1c42133,2960,,,7585,90,,,,,,,,,,,,,,,,,,3,Regular Play,,,,155,Colombia,769,['cb8c1e6c-79eb-4d42-9ad0-c4f5c558fe29'],0,,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,8.04,,,,,,,,,,,,,,a7dfd8b7-b5bc-4095-a2fc-4c1aafbd6782,3484,,,7585,105,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,180,England,768,['e7894158-8640-4eed-ae62-388c6e623dd3'],0,,,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,7.933,,,,,,,,,,,,,,e7894158-8640-4eed-ae62-388c6e623dd3,3485,,,7585,105,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,180,England,768,['a7dfd8b7-b5bc-4095-a2fc-4c1aafbd6782'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
