50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,42.346,,,,,,,,,,,9b59514c-066d-4365-b8ec-c573d2e38ea8,1,,,7572,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3175, 'name': 'Eiji Kawashima'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6338, 'name': 'Tomoaki Makino'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5694, 'name': 'Hotaru Yamaguchi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6191, 'name': 'Takashi Usami'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,ba787392-97d1-486e-b47b-3fb54d57f137,2,,,7572,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4685, 'name': 'Artur Jędrzejczyk'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6336, 'name': 'Rafał Kurzawa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Poland,789,00:00:00.000,Starting XI,
,,,,,,,,,,,9.76,,,,,,,,,,,33303a51-d067-491f-b284-259c651e48a0,3,,,7572,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['1b29d6b4-99d8-4cf0-9349-87690fa04702'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,1b29d6b4-99d8-4cf0-9349-87690fa04702,4,,,7572,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['33303a51-d067-491f-b284-259c651e48a0'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,9e690225-ce7d-429e-9991-f6c092b138b2,1862,,,7572,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Poland,789,['589ff2fe-5e50-442f-9758-ef9da2dbf9fe'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,589ff2fe-5e50-442f-9758-ef9da2dbf9fe,1863,,,7572,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Poland,789,['9e690225-ce7d-429e-9991-f6c092b138b2'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,1.28,,,,,,,,,,,784c635c-77cb-460b-a1f3-899a64b8549f,5,,"[61.0, 40.0]",7572,0,,-2.9078496,,,Left Foot,,,,"[40.0, 35.0]",,Ground Pass,21.587032,,Grzegorz Krychowiak,3637.0,,,Kick Off,1,From Kick Off,Piotr Zieliński,5660.0,Center Attacking Midfield,2,Poland,789,['1677a6cf-5f7e-44f0-a67c-61b0b84ac868'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.010,Pass,
,,,,,,,,,,,1.8,,,,,,,,,,,8b992474-0c1c-4804-bf72-1b3381f81b6b,9,,"[40.0, 35.0]",7572,0,,0.7431698,,,Right Foot,,,,"[77.0, 69.0]",,High Pass,50.24938,Incomplete,Rafał Kurzawa,6336.0,,,,1,From Kick Off,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,2,Poland,789,"['26777005-1665-4150-892d-e9626d5bd0c0', '971015e0-95a3-4db4-93f0-954995c54519', 'ded1c7ab-3136-47aa-8389-4529e7e5425b']",2,,,,,,,,,,,,,,,,,Poland,789,00:00:02.530,Pass,True
,,,,,,,,,,,1.733,,,,,,,,,,,ded1c7ab-3136-47aa-8389-4529e7e5425b,11,,"[44.0, 12.0]",7572,0,,-2.3086114,,,Head,,,,"[34.0, 1.0]",,High Pass,14.866069,Out,,,,,Recovery,1,From Kick Off,Takashi Usami,6191.0,Left Midfield,2,Poland,789,['8b992474-0c1c-4804-bf72-1b3381f81b6b'],4,,,,,,,,,,,,,,,,,Japan,778,00:00:04.330,Pass,
,,,,,,,,,,,2.08,,,,,,,,,,,b31a46ac-3eda-44b9-9491-e0372ae30409,12,,"[87.0, 80.0]",7572,0,,-3.034857,,,,,,,"[59.0, 77.0]",,Low Pass,28.160255,,Kamil Glik,3034.0,,,Throw-in,1,From Throw In,Bartosz Bereszyński,5673.0,Right Back,3,Poland,789,['a799fe03-bcdd-4731-ae11-c6734213a0fe'],13,,,,,,,,,,,,,,,,,Poland,789,00:00:13.250,Pass,
