ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,28162464-22d8-4405-96a1-fd3e62ef6924,2210,,,"[91.0, 44.0]",7538,66,,,,,,,,,,,,,,,,,,2,Regular Play,Ola Toivonen,4417.0,Left Center Forward,126,Sweden,790,['e59191f1-4ee2-4387-8809-bfe1dafbf456'],50,,,,,,,,,,,,,,,,,Sweden,790,00:21:50.119,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,7a69b387-0e7f-4952-a312-ecc8421f4b81,2213,,,"[102.0, 37.0]",7538,66,,,,,,,,,,,,,,,,,,2,Regular Play,Marcus Berg,11098.0,Right Center Forward,126,Sweden,790,['9ffb32fc-137f-48d7-b821-0edd06d3cec8'],51,,,,,,,,,,,,,,,,,Sweden,790,00:21:51.933,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,7d855b13-ae58-4061-b4a3-4f44c86804e4,2219,,,"[14.0, 65.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Hyun-Soo Jang,5606.0,Right Center Back,127,South Korea,791,['ae06e6f8-a39b-4bf6-b98e-94da65406b92'],2,,,,,,,,,,,,,,,,,South Korea,791,00:22:02.493,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,76a27302-2ffb-45c3-a052-b046062afc16,2222,,,"[13.0, 20.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Young-Gwon Kim,5604.0,Left Center Back,127,South Korea,791,['4d03547c-bbe6-4805-96d4-070f080be6d1'],5,,,,,,,,,,,,,,,,,South Korea,791,00:22:05.693,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,e98bb59d-0901-4ea0-9684-da1dc9b68a88,2226,,,"[9.0, 42.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Hyeon-Woo Jo,5619.0,Goalkeeper,127,South Korea,791,['6f7d2f3f-4b5d-4552-a93d-471689893dce'],8,,,,,,,,,,,,,,,,,South Korea,791,00:22:08.493,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,00697f60-d63e-443e-a1ca-55551ab9c661,2229,,,"[17.0, 75.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Hyun-Soo Jang,5606.0,Right Center Back,127,South Korea,791,['00f0b008-1d5d-4945-a009-89345db06926'],11,,,,,,,,,,,,,,,,,South Korea,791,00:22:11.813,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,cc277955-6b30-49e3-9f06-54081a18cc2d,2232,,,"[75.0, 56.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Woo-Young Jung,5618.0,Left Center Midfield,127,South Korea,791,['8a30769d-4ac9-48b3-96ae-f7dbc2131103'],16,,,,,,,,,,,,,,,,,South Korea,791,00:22:16.320,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,4d07063d-d140-4d24-a45c-2147e0ee6aab,2235,,,"[65.0, 21.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Left Midfield,127,South Korea,791,['b9dd9adf-1bda-4725-8edc-638ac746e001'],18,,,,,,,,,,,,,,,,,Sweden,790,00:22:18.453,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,26f3210e-a9af-46cc-b257-ec83338af9f8,2237,,,"[73.0, 65.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Jae-Sung Lee,5623.0,Right Wing,127,South Korea,791,['0a22188f-c054-4f6e-9c6a-d72fc5b52198'],19,,,,,,,,,,,,,,,,,South Korea,791,00:22:19.333,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,665aa042-f9b0-4638-8050-78cd7a1cbe6d,2243,,,"[65.0, 3.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Left Midfield,128,Sweden,790,['1dba0f8a-0b85-4e93-9906-2cdf296f44fc'],23,,,,,,,,,,,,,,,,,Sweden,790,00:22:23.533,Ball Receipt*,
