50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af7f62a3-454a-4645-956e-d45a8841cbd4,1,,,,7555,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Poland,789,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ecf8605a-6df7-4ca9-8d84-0a2b01bcefb1,2,,,,7555,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,8.28,,,,,,,,,,,,850e2104-b485-443b-bfde-88924696641d,3,,,,7555,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['916afda4-2f14-46b4-8ec4-707acf974388'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,9.135,,,,,,,,,,,,916afda4-2f14-46b4-8ec4-707acf974388,4,,,,7555,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['850e2104-b485-443b-bfde-88924696641d'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,f881b808-0c6b-49ad-b3be-5eac9716f7af,1862,,,,7555,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Colombia,769,['78da185b-80c2-4f5b-8ef8-da8e368a1bed'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,78da185b-80c2-4f5b-8ef8-da8e368a1bed,1863,,,,7555,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Colombia,769,['f881b808-0c6b-49ad-b3be-5eac9716f7af'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.44,,,,,,,,,,,,a19a8b03-137f-4c46-92f9-3a2d4f47dea5,5,,,"[60.0, 41.0]",7555,0,,,-3.0466409,,,Right Foot,,,,"[39.0, 39.0]",,Ground Pass,21.095022,,Jan Bednarek,4626.0,,,Kick Off,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Poland,789,['18c61f9d-6294-482b-ac3f-a9a483fed5c5'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.020,Pass,
,,,,,,,,,,,,,,3.253,,,,,,,,,,,,9e588591-7fe9-464e-8b9e-8590d05be7d3,9,,,"[42.0, 41.0]",7555,0,,,0.5966604,,,Right Foot,,,,"[95.0, 77.0]",,High Pass,64.070274,Incomplete,Dawid Kownacki,5666.0,,,,1,From Kick Off,Jan Bednarek,4626.0,Center Back,2,Poland,789,"['77a4d071-e7a0-428e-9817-a47e26b4a64c', 'b809ba03-d2ea-443e-b627-afd5db772b04', 'e20f506b-be38-4a09-bb0b-c93293bdd3a6']",2,,,,,,,,,,,,,,,,,Poland,789,00:00:02.860,Pass,True
,,,,,,,,,,,,,,1.2,,,,,,,,,,,,77a4d071-e7a0-428e-9817-a47e26b4a64c,11,,,"[26.0, 4.0]",7555,0,,,-0.24497867,,,Head,,,,"[34.0, 2.0]",,High Pass,8.246211,Out,James David Rodríguez Rubio,5695.0,,,Recovery,1,From Kick Off,Johan Andrés Mojica Palacio,5691.0,Left Back,2,Poland,789,"['00b55b1b-c004-45ec-bb4e-f8d3b3dadc0b', '9e588591-7fe9-464e-8b9e-8590d05be7d3']",6,,,,,,,,,,,,,,,,,Colombia,769,00:00:06.113,Pass,
,,,,,,,,,,,,,,1.32,,,,,,,,,,,,1581de5c-9681-4cc0-b8c9-a57fc52906bf,13,,,"[87.0, 80.0]",7555,0,,,-0.7853982,,,,,,,"[103.0, 64.0]",,Low Pass,22.627417,,Robert Lewandowski,5668.0,,,Throw-in,1,From Throw In,Łukasz Piszczek,5658.0,Right Center Back,3,Poland,789,['74d4a9b5-e12a-4d77-a44d-baf53d2ca5d5'],16,,,,,,,,,,,,,,,,,Poland,789,00:00:16.060,Pass,
