50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,d4912d72-5cc8-4bea-a42f-28ca363bcfbc,1,,,,19732,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,44315dbf-ca15-473a-9f16-9730a066a716,2,,,,19732,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,93d842aa-3552-42ca-af93-55c5907419cb,3,,,,19732,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['22260e17-e534-4328-9a6a-83e904214aed'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,22260e17-e534-4328-9a6a-83e904214aed,4,,,,19732,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['93d842aa-3552-42ca-af93-55c5907419cb'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,65b7d891-a606-4bc5-8c6a-5e6bef614552,1636,,,,19732,45,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Liverpool WFC,966,['5d4b55cf-7f47-4e46-b433-bc18b02cad38'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,5d4b55cf-7f47-4e46-b433-bc18b02cad38,1637,,,,19732,45,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Liverpool WFC,966,['65b7d891-a606-4bc5-8c6a-5e6bef614552'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.759554,,,,,,,,,,,,3554a312-6289-4b21-bbe5-f8fa59b465df,5,,,"[60.0, 40.0]",19732,0,,,-2.5213432,,Right Foot,,,,"[53.0, 35.0]",,Ground Pass,8.602325,,Laura Coombs,19416.0,,,Kick Off,1,From Kick Off,Courtney Sweetman-Kirk,15611.0,Center Forward,2,Liverpool WFC,966,['4071a85e-1502-476e-88e5-77b69a087009'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.655,Pass,
,,,,,,,,,,,,1.8647,,,,,,,,,,,,6d0c6e38-487d-41d6-b881-5d84dd3b1b41,8,,,"[52.0, 35.0]",19732,0,,,2.6224465,,Right Foot,,,,"[45.0, 39.0]",,Ground Pass,8.062258,,Sophie Elizabeth Bradley-Auckland,15614.0,,,,1,From Kick Off,Laura Coombs,19416.0,Left Center Midfield,2,Liverpool WFC,966,['4c691a2b-4490-4d9e-8a34-a30ec75de831'],1,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:01.832,Pass,
,,,,,,,,,,,,4.540265,,,,,,,,,,,,235aa3ad-9173-4795-b482-4d5e7387b0af,11,,,"[45.0, 39.0]",19732,0,,,-0.51748776,,Right Foot,,,,"[110.0, 2.0]",,High Pass,74.793045,,Niamh Charles,15631.0,,,,1,From Kick Off,Sophie Elizabeth Bradley-Auckland,15614.0,Right Center Back,2,Liverpool WFC,966,['76fa73b0-82d9-4a4e-9ddf-1a12ea8ab78c'],3,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:03.737,Pass,
,,,,,,,,,,,,0.933,,,,,,,,,,,,4fd69a7b-f568-4a70-8856-2caa54ade5b6,15,,,"[117.0, 14.0]",19732,0,,,1.5707964,,Left Foot,True,,,"[117.0, 34.0]",,High Pass,20.0,Incomplete,Courtney Sweetman-Kirk,15611.0,,,,1,From Kick Off,Niamh Charles,15631.0,Left Wing,2,Liverpool WFC,966,"['1baf48a6-0c92-4825-8873-f51f1eb5dab1', '618081e5-c253-4327-a71a-d98ba48c1796']",12,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:12.314,Pass,
