ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f92d71d-3678-49c2-adca-53d181d83ae7,1,,,19761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,82e3b586-a6b8-4718-a830-a95574bbf54c,2,,,19761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,be81e9b5-ce03-4292-a219-5cc1602c7c10,3,,,19761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['15ec2e79-89ac-43a0-83ff-5ac784f1df2e'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,15ec2e79-89ac-43a0-83ff-5ac784f1df2e,4,,,19761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['be81e9b5-ce03-4292-a219-5cc1602c7c10'],0,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,0623bef7-63b2-4387-b41e-88415f9e16a4,1455,,,19761,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Liverpool WFC,966,['101773e7-115d-4cf5-b8cd-b5362a33fe29'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,101773e7-115d-4cf5-b8cd-b5362a33fe29,1456,,,19761,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Liverpool WFC,966,['0623bef7-63b2-4387-b41e-88415f9e16a4'],0,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,1.7159,,,,,,,,,,,,,d0dba089-8318-4459-b4fd-732eee756e71,5,,"[61.0, 41.0]",19761,0,,,,3.0648208,,,Right Foot,,,,"[48.0, 42.0]",,Ground Pass,13.038404,,Julie Biesmans,10095.0,,,,,Kick Off,1,From Kick Off,Juliette Kemppi,16390.0,Center Forward,2,Bristol City WFC,973,['3d935a26-42c0-47c1-8892-28066d8efb7a'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.276,Pass,
,,,,,,,,,,,,2.0005,,,,,,,,,,,,,b45fc22c-33ce-4e08-9570-b3e1eb83be83,9,,"[50.0, 34.0]",19761,0,,,,-1.8925469,,,Right Foot,,,,"[44.0, 16.0]",,Ground Pass,18.973665,,Poppy Pattinson,17274.0,,,,,,1,From Kick Off,Julie Biesmans,10095.0,Left Center Midfield,2,Bristol City WFC,973,"['13fa7517-fdc9-4d8f-9e95-f9609c5ec01f', '7bfc895c-2146-44ee-b94c-90d6f5ae4f59']",3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.518,Pass,True
,,,,,,,,,,,,2.6478,,,,,,,,,,,,,20d807d0-b5b8-495a-97fa-8471c41fa076,13,,"[48.0, 14.0]",19761,0,,,,-0.32175055,,,Left Foot,,,,"[87.0, 1.0]",,High Pass,41.109608,Out,Lucy Hope,16386.0,,,,,,1,From Kick Off,Poppy Pattinson,17274.0,Left Back,2,Bristol City WFC,973,"['2a87efa6-c8f0-4e0c-9eeb-568f94b01335', 'ee1816ae-d481-42f5-a9c8-1894c7606c48']",6,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.381,Pass,True
,,,,,,,,,,,,1.8274,,,,,,,,,,,,,863876b4-79b1-4dba-ba1b-700b7af2b266,15,,"[38.0, 80.0]",19761,0,,,,-0.32175055,,,,,,,"[59.0, 73.0]",,High Pass,22.135944,Unknown,Courtney Sweetman-Kirk,15611.0,,,,,Throw-in,1,From Throw In,Satara Murray,15629.0,Right Back,3,Liverpool WFC,966,['19b13221-35fe-48eb-a770-b272b77a7bd8'],17,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:17.266,Pass,
