ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,fff61896-bec4-4e03-b804-34a278c63a14,1,,,,19737,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd108d77-2707-416c-9de1-5c10a3acd453,2,,,,19737,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15708, 'name': 'Amy Goddard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15711, 'name': 'Amber Gaylor'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19775, 'name': 'Shannon Albuery'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 29}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0b03954-bc20-4596-a55a-f615ec070a89,3,,,,19737,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['3b07bae3-70dc-48a6-9b9a-38303717ebb3'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b07bae3-70dc-48a6-9b9a-38303717ebb3,4,,,,19737,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['a0b03954-bc20-4596-a55a-f615ec070a89'],0,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,7a4c5630-1f91-492b-9006-a4b02ddbf922,1573,,,,19737,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Liverpool WFC,966,['842eb05a-20bd-4f55-98f5-bd5fd176c595'],0,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,842eb05a-20bd-4f55-98f5-bd5fd176c595,1574,,,,19737,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Liverpool WFC,966,['7a4c5630-1f91-492b-9006-a4b02ddbf922'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,1.335131,,,,,,,,,,,,,9eb5eb6a-b4cd-40c8-9088-749cfdf383a0,5,,,"[61.0, 41.0]",19737,0,,,-2.9147937,,,Right Foot,,,,"[48.0, 38.0]",,Ground Pass,13.341664,,Georgia Evans,15707.0,,,Kick Off,1,From Kick Off,Olivia Fergusson,15718.0,Left Center Forward,2,Yeovil Town LFC,970,['2ff77674-ff81-46a2-a8dc-db9921c318c8'],1,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:01.470,Pass,
,,,,,,,,,,,,1.152114,,,,,,,,,,,,,7e9274de-0674-4ea1-8d19-cbe225dbc311,9,,,"[49.0, 38.0]",19737,0,,,2.1341126,,,Right Foot,,,,"[37.0, 57.0]",,Ground Pass,22.472204,,Hannah Short,15717.0,,,,1,From Kick Off,Georgia Evans,15707.0,Left Defensive Midfield,2,Yeovil Town LFC,970,['be515de8-38cd-4772-b881-bd72d7d10660'],3,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:03.005,Pass,
,,,,,,,,,,,,4.849367,,,,,,,,,,,,,ce42cc0a-4a08-4a20-ae97-2701ba2528d4,13,,,"[38.0, 57.0]",19737,0,,,0.14189705,,,Right Foot,,,,"[101.0, 66.0]",,High Pass,63.63961,Incomplete,,,,,,1,From Kick Off,Hannah Short,15717.0,Right Center Back,2,Yeovil Town LFC,970,['281f244b-4a72-4493-9564-6fc89a097d88'],5,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.675,Pass,
,,,,,,,,,,,,1.069459,,,,,,,,,,,,,67dfa2be-b430-4ae7-9654-99aa08f1ac66,16,,,"[13.0, 10.0]",19737,0,,,0.27829966,,,Left Foot,,,,"[27.0, 14.0]",,Ground Pass,14.56022,,Niamh Fahey,19777.0,,,,1,Regular Play,Jasmine Matthews,15618.0,Left Center Back,3,Liverpool WFC,966,['a5d7142a-e2fe-4219-9606-8fcd08733414'],11,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:11.340,Pass,
