ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[76.0, 69.0]",,,,,,,,5.542063,,,,,,,,,,,,,,d7ec4c74-7cd9-4761-b84b-dc57b7dc6269,3122,,"[70.0, 73.0]",19749,79,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chloe Arthur,10193.0,Left Center Midfield,174,Birmingham City WFC,969,"['cd879214-a599-4906-97d8-1d237e83b387', 'dcf0c4b3-9367-405d-81cb-d3c8a391eb63', 'edb4a7f1-1c7c-4127-b51d-48a5f0230645']",51,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:34:51.408,Carry,True
,,"[90.0, 78.0]",,,,,,,,0.20384,,,,,,,,,,,,,,90e80b51-59f8-4426-a422-85eca6d54336,3127,,"[92.0, 77.0]",19749,79,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Harriet Scott,19592.0,Right Back,174,Birmingham City WFC,969,"['0561bbe7-68ca-42de-a88f-702add0bd669', '84d775a1-44f0-4013-a97a-2d8f68a1215e', 'e9a8160e-2816-471f-93b3-4db3c0874751']",57,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:34:57.448,Carry,True
,,"[95.0, 60.0]",,,,,,,,0.779376,,,,,,,,,,,,,,a8bb5a52-72e1-4079-a735-491a02ca06f2,3131,,"[94.0, 65.0]",19749,79,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Charlie Wellings,15563.0,Center Forward,174,Birmingham City WFC,969,"['da534aeb-51ce-4832-9ba0-011d958ed258', 'ee2ed2ec-9165-4f2c-9d74-21c1dce759ae']",58,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:34:58.204,Carry,
,,"[87.0, 64.0]",,,,,,,,2.097221,,,,,,,,,,,,,,37f66099-2c77-43a8-ad42-dcf0af9fb35d,3137,,"[86.0, 65.0]",19749,80,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chloe Arthur,10193.0,Left Center Midfield,174,Birmingham City WFC,969,"['39a70560-1658-4c92-b181-d3079923e1d2', '6af330f9-bf3d-4f95-95eb-5a003213af6d', 'e67de418-2cf6-4cdd-b08a-e97c10669c56']",0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:35:00.754,Carry,True
,,"[101.0, 72.0]",,,,,,,,2.560266,,,,,,,,,,,,,,00397070-a5cf-4108-a423-2876e9ecc97e,3140,,"[87.0, 64.0]",19749,80,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chloe Arthur,10193.0,Left Center Midfield,174,Birmingham City WFC,969,"['0baa5b02-c14e-4176-97c5-93a1c57afc1b', '6af330f9-bf3d-4f95-95eb-5a003213af6d', 'a296132b-030c-49a8-9304-cf835f910ae9', 'e67de418-2cf6-4cdd-b08a-e97c10669c56']",2,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:35:02.851,Carry,True
,,"[118.0, 67.0]",,,,,,,,2.196377,,,,,,,,,,,,,,c83a301b-f36e-40ac-aeee-005ee7185c43,3144,,"[101.0, 72.0]",19749,80,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chloe Arthur,10193.0,Left Center Midfield,174,Birmingham City WFC,969,"['0baa5b02-c14e-4176-97c5-93a1c57afc1b', '25079c4a-3f82-4534-861d-9943b54c0372', 'fbc7307e-c51e-4309-8b12-9b748f68d209']",5,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:35:05.411,Carry,True
,,"[36.0, 66.0]",,,,,,,,0.04358,,,,,,,,,,,,,,beddd53d-cdc0-44a4-a667-ceb5077690c3,3156,,"[36.0, 66.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Danielle van de Donk,10658.0,Right Center Midfield,177,Arsenal WFC,968,"['0b9e3f75-0ab8-4d00-ad9f-4f256d949dce', '2be4e393-d72a-4401-8a1d-be19b4541f96']",12,,,,,,,,,,,,,,,,Arsenal WFC,968,00:36:12.276,Carry,
,,"[67.0, 13.0]",,,,,,,,2.768524,,,,,,,,,,,,,,40ef747a-8e45-42fb-ad06-17e78f308c34,3160,,"[87.0, 4.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucy Quinn,15564.0,Right Wing,178,Birmingham City WFC,969,"['05524f82-39fb-4322-b00a-58e3a8a7f9e0', '39aa9069-ecda-472a-a2b9-455fbc957bc2', 'd091fb6d-76a1-43de-810c-1cccaa37b69d']",13,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:13.542,Carry,True
,,"[70.0, 26.0]",,,,,,,,4.45645,,,,,,,,,,,,,,25dc83cc-b747-4ff0-a248-becf1614b3b8,3164,,"[65.0, 26.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucy Staniforth,15562.0,Right Center Midfield,178,Birmingham City WFC,969,"['33146892-eac8-45b7-b2de-1cb31a3c62cc', '34239ae4-ba7e-4c10-99dd-330c800f88ae']",17,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:17.755,Carry,
,,"[74.0, 7.0]",,,,,,,,1.962119,,,,,,,,,,,,,,d95ca070-f2ad-4b74-819a-ffedc5b01945,3167,,"[72.0, 9.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kerys Harrop,15569.0,Left Back,178,Birmingham City WFC,969,"['0a327cab-123c-48cf-ad02-fa99c68141e4', 'f7ef9c56-acaf-47fe-8e52-0b40e9870ca8']",23,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:23.412,Carry,
