50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,1c846632-0704-4b56-878a-b9716982a470,1,,,19809,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 24747, 'name': 'Millie Laura Farrow'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,53034e1e-055f-4b66-841a-8f6f91a0c37f,2,,,19809,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,47bf64d0-9a88-4959-bf35-c4538c6b0595,3,,,19809,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['096aeb24-c852-4227-a4fc-e8fd51f643f3'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,096aeb24-c852-4227-a4fc-e8fd51f643f3,4,,,19809,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['47bf64d0-9a88-4959-bf35-c4538c6b0595'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,f7da1239-19ef-478c-b8e0-77f918483c66,1526,,,19809,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Brighton & Hove Albion WFC,965,['b1c49746-dadd-4640-941a-f5e72d444037'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,b1c49746-dadd-4640-941a-f5e72d444037,1527,,,19809,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Brighton & Hove Albion WFC,965,['f7da1239-19ef-478c-b8e0-77f918483c66'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.12,,,,,,,,,,,3a6cfca3-9fbb-4c96-9fb3-9f650989fda9,5,,"[61.0, 41.0]",19809,0,,,,,2.8318896,,Right Foot,,,"[36.0, 49.0]",Ground Pass,,26.24881,,,Danielle Buet,20034.0,,,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['6883bebe-c8c0-43f2-8c02-002e3d18b56a'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.240,Pass,
,,,,,,,,,,,,,,2.08,,,,,,,,,,,77b7e97d-cc38-42bd-a9c9-342f13d2be2e,8,,"[37.0, 48.0]",19809,0,,,,,0.82109725,,Right Foot,,,"[64.0, 77.0]",Ground Pass,,39.623226,,,Kate Natkiel,16399.0,,,,,,1,From Kick Off,Danielle Buet,20034.0,Right Center Back,2,Brighton & Hove Albion WFC,965,['330cb931-26a6-4365-854b-bc1628448df2'],3,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:03.480,Pass,
,,,,,,,,,,,,,,3.2,,,,,,,,,,,dda8e4a7-19c7-4108-b9da-7fd099fc2305,12,,"[63.0, 76.0]",19809,0,,,,,3.1103528,,Right Foot,,,"[31.0, 77.0]",Ground Pass,,32.01562,,,Kirsty Barton,19414.0,,,,,,1,From Kick Off,Kate Natkiel,16399.0,Right Wing,2,Brighton & Hove Albion WFC,965,['38c056bc-7ee9-4a25-ba65-26c304bd1c3b'],5,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:05.680,Pass,
,,,,,,,,,,,,,,2.2,,,,,,,,,,,c7a4c165-e8fd-4573-a86d-27e883758cbf,15,,"[31.0, 77.0]",19809,0,,,,,-2.1066077,,Left Foot,,,"[12.0, 45.0]",Low Pass,,37.215588,,,Marie Hourihan,19419.0,,,,,,1,From Kick Off,Kirsty Barton,19414.0,Right Back,2,Brighton & Hove Albion WFC,965,['b4d21ba5-122a-40ef-8963-9bde53cc2ba8'],8,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.960,Pass,
