ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d712fb93-c464-4621-98ba-f2bdcd5641db,1,,,19800,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a8b2dc8b-abc3-4558-b461-3f423cbb0893,2,,,19800,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35586882-0cc0-41dd-a819-4db42f7db8c5,3,,,19800,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['9e4028b9-21a5-49ed-9fd9-34a0d614eb3d'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9e4028b9-21a5-49ed-9fd9-34a0d614eb3d,4,,,19800,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['35586882-0cc0-41dd-a819-4db42f7db8c5'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b59ab508-3264-441d-ae76-15b399f1a120,1716,,,19800,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,76,Arsenal WFC,968,['06bacd9b-9ec0-4852-bdcb-1599f1cb6bcd'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06bacd9b-9ec0-4852-bdcb-1599f1cb6bcd,1717,,,19800,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,76,Arsenal WFC,968,['b59ab508-3264-441d-ae76-15b399f1a120'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.764038,,,,,,,,,,,,15758edb-58cd-49c4-a817-d2ef48ba3bcf,5,,"[60.0, 40.0]",19800,0,,,,,-2.3561945,,Left Foot,,,"[42.0, 22.0]",,Ground Pass,,25.455845,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['7cf88558-5c67-4cff-bd98-e35bdb7fa5a1'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.504,Pass,
,,,,,,,,,,,,,,,,,1.795201,,,,,,,,,,,,ab5674a4-e824-4143-9f6f-3f1645557413,8,,"[45.0, 29.0]",19800,0,,,,,0.55038595,,Right Foot,,,"[89.0, 56.0]",,High Pass,,51.62364,Incomplete,,,,,,,,,,1,From Kick Off,Dominique Johanna Anna Petrone Janssen,10666.0,Center Defensive Midfield,2,Arsenal WFC,968,['e0b6f179-91c0-4585-a944-f1069eb20a0b'],4,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:04.201,Pass,
,,,,,,,,,,,,,,,,,1.114158,,,,,,,,,,,,89acbf24-3289-4e5d-9d16-564220c9d924,12,,"[70.0, 47.0]",19800,0,,,,,-2.634494,,Right Foot,,,"[61.0, 42.0]",,Ground Pass,,10.29563,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,,1,From Kick Off,Kim Little,15616.0,Right Center Midfield,2,Arsenal WFC,968,['7d4eec69-e064-48f2-a509-0cd5ebb3226b'],9,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:09.018,Pass,
,,,,,,,,,,,,,,,,,1.139619,,,,,,,,,,,,03bda12a-42c7-40d0-a77b-2c2c56d0761e,15,,"[65.0, 49.0]",19800,0,,,,,0.11065722,,Right Foot,,,"[83.0, 51.0]",,Low Pass,,18.110771,,,Katie McCabe,15620.0,,,,,,,1,From Kick Off,Dominique Johanna Anna Petrone Janssen,10666.0,Center Defensive Midfield,2,Arsenal WFC,968,['20029114-954e-40b9-a3a3-d5b1c3336a29'],12,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:12.317,Pass,
