50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d75bdcaf-ad80-4eb8-99a7-1005deb87291,1,,,,19806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,80c43446-bf48-4b84-9040-2340c038999a,2,,,,19806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0942882f-ff9f-4518-9dc9-ab67ed703308,3,,,,19806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['32e84b4d-e334-4667-8e99-c4307e710d97'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,32e84b4d-e334-4667-8e99-c4307e710d97,4,,,,19806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['0942882f-ff9f-4518-9dc9-ab67ed703308'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6bd5a61-a5c9-4c28-9464-dcc21e53f6bb,1723,,,,19806,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,112,Bristol City WFC,973,['f0be9c58-58bb-47a4-b7e9-b23a9711a69a'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0be9c58-58bb-47a4-b7e9-b23a9711a69a,1724,,,,19806,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,112,Bristol City WFC,973,['b6bd5a61-a5c9-4c28-9464-dcc21e53f6bb'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.6869,,,,,,,,,,,,c4bc8ff2-4f5f-4284-a606-e26c35febd8b,5,,,"[61.0, 41.0]",19806,0,,,,,2.616797,,Left Foot,,,,"[42.0, 52.0]",,Ground Pass,,21.954498,,,,Carla Humphrey,16384.0,,,,,,Kick Off,1,From Kick Off,Lucy Hope,16386.0,Left Center Midfield,2,Bristol City WFC,973,['427bddb9-bbdb-4b0e-9cf2-3b145a88b9ec'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.146,Pass,
,,,,,,,,,,,,,,,,,,,1.6482,,,,,,,,,,,,e282f06b-1b35-4967-b561-d509c3a7f978,9,,,"[42.0, 55.0]",19806,0,,,,,3.0466409,,Left Foot,,,,"[21.0, 57.0]",,Ground Pass,,21.095022,,,,Danique Kerkdijk,16383.0,,,,,,,1,From Kick Off,Carla Humphrey,16384.0,Right Center Midfield,2,Bristol City WFC,973,"['21f16119-2e7c-429a-90f1-cb99c0da5125', 'aa43ea3e-4d34-4ebd-a94b-8da339b22b5d']",2,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.711,Pass,True
,,,,,,,,,,,,,,,,,,,1.6885,,,,,,,,,,,,bd35136b-ec80-4bc6-8171-cf32274f1c4c,12,,,"[18.0, 47.0]",19806,0,,,,,-2.6476512,,Right Foot,,,,"[5.0, 40.0]",,Ground Pass,,14.764823,,,,Sophie Baggaley,16376.0,,,,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Bristol City WFC,973,['03c20353-a815-44ec-802f-32e8b2e5c1fd'],5,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:05.769,Pass,
,,,,,,,,,,,,,,,,,,,1.6645,,,,,,,,,,,,544a04ae-fd22-4f42-9bc9-d1663b893214,15,,,"[11.0, 44.0]",19806,0,,,,,1.0943289,,Right Foot,,,,"[27.0, 75.0]",,Low Pass,,34.88553,,,,Carla Humphrey,16384.0,,,,,,,1,From Kick Off,Sophie Baggaley,16376.0,Goalkeeper,2,Bristol City WFC,973,['8c2e2e1c-d2da-4a80-9a92-06e9c3831896'],10,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:10.560,Pass,
