50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,087b986b-3699-404a-bb34-9410d2b2e6a1,1,,,19822,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10195, 'name': 'Rachel Mclauchlan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19776, 'name': 'Monique Fischer'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 21290, 'name': 'Erin Bloomfield'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 26}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0fc494b6-385d-41fb-a1f1-98efd41ebd9a,2,,,19822,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 37}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca219543-045d-40d3-a8f7-81106b0afd5b,3,,,19822,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['7af9d278-dbf9-4203-acdc-4ffe20793003'],0,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7af9d278-dbf9-4203-acdc-4ffe20793003,4,,,19822,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['ca219543-045d-40d3-a8f7-81106b0afd5b'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37fb293b-3e46-4873-aced-c35a697f1d22,1664,,,19822,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Birmingham City WFC,969,['879d80af-1795-48a3-b36c-3ca4b3523e12'],0,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,879d80af-1795-48a3-b36c-3ca4b3523e12,1665,,,19822,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Birmingham City WFC,969,['37fb293b-3e46-4873-aced-c35a697f1d22'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.2983,,,,,,,,,,,,,53674c50-6178-4f37-b6a4-8a6392491679,5,,"[60.0, 40.0]",19822,0,,,,,-2.896614,,Right Foot,,,"[52.0, 38.0]",,Ground Pass,,8.246211,,,,Bonnie Horwood,15713.0,,,,,,Kick Off,1,From Kick Off,Erin Bloomfield,21290.0,Left Center Forward,2,Yeovil Town LFC,970,['0b52ca67-8bee-4d52-983b-089c768b4bb9'],0,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.040,Pass,
,,,,,,,,,,,,,,1.3971,,,,,,,,,,,,,ba3ba3f0-4629-411c-a5c7-0b746ad6acfa,8,,"[52.0, 38.0]",19822,0,,,,,-2.5829933,,Right Foot,,,"[28.0, 23.0]",,Ground Pass,,28.301943,,,,Ellie Mason,15715.0,,,,,,,1,From Kick Off,Bonnie Horwood,15713.0,Right Center Midfield,2,Yeovil Town LFC,970,['d3f9caae-5e07-408b-8f2d-4fc226f17f26'],1,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:01.418,Pass,
,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,c3332895-3f9e-4fd5-bca2-b53b4b77c42c,11,,"[33.0, 21.0]",19822,0,,,,,-1.0838971,,Right Foot,,,"[42.0, 4.0]",,Ground Pass,,19.235384,,,,Megan Alexander,15710.0,,,,,,,1,From Kick Off,Ellie Mason,15715.0,Left Center Back,2,Yeovil Town LFC,970,['3f9d0692-2837-44b7-9758-c9d021a1e41f'],3,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:03.573,Pass,
,,,,,,,,,,,,,,0.9978,,,,,,,,,,,,,22f3a16c-9ea9-4dcf-8860-a92657ebd8c5,14,,"[43.0, 4.0]",19822,0,,,,,-0.16514868,,Left Foot,,,"[55.0, 2.0]",,Ground Pass,,12.165525,,,,Anne-Marie Heatherson,15714.0,,,,,,,1,From Kick Off,Megan Alexander,15710.0,Left Back,2,Yeovil Town LFC,970,['cfd74afc-7f1f-41ce-9761-baaff5d42ba7'],5,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.936,Pass,
