ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c17a8ac3-dadc-4d89-b0db-a1ac33e8f4c8,1,,,,19758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 19774, 'name': 'Charlotte Buxton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15716, 'name': 'Emily Syme'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 15705, 'name': 'Emily Donovan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b838dccc-4b01-4cdd-b886-14dffcbed3f8,2,,,,19758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 21854, 'name': 'Jade Bailey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 15703, 'name': 'Charlotte Estcourt'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 13834, 'name': 'Rakel Hönnudóttir'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6bcc0ce5-9050-4629-b4cb-7356a81ce92c,3,,,,19758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['e94692b4-3bcc-44ba-bb74-8b024f26a998'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e94692b4-3bcc-44ba-bb74-8b024f26a998,4,,,,19758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['6bcc0ce5-9050-4629-b4cb-7356a81ce92c'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3839070-d66b-4fc4-82b7-5354a5496280,1649,,,,19758,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Reading WFC,974,['a1ddff43-76d9-4a31-819c-e4e9e7ee68c1'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a1ddff43-76d9-4a31-819c-e4e9e7ee68c1,1650,,,,19758,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Reading WFC,974,['a3839070-d66b-4fc4-82b7-5354a5496280'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.1359,,,,,,,,,,,,,0c2dd88f-67bb-42c5-aff7-06371e7dc494,5,,,"[61.0, 41.0]",19758,0,,,,-2.976444,,Right Foot,,,,"[55.0, 40.0]",,Ground Pass,,6.0827627,,,,,Bonnie Horwood,15713.0,,,,,,Kick Off,1,From Kick Off,Anne-Marie Heatherson,15714.0,Left Center Forward,2,Yeovil Town LFC,970,['bf0894bf-6693-4ef1-96c9-8ab3e8fe4037'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.300,Pass,
,,,,,,,,,,,,,,,,1.5699,,,,,,,,,,,,,7f059a85-057d-48f3-ae25-093706c10254,8,,,"[55.0, 40.0]",19758,0,,,,2.7270858,,Right Foot,,,,"[30.0, 51.0]",,Ground Pass,,27.313,,,,,Ellie Mason,15715.0,,,,,,,1,From Kick Off,Bonnie Horwood,15713.0,Right Defensive Midfield,2,Yeovil Town LFC,970,['a173a6ac-b0b3-4e6a-9126-4375177291e0'],2,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:02.042,Pass,
,,,,,,,,,,,,,,,,2.31895,,,,,,,,,,,,,235e8687-cb81-494c-b37c-aeda96a79c14,11,,,"[27.0, 53.0]",19758,0,,,,0.7853982,,Right Foot,,,,"[54.0, 80.0]",,Ground Pass,,38.183765,,,,,Emily Syme,15716.0,,,,,,,1,From Kick Off,Ellie Mason,15715.0,Right Center Back,2,Yeovil Town LFC,970,['25cbaec5-8a26-4ae2-8269-c5dc6f6014cd'],5,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.484,Pass,
,,,,,,,,,,,,,,,,1.3787,,,,,,,,,,,,,fdc81922-b888-4ca1-946c-96cd1a064cef,15,,,"[54.0, 80.0]",19758,0,,,,-3.0172377,,Right Foot,,,,"[46.0, 79.0]",,Ground Pass,,8.062258,,,,,Georgia Evans,15707.0,,,,,,,1,From Kick Off,Emily Syme,15716.0,Right Midfield,2,Yeovil Town LFC,970,"['45eb1150-072f-4be5-8f3d-49baa7d361ba', '81f4c359-1644-4080-be1d-1b72751f7ea5']",9,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:09.208,Pass,True
