50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5ffc3465-bcf6-42d3-9b78-e70ade065425,1,,,19814,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e6abe61e-45ec-472f-af7f-823c7577747c,2,,,19814,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f96253bb-dfd5-4422-8edb-ec4236b6e77c,3,,,19814,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['a133fa74-0022-4594-9ba8-132e45caf4a4'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a133fa74-0022-4594-9ba8-132e45caf4a4,4,,,19814,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['f96253bb-dfd5-4422-8edb-ec4236b6e77c'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,721071ef-7579-46f3-8bfe-3fa96c9858b8,1777,,,19814,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Bristol City WFC,973,['0dbf84b0-7261-47fd-8c23-24276e7c32bc'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0dbf84b0-7261-47fd-8c23-24276e7c32bc,1778,,,19814,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Bristol City WFC,973,['721071ef-7579-46f3-8bfe-3fa96c9858b8'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.26669,,,,,,,,,,,,72b0a745-a049-45cf-b5ad-d7977e548c65,5,,"[60.0, 40.0]",19814,0,,,,-2.5748634,,Right Foot,,,,"[49.0, 33.0]",,Ground Pass,,13.038404,,Jane Ross,4653.0,,,,,,Kick Off,1,From Kick Off,Adriana Kristina Leon,8297.0,Center Forward,2,West Ham United LFC,972,['9c884841-f39b-46af-bd3d-a24071ddfc5d'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.610,Pass,
,,,,,,,,,,,,,,,,4.879265,,,,,,,,,,,,75f66a44-7676-41b2-9281-55725880a44d,9,,"[54.0, 34.0]",19814,0,,,,-0.5743048,,Right Foot,,,,"[105.0, 1.0]",,High Pass,,60.74537,Out,Leanne Kiernan,18146.0,,,,,,,1,From Kick Off,Jane Ross,4653.0,Left Center Midfield,2,West Ham United LFC,972,"['206f7c34-c563-4e2b-9a17-380a0d5109b0', '3eb76c01-ea28-435a-9ea2-995fb547f6ca']",3,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:03.359,Pass,True
,,,,,,,,,,,,,,,,1.238184,,,,,,,,,,,,f9f4661d-4357-4c87-bf51-367e295e1bb4,11,,"[17.0, 80.0]",19814,0,,,,-0.14189705,,,,,,"[31.0, 78.0]",,High Pass,,14.142136,,Rosella Ayane,21048.0,,,,,,Throw-in,1,From Throw In,Florence Allen,24922.0,Right Back,3,Bristol City WFC,973,['cf070347-75a5-447c-81eb-db1d4ccc7ee3'],20,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:20.350,Pass,
,,,,,,,,,,,,,,,,0.963059,,,,,,,,,,,,b6f7093a-534f-4b1c-83ba-a417e8fd66fe,15,,"[30.0, 77.0]",19814,0,,,,-1.9756881,,Right Foot,,,,"[27.0, 70.0]",,Ground Pass,,7.615773,,Julie Biesmans,10095.0,,,,,,,1,From Throw In,Rosella Ayane,21048.0,Center Attacking Midfield,3,Bristol City WFC,973,['248801a0-61e6-4d70-a119-b1da3fb63290'],23,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:23.487,Pass,
