ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.145277,,,,,,,,,,,,78bbb341-a190-4f40-bbbc-1fb064e8c4d1,74,,,"[87.0, 72.0]",19730,2,,,1.735945,,,Right Foot,,,"[86.0, 78.0]",,Ground Pass,6.0827627,,Jessica Carter,19422.0,,,,,,1,From Throw In,Erin Cuthbert,4660.0,Right Attacking Midfield,6,Chelsea FCW,971,"['83f2af03-d71c-4b53-8ad3-2f3f741ca97a', '8d2e5481-41ad-4275-9a8f-517bd37fd55d', 'fb1c8bdd-a70f-4a09-a317-2f58f72c6d6e']",3,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:03.655,Pass,True
,,,,,,,,,,1.17057,,,,,,,,,,,,a0a1e98d-e3d5-4c31-bc7d-2a56e6ab7606,77,,,"[86.0, 78.0]",19730,2,,,-2.4329665,,,Right Foot,,,"[72.0, 66.0]",,Ground Pass,18.439089,,Maria Thorisdottir,4636.0,,,,,,1,From Throw In,Jessica Carter,19422.0,Right Midfield,6,Chelsea FCW,971,['81fb016b-dbc7-4e76-822e-784d3d0fcd8f'],4,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:04.840,Pass,
,,,,,,,,,,3.233308,,,,,,,,,,,,2a8c6d82-add6-44ae-a623-bdaaaabe29a6,86,,,"[68.0, 30.0]",19730,2,,,0.5819051,,,Right Foot,,,"[106.0, 55.0]",,High Pass,45.486263,Pass Offside,Iniabasi Anefiok Umotong,16378.0,,,,,Free Kick,1,From Free Kick,Danielle Buet,20034.0,Right Center Midfield,7,Brighton & Hove Albion WFC,965,['f8b48ed0-89e5-4100-bd88-8e30cbd9424a'],36,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:02:36.491,Pass,
,,,,,,,,,,1.042607,,,,,,,,,,,,062b4577-100b-45e8-b098-c567d807d51e,88,,,"[14.0, 36.0]",19730,2,,,0.32175055,,,Right Foot,,,"[23.0, 39.0]",,Ground Pass,9.486833,,Maren Nævdal Mjelde,10395.0,,,,,Free Kick,1,From Free Kick,Carly Mitchell Telford,19421.0,Goalkeeper,8,Chelsea FCW,971,['677f7087-5b5e-4d2a-93cc-eb597d00a194'],55,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:55.125,Pass,
,,,,,,,,,,1.484235,,,,,,,,,,,,a722b1ca-814a-45ee-938c-d57b986fef5d,91,,,"[28.0, 37.0]",19730,2,,,-1.0303768,,,Right Foot,,,"[40.0, 17.0]",,Ground Pass,23.323807,,Magdalena Lilly Eriksson,4633.0,,,,,,1,From Free Kick,Maren Nævdal Mjelde,10395.0,Center Back,8,Chelsea FCW,971,['dc1984a6-d1bd-4b32-9f8d-ec7d4b5958d1'],59,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:59.141,Pass,
,,,,,,,,,,0.793426,,,,,,,,,,,,9c20af1f-2a73-410c-9731-8fa1edb9b834,94,,,"[57.0, 8.0]",19730,3,,,-0.7086263,,,Right Foot,,,"[64.0, 2.0]",,Ground Pass,9.219544,,Jonna Ann-Charlotte Andersson,10222.0,,,,,,1,From Free Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,8,Chelsea FCW,971,['28510aac-8122-4143-83d2-1acb2e320d8b'],3,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:03.839,Pass,
,,,,,,,,,,1.397817,,,,,,,,,,,,196580e5-5a0e-46de-a4a6-1c32d1850f51,99,,,"[68.0, 4.0]",19730,3,,,3.1415927,,,Left Foot,,,"[52.0, 4.0]",,Ground Pass,16.0,,Magdalena Lilly Eriksson,4633.0,,,,,,1,From Free Kick,Jonna Ann-Charlotte Andersson,10222.0,Left Midfield,8,Chelsea FCW,971,['0b599867-fa8d-4a46-bf45-dd630fb320c9'],8,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:08.210,Pass,
,,,,,,,,,,3.114279,,,,,,,,,,,,058a4408-a259-45c1-b3d6-11a71ad293f7,102,,,"[53.0, 7.0]",19730,3,,,0.054491457,,,Right Foot,,,"[108.0, 10.0]",,High Pass,55.081757,,Francesca Kirby,4641.0,,,,,,1,From Free Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,8,Chelsea FCW,971,['943f81a8-ec42-4fed-befb-3cd224e9a9e0'],11,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:11.193,Pass,
,,,,,,,,,,2.009529,,,,,,,,,,,,7fb1e2e8-cf4d-4c30-b727-ab6a461ff0f8,106,,,"[114.0, 13.0]",19730,3,,,2.1995926,,,Right Foot,,,"[106.0, 24.0]",,Ground Pass,13.601471,Incomplete,Ramona Bachmann,4659.0,,,,,,1,From Free Kick,Francesca Kirby,4641.0,Center Forward,8,Chelsea FCW,971,"['639d87cd-c612-4075-8e8a-81c100a79375', 'd651b91d-ad48-43c5-b654-d52b325de453']",18,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:18.250,Pass,
,,,,,,,,,,2.957455,,,,,,,,,,,,d651b91d-ad48-43c5-b654-d52b325de453,108,,,"[15.0, 57.0]",19730,3,,,1.6142472,,,Left Foot,,,"[14.0, 80.0]",,Low Pass,23.021729,Out,,,,,,,Recovery,1,From Free Kick,Fern Whelan,19420.0,Center Defensive Midfield,8,Chelsea FCW,971,['7fb1e2e8-cf4d-4c30-b727-ab6a461ff0f8'],20,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:03:20.259,Pass,
