ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,c3375848-4155-4929-a480-ef974c9da7ab,1,,,,19777,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15716, 'name': 'Emily Syme'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15705, 'name': 'Emily Donovan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15711, 'name': 'Amber Gaylor'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,57e4fe4d-c351-425f-8b4c-03496f09557a,2,,,,19777,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 19896, 'name': 'Rosie Kmita'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,e1ccc77b-719b-4a03-8847-7e695b731f7a,3,,,,19777,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['753c4494-cd4a-41e7-8af7-6bdd3ce4534c'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,753c4494-cd4a-41e7-8af7-6bdd3ce4534c,4,,,,19777,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['e1ccc77b-719b-4a03-8847-7e695b731f7a'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,23fac6bc-6049-4f09-8e59-07c2d94f4062,1641,,,,19777,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,West Ham United LFC,972,['5a8430d4-6a9f-4bbf-9347-6ddd6001a94b'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,5a8430d4-6a9f-4bbf-9347-6ddd6001a94b,1642,,,,19777,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,West Ham United LFC,972,['23fac6bc-6049-4f09-8e59-07c2d94f4062'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.037179,,,,,,,,,,,,d96617b4-ad15-4d3b-9e88-971c5a390f6c,5,,,"[60.0, 40.0]",19777,0,True,,2.5829933,,Right Foot,,,,"[52.0, 45.0]",,Ground Pass,9.433981,,,Julia Simic,18150.0,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,Center Forward,2,West Ham United LFC,972,['9e265ae4-43d2-4c07-a98f-0a5a54588b66'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.040,Pass,
,,,,,,,,,,0.506064,,,,,,,,,,,,7add360b-14ba-4395-881f-096f5023c594,7,,,"[52.0, 45.0]",19777,0,True,,-0.4266275,,Right Foot,,,,"[74.0, 35.0]",,Ground Pass,24.166092,,Incomplete,,,,,,,,1,From Kick Off,Julia Simic,18150.0,Center Midfield,2,West Ham United LFC,972,['2fef868b-2508-4851-bb4f-e29646d0797a'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.093,Pass,
,,,,,,,,,,0.817308,,,,,,,,,,,,195e3a0a-9e22-4723-aebc-400298bed3ef,9,,,"[52.0, 38.0]",19777,0,,,-0.39479113,,Left Foot,,,,"[64.0, 33.0]",,Ground Pass,13.0,,Incomplete,Amber Gaylor,15711.0,,,,,,1,From Kick Off,Hannah Short,15717.0,Right Center Back,2,West Ham United LFC,972,"['1d3a1364-f67a-4258-85e6-7c7b0e3c5d8d', '53ed08dc-b62f-47ee-83cb-ff721ee2b593']",1,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:01.482,Pass,
,,,,,,,,,,1.299332,,,,,,,,,,,,a822017a-f1ef-4583-8031-27b832f074f2,14,,,"[53.0, 65.0]",19777,0,,,-2.8706458,,Left Foot,,,,"[35.0, 60.0]",,Ground Pass,18.681541,,,Brooke Hendrix,18159.0,,,,,,1,From Kick Off,Ria Percival,18145.0,Right Back,2,West Ham United LFC,972,"['c998dddc-035c-4202-98c2-016a8bb096a0', 'f048fd8d-6b95-4269-848c-97083a0357a3']",5,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:05.388,Pass,True
