50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.5086,,,,,,,,,,,f3bdfa02-6fdd-44dd-a06d-b6309e906ae3,18,,,"[22.0, 52.0]",19768,0,,,-0.8428063,,,Right Foot,,,,"[63.0, 6.0]",High Pass,61.6198,,,Ella Rutherford,16388.0,,True,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Bristol City WFC,973,['3115b485-f2f8-44ee-af1e-24e8c7830c4c'],13,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:13.516,Pass,
,,,,,,,,,,,,,,0.773968,,,,,,,,,,,a41449eb-b582-40c1-ae9e-748a6b499834,22,,,"[61.0, 8.0]",19768,0,,,-2.2455373,,,Left Foot,,,,"[57.0, 3.0]",Ground Pass,6.4031243,,,Poppy Pattinson,17274.0,,,,,,1,From Kick Off,Ella Rutherford,16388.0,Left Wing,2,Bristol City WFC,973,"['8a0c5abe-bdb1-43e6-bfd8-466a34344e21', 'd929e44a-d9c5-4d9b-b5c8-d2fe03944759']",17,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:17.104,Pass,True
,,,,,,,,,,,,,,1.972639,,,,,,,,,,,71cfe2a8-92bd-4c17-a8b9-91d83e93f5b9,27,,,"[62.0, 3.0]",19768,0,,,2.9996955,,,Left Foot,,,,"[41.0, 6.0]",Ground Pass,21.213203,,,Frankie Brown,10171.0,,,,,Free Kick,1,From Free Kick,Ella Rutherford,16388.0,Left Wing,3,Bristol City WFC,973,['25e0ab50-c225-4f57-b32d-a02021ee8b34'],23,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:23.899,Pass,
,,,,,,,,,,,,,,2.393157,,,,,,,,,,,4b5cb099-24d8-4699-b8b6-283330d316e8,30,,,"[39.0, 15.0]",19768,0,,,1.6345396,,,Right Foot,,,,"[36.0, 62.0]",Ground Pass,47.095646,,,Danique Kerkdijk,16383.0,,True,,,,1,From Free Kick,Frankie Brown,10171.0,Left Center Back,3,Bristol City WFC,973,['39d50654-179f-4773-92c7-1ca858227489'],27,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:27.695,Pass,
,,,,,,,,,,,,,,1.533731,,,,,,,,,,,80543b21-d63b-4a75-a9e5-dc9be3d848b2,33,,,"[37.0, 56.0]",19768,0,,,-1.5707964,,,Right Foot,,,,"[37.0, 19.0]",Ground Pass,37.0,,,Frankie Brown,10171.0,,,,,,1,From Free Kick,Danique Kerkdijk,16383.0,Right Center Back,3,Bristol City WFC,973,['5b37ef06-a52b-484e-abc9-b5ab4e3bb8d8'],31,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:31.085,Pass,
,,,,,,,,,,,,,,2.304467,,,,,,,,,,,009431f7-edfb-45f8-a1c4-d402e063f311,36,,,"[45.0, 12.0]",19768,0,,,0.07878396,,,Right Foot,,,,"[83.0, 15.0]",High Pass,38.118237,,Incomplete,,,,,,,,1,From Free Kick,Frankie Brown,10171.0,Left Center Back,3,Bristol City WFC,973,['c710e590-cf2f-437b-89be-0a41a3ce9979'],36,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:36.258,Pass,
,,,,,,,,,,,,,,1.796392,,,,,,,,,,,0985bbf6-b752-4231-a604-02026d7910ce,41,,,"[42.0, 70.0]",19768,0,,,2.7985687,,,Right Foot,,,,"[28.0, 75.0]",Ground Pass,14.866069,,,Erin Simon,18155.0,,,,,,1,Regular Play,Lucienne Reichardt,18148.0,Right Center Midfield,4,West Ham United LFC,972,['9065ffb6-d370-441c-907d-012aa3a14cf8'],41,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:41.483,Pass,
,,,,,,,,,,,,,,1.902302,,,,,,,,,,,6db2fdae-d375-4b20-b579-e175bff4068c,44,,,"[28.0, 75.0]",19768,0,,,-2.4468544,,,Right Foot,,,,"[10.0, 60.0]",Ground Pass,23.43075,,,Anne Moorhouse,22027.0,,,,,,1,Regular Play,Erin Simon,18155.0,Right Back,4,West Ham United LFC,972,['e1809faa-2b13-4354-838c-2cb34b98e475'],43,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:43.428,Pass,
,,,,,,,,,,,,,,1.503056,,,,,,,,,,,a66e9c02-fd50-467d-a81f-2b1292c54ce4,47,,,"[14.0, 58.0]",19768,0,,,0.7853982,,,Left Foot,,,,"[18.0, 62.0]",Ground Pass,5.656854,,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,1,Regular Play,Anne Moorhouse,22027.0,Goalkeeper,4,West Ham United LFC,972,['3c5913ba-7bc9-4c30-8c51-673a640ae419'],47,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:47.052,Pass,
,,,,,,,,,,,,,,1.649097,,,,,,,,,,,a570fbbc-a04c-434a-9e6d-23842dcb1538,50,,,"[21.0, 64.0]",19768,0,,,-2.2565258,,,Right Foot,,,,"[12.0, 53.0]",Ground Pass,14.21267,,,Anne Moorhouse,22027.0,,,,,,1,Regular Play,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,4,West Ham United LFC,972,['692c6587-d9ae-441c-9b37-07367a6d98bf'],50,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:50.359,Pass,
