50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.780756,,,,,,,,,,ba1a6f8b-957e-4310-af88-942ec6538fc5,19,,"[14.0, 70.0]",19783,0,,,,0.7086263,,,Right Foot,,,,"[21.0, 76.0]",,Ground Pass,9.219544,,Hannah Jayne Blundell,17275.0,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,3,Chelsea FCW,971,['cc0aa8bc-7eb1-4dd9-ab23-3b332ac5a401'],18,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:18.616,Pass,
,,,,,,,,,,,,1.58533,,,,,,,,,,b2771209-c06b-4e29-ad83-b79552850abe,23,,"[20.0, 77.0]",19783,0,,,,-2.961739,,,Right Foot,,,,"[9.0, 75.0]",,Ground Pass,11.18034,,Millie Bright,4642.0,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,3,Chelsea FCW,971,"['3ac25426-d693-461d-a1c9-3682de80db6d', 'ed2c56e9-6e09-499a-80ab-c574d60e3128']",19,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:19.987,Pass,True
,,,,,,,,,,,,0.790532,,,,,,,,,,f7d359e5-7f5e-44e0-99be-b17989183fb2,26,,"[12.0, 74.0]",19783,0,,,,-0.124354996,,,Right Foot,,,,"[20.0, 73.0]",,Ground Pass,8.062258,Incomplete,,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,3,Chelsea FCW,971,['6d0d63ae-8349-4925-a614-2ed80e49181a'],23,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:23.214,Pass,
,,,,,,,,,,,,1.843554,,,,,,,,,,ad9dc9c0-106a-4a45-be68-9be372305bff,28,,"[13.0, 80.0]",19783,0,,,,-2.642246,,,,,,,"[2.0, 74.0]",,High Pass,12.529964,,Millie Bright,4642.0,,,,,Throw-in,1,From Throw In,Hannah Jayne Blundell,17275.0,Right Back,4,Chelsea FCW,971,['d9d7274f-101f-48e1-a2a8-e97b11b336c3'],33,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:33.373,Pass,
,,,,,,,,,,,,1.037419,,,,,,,,,,fff641c2-1f63-4c86-8788-ee597a3dbf49,31,,"[6.0, 68.0]",19783,0,,,,-1.7681919,,,Right Foot,,,,"[3.0, 53.0]",,Ground Pass,15.297058,,Rut Hedvig Lindahl,4640.0,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,['be4985d6-9c37-4c16-a9cd-e38ac0956a20'],36,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:36.493,Pass,
,,,,,,,,,,,,1.351563,,,,,,,,,,ed7fc46a-9362-4eb9-ae9e-dfa7967282ad,34,,"[10.0, 44.0]",19783,0,,,,-1.5707964,,,Right Foot,,,,"[10.0, 20.0]",,Ground Pass,24.0,,Magdalena Lilly Eriksson,4633.0,,,,,,1,From Throw In,Rut Hedvig Lindahl,4640.0,Goalkeeper,4,Chelsea FCW,971,['5cf65302-d800-4925-a091-f53e9240fbe5'],40,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:40.980,Pass,
,,,,,,,,,,,,1.772834,,,,,,,,,,b12aef9a-5708-49a9-a301-db38dd05117f,38,,"[23.0, 20.0]",19783,0,,,,0.9017533,,,Left Foot,,,,"[57.0, 63.0]",,High Pass,54.81788,Unknown,Erin Cuthbert,4660.0,,True,,,,1,From Throw In,Magdalena Lilly Eriksson,4633.0,Left Center Back,4,Chelsea FCW,971,['38dfcafc-2d28-4b12-9893-95aa9c54f765'],46,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:46.744,Pass,
,,,,,,,,,,,,1.241179,,,,,,,,,,05f6044d-ecd3-4ef8-b830-68075124ac80,43,,"[55.0, 63.0]",19783,1,,,,0.98279375,,,Left Foot,,,,"[59.0, 69.0]",,Ground Pass,7.2111025,,Erin Cuthbert,4660.0,,,,,Free Kick,1,From Free Kick,Millie Bright,4642.0,Right Center Back,5,Chelsea FCW,971,['5f4bbf1d-e2fe-474c-b2c6-7b05078eef75'],24,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:24.450,Pass,
,,,,,,,,,,,,1.437178,,,,,,,,,,47ea716c-7764-45a2-a0d7-d7b2b381d364,46,,"[64.0, 71.0]",19783,1,,,,0.48995733,,,Right Foot,,,,"[79.0, 79.0]",,Ground Pass,17.0,,Hannah Jayne Blundell,17275.0,,,,,,1,From Free Kick,Erin Cuthbert,4660.0,Right Wing,5,Chelsea FCW,971,['55628319-3137-490b-923a-24c61987cbb2'],27,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:27.114,Pass,
,,,,,,,,,,,,0.782634,,,,,,,,,,9a91d613-a61b-4209-9608-4f9a9a4d65f4,50,,"[78.0, 78.0]",19783,1,,,,-3.0750246,,,Right Foot,,,,"[63.0, 77.0]",,Ground Pass,15.033297,,Erin Cuthbert,4660.0,,,,,,1,From Free Kick,Hannah Jayne Blundell,17275.0,Right Back,5,Chelsea FCW,971,"['618bd3ba-7e2d-4798-8323-703f1a99d35f', 'f7f24ddc-3b59-4abc-be79-60471dd7960f']",29,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:29.094,Pass,True
,,,,,,,,,,,,2.172984,,,,,,,,,,1bd60bf5-cfb3-454e-8859-c39a9a44205f,53,,"[69.0, 68.0]",19783,1,,,,-2.4468544,,,Right Foot,,,,"[45.0, 48.0]",,Ground Pass,31.241,,Millie Bright,4642.0,,,,,,1,From Free Kick,Erin Cuthbert,4660.0,Right Wing,5,Chelsea FCW,971,['80af1281-c394-4eb1-9b3d-a89309281325'],31,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:31.756,Pass,
,,,,,,,,,,,,1.438053,,,,,,,,,,a19bb794-ab39-4093-a343-f88765c3abee,56,,"[46.0, 46.0]",19783,1,,,,0.7266424,,,Right Foot,,,,"[55.0, 54.0]",,Ground Pass,12.0415945,,So-Yun Ji,4647.0,,,,,,1,From Free Kick,Millie Bright,4642.0,Right Center Back,5,Chelsea FCW,971,['73d1208d-f09e-4aab-ab8d-1b272deaa471'],36,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:36.404,Pass,
,,,,,,,,,,,,0.756459,,,,,,,,,,e1f68fcf-6209-4b41-98d1-f20d29793317,60,,"[56.0, 61.0]",19783,1,,,,0.11065722,,,Right Foot,,,,"[65.0, 62.0]",,Ground Pass,9.055386,,Erin Cuthbert,4660.0,,,,,,1,From Free Kick,So-Yun Ji,4647.0,Center Attacking Midfield,5,Chelsea FCW,971,"['8eed08ee-2a14-43b6-9620-8ecc21ba1387', 'cdb653d8-e4bc-4d7e-9793-109cc169f8af']",39,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:39.028,Pass,True
,,,,,,,,,,,,0.173221,,,,,,,,,,cace794d-e882-4a44-a75e-b3b20bf9c061,64,,"[61.0, 50.0]",19783,1,,,,-1.5707964,,,Right Foot,,,,"[61.0, 47.0]",,Ground Pass,3.0,Incomplete,Sophie Louise Ingle,15549.0,,,,,,1,From Free Kick,Erin Cuthbert,4660.0,Right Wing,5,Chelsea FCW,971,"['24405c0f-5e8a-4e5e-b1dd-60410e5ac6b5', '4e768eb7-2900-4a2d-a65b-1a3c382059d0']",42,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:42.824,Pass,
,,,,,,,,,,,,1.2994,,,,,,,,,,16c2e37c-6e79-4cd4-bff5-8102dddbb82b,79,,"[94.0, 55.0]",19783,1,,,,-0.27829966,,,Right Foot,,,,"[108.0, 51.0]",,Low Pass,14.56022,Pass Offside,Elise Hughes,21230.0,,,,,,1,Regular Play,Chloe Kelly,15570.0,Right Wing,6,Everton LFC,967,['bda536ab-d8c4-487e-8bc7-b3b5d2897004'],52,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:52.334,Pass,
,,,,,,,,,,,,2.272687,,,,,,,,,,a1b589f9-46ed-47d2-9c56-501f6853f827,81,,"[16.0, 31.0]",19783,2,,,,1.4513674,,,Left Foot,,,,"[19.0, 56.0]",,Ground Pass,25.179358,,Millie Bright,4642.0,,,,,Free Kick,1,From Free Kick,Rut Hedvig Lindahl,4640.0,Goalkeeper,7,Chelsea FCW,971,['11ee8a10-145d-4a02-8eb9-1bd29c87e1b9'],6,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:06.192,Pass,
,,,,,,,,,,,,1.541047,,,,,,,,,,390b8c27-83a0-48be-9988-b5b0d25dad77,84,,"[25.0, 58.0]",19783,2,,,,1.0863184,,,Right Foot,,,,"[35.0, 77.0]",,Ground Pass,21.470911,,Hannah Jayne Blundell,17275.0,,,,,,1,From Free Kick,Millie Bright,4642.0,Right Center Back,7,Chelsea FCW,971,['67e1503a-d5f0-4b21-a18d-c6a2ecc1a8da'],9,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:09.801,Pass,
,,,,,,,,,,,,2.66143,,,,,,,,,,d446566d-c5b4-4055-ae60-869b2f085948,90,,"[40.0, 80.0]",19783,2,,,,-2.6224465,,,,,,,"[26.0, 72.0]",,High Pass,16.124516,,Millie Bright,4642.0,,,,,Throw-in,1,From Throw In,Hannah Jayne Blundell,17275.0,Right Back,8,Chelsea FCW,971,['be57a17d-7d09-4a03-aef7-5fc7a7b4cb43'],16,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:16.786,Pass,
,,,,,,,,,,,,1.535091,,,,,,,,,,9b49caeb-98fb-4d3a-b451-318d80bbbe28,93,,"[24.0, 66.0]",19783,2,,,,-1.943784,,,Right Foot,,,,"[15.0, 43.0]",,Ground Pass,24.698177,,Rut Hedvig Lindahl,4640.0,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,8,Chelsea FCW,971,['a955f9f9-97c1-4161-8248-e194324d11c7'],21,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:21.469,Pass,
,,,,,,,,,,,,2.173383,,,,,,,,,,8916d577-cea2-4f95-879b-021b96c65f03,96,,"[15.0, 44.0]",19783,2,,,,1.0899091,,,Left Foot,,,,"[27.0, 67.0]",,Ground Pass,25.942244,,Millie Bright,4642.0,,,,,,1,From Throw In,Rut Hedvig Lindahl,4640.0,Goalkeeper,8,Chelsea FCW,971,['31db6678-d3ad-45e5-9950-61a2529b2699'],23,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:23.311,Pass,
,,,,,,,,,,,,3.343557,,,,,,,,,,09c4ff81-8fea-4e1c-9468-6f10fcda4bcc,99,,"[35.0, 66.0]",19783,2,,,,-0.6771276,24a36dc2-bf04-4a3c-8448-ef8f40d38732,,Right Foot,,,,"[86.0, 25.0]",,High Pass,65.43699,,So-Yun Ji,4647.0,True,True,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,8,Chelsea FCW,971,['d57bb13b-e7b9-4997-b338-62330c3d8420'],27,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:27.509,Pass,
,,,,,,,,,,,,1.285358,,,,,,,,,,ef28889f-7553-4e17-97ba-9a65f91507bf,106,,"[120.0, 1.0]",19783,2,,,,1.6092389,,,Right Foot,,,,"[119.0, 27.0]",,High Pass,26.019224,,Bethany England,15550.0,,,,,Corner,1,From Corner,Karen Julia Carney,15553.0,Left Wing,9,Chelsea FCW,971,['b105ba31-9c7b-4711-aa89-d22b6458e211'],59,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:59.948,Pass,
,,,,,,,,,,,,1.569446,,,,,,,,,,34145cce-f798-421a-b8d2-d419895d3f52,110,,"[7.0, 37.0]",19783,3,,,,-1.3370532,,,Right Foot,,,,"[12.0, 16.0]",,Ground Pass,21.587032,,Gabrielle George,15575.0,,,,,Goal Kick,1,From Goal Kick,Kirstie Levell,15576.0,Goalkeeper,10,Everton LFC,967,['b0eab1a4-167c-4133-9f5b-df4dd938ca7a'],9,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:09.942,Pass,
,,,,,,,,,,,,0.869664,,,,,,,,,,43eacda1-a650-4316-90a2-92f710f0ddf9,113,,"[9.0, 19.0]",19783,3,,,,1.7454685,,,Left Foot,,,,"[6.0, 36.0]",,Ground Pass,17.262676,,Kirstie Levell,15576.0,,,,,,1,From Goal Kick,Gabrielle George,15575.0,Left Center Back,10,Everton LFC,967,['f437fab8-e533-4553-8bc2-a8ae210f4aa4'],12,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:12.851,Pass,
,,,,,,,,,,,,2.1857,,,,,,,,,,08c51af5-d46b-43dd-bec3-a86205ebad4c,117,,"[10.0, 49.0]",19783,3,,,,0.6570749,,,Right Foot,,,,"[45.0, 76.0]",,High Pass,44.20407,,Taylor Hinds,19687.0,,,,,,1,From Goal Kick,Kirstie Levell,15576.0,Goalkeeper,10,Everton LFC,967,['aa106f1c-e5f3-4d5a-8570-8a98a551b20f'],18,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:18.639,Pass,
,,,,,,,,,,,,1.945618,,,,,,,,,,36927fac-e5bf-4533-870b-6d9793ffd30e,119,,"[45.0, 76.0]",19783,3,,,,-0.24497867,,,Head,,,,"[65.0, 71.0]",,Low Pass,20.615528,Incomplete,Chloe Kelly,15570.0,,,,,,1,From Goal Kick,Taylor Hinds,19687.0,Right Back,10,Everton LFC,967,"['61165190-b3e7-430b-b55e-f76b7fb78937', '78123cb5-565f-431e-88ee-ba404c2ec5d2']",20,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:20.825,Pass,
,,,,,,,,,,,,3.076682,,,,,,,,,,78123cb5-565f-431e-88ee-ba404c2ec5d2,121,,"[56.0, 10.0]",19783,3,,,,0.07677189,,,Left Foot,,,,"[69.0, 11.0]",,High Pass,13.038404,,So-Yun Ji,4647.0,,,,,Recovery,1,From Goal Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,10,Everton LFC,967,"['36927fac-e5bf-4533-870b-6d9793ffd30e', 'a597aafd-f460-4ecf-99b3-22877ec7febf']",22,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:22.771,Pass,
,,,,,,,,,,,,0.0009,,,,,,,,,,e2963971-4875-4962-a827-a514feccd83d,123,,"[69.0, 11.0]",19783,3,,,,0.7853982,,,Head,,,,"[70.0, 12.0]",,Low Pass,1.4142135,Incomplete,Bethany England,15550.0,,,,,,1,From Goal Kick,So-Yun Ji,4647.0,Center Attacking Midfield,10,Everton LFC,967,"['8557f004-2169-4c36-8381-34edd7df02a2', 'a95b1a9f-293d-4d76-b7da-8f5b0fb5f4fc']",25,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:25.847,Pass,
,,,,,,,,,,,,1.557953,,,,,,,,,,8557f004-2169-4c36-8381-34edd7df02a2,125,,"[51.0, 69.0]",19783,3,,,,-2.9147937,,,Head,,,,"[38.0, 66.0]",,Low Pass,13.341664,Unknown,Georgia Brougham,15574.0,,,,,Recovery,1,From Goal Kick,Angharad James,15577.0,Right Center Midfield,10,Everton LFC,967,"['6b44a854-433b-44c2-b805-0aaad4f40c50', 'e2963971-4875-4962-a827-a514feccd83d']",25,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:25.848,Pass,
,,,,,,,,,,,,1.050273,,,,,,,,,,82a69944-d8c0-4426-80b3-ca5e63045657,127,,"[63.0, 17.0]",19783,3,,,,-0.06885649,,,Right Foot,,,,"[92.0, 15.0]",,Low Pass,29.068884,Pass Offside,Bethany England,15550.0,,,,,Recovery,1,From Goal Kick,Sophie Louise Ingle,15549.0,Left Center Midfield,10,Everton LFC,967,['96886f51-c3f5-448c-b565-fe376c10bbcd'],28,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:28.281,Pass,
,,,,,,,,,,,,1.411548,,,,,,,,,,17a67343-a2d6-4068-b718-088f5a198fcf,129,,"[41.0, 65.0]",19783,3,,,,-1.6879051,,,Right Foot,,,,"[37.0, 31.0]",,Ground Pass,34.234486,,Gabrielle George,15575.0,,,,,Free Kick,1,From Free Kick,Georgia Brougham,15574.0,Right Center Back,11,Everton LFC,967,['cb973981-586b-4ca4-b6c7-5e20bd1b8e71'],34,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:34.358,Pass,
,,,,,,,,,,,,2.116077,,,,,,,,,,8a20d4f0-74d7-40c7-a91e-cdaf7294fcd8,132,,"[40.0, 29.0]",19783,3,,,,-1.4601392,,,Right Foot,,,,"[43.0, 2.0]",,Ground Pass,27.166155,,Danielle Turner,15571.0,,,,,,1,From Free Kick,Gabrielle George,15575.0,Left Center Back,11,Everton LFC,967,['6bb17b81-455a-4ed2-bd7c-ec0fc5d979be'],37,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:37.340,Pass,
,,,,,,,,,,,,1.250179,,,,,,,,,,801ee321-8e86-4aa4-b232-191157deabaf,135,,"[51.0, 5.0]",19783,3,,,,0.38050637,,,Left Foot,,,,"[66.0, 11.0]",,Ground Pass,16.155495,Incomplete,Angharad James,15577.0,,,,,,1,From Free Kick,Danielle Turner,15571.0,Left Back,11,Everton LFC,967,"['14350f30-626b-4659-95db-f8da227f3abb', 'dcc0c882-0882-4dc3-8e15-30f5e915f73c']",40,,,,,,,,,,,,,,,,,Everton LFC,967,00:03:40.048,Pass,
,,,,,,True,,,,,,1.711425,,,,,,,,,,14350f30-626b-4659-95db-f8da227f3abb,137,,"[55.0, 70.0]",19783,3,,,,0.41241044,,,Right Foot,,,,"[71.0, 77.0]",,High Pass,17.464249,,Erin Cuthbert,4660.0,,,,,Interception,1,Regular Play,Drew Spence,4638.0,Right Center Midfield,12,Chelsea FCW,971,"['801ee321-8e86-4aa4-b232-191157deabaf', 'ae6ead35-9745-40d8-9175-772613b920df']",41,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:41.298,Pass,
,,,,,,,,,,,,1.265041,,,,,,,,,,eb7ff4b0-6d99-4a4c-a435-abddbbdabb59,139,,"[71.0, 77.0]",19783,3,,,,-1.1583859,,,Head,,,,"[78.0, 61.0]",,High Pass,17.464249,Incomplete,Bethany England,15550.0,,,,,,1,Regular Play,Erin Cuthbert,4660.0,Right Wing,12,Chelsea FCW,971,"['33696776-0fbd-4f03-878b-fad538e1ebc9', '561041a6-efd5-4da4-a862-7f9cb77c4bd7']",43,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:43.413,Pass,
