ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.650922,,,,,,,,,,,,,,324647e8-2f2d-461f-9ad6-4c82366b959e,21,,,"[28.0, 43.0]",19804,0,,,,1.2882414,,Right Foot,,,,"[37.0, 74.0]",,Ground Pass,,32.280025,,,Harriet Scott,19592.0,,,,,,1,From Kick Off,Meaghan Sargeant,19502.0,Right Center Back,2,Birmingham City WFC,969,['66503a1d-95e6-4722-89d6-10fcda821879'],12,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:12.389,Pass,
,,,,,,,,,,,,,,,,0.975396,,,,,,,,,,,,,,799f2c35-e476-4a5c-a60b-4a8558f15f32,24,,,"[41.0, 74.0]",19804,0,,,,0.11065722,,Right Foot,,,,"[50.0, 75.0]",,Ground Pass,,9.055386,,,Emma Follis,15557.0,,,,,,1,From Kick Off,Harriet Scott,19592.0,Right Back,2,Birmingham City WFC,969,['228ceb99-8ea6-4dfc-86c8-a8ab01b3bd43'],15,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:15.596,Pass,
,,,,,,,,,,,,,,,,2.454382,,,,,,,,,,,,,,57fad84b-44e4-4dad-a95d-669a63fdd944,30,,,"[60.0, 7.0]",19804,0,,,,-0.2573237,,Left Foot,,,,"[79.0, 2.0]",,Ground Pass,,19.646883,Out,,,,,,,,Recovery,1,From Kick Off,Kim Little,15616.0,Left Center Midfield,2,Birmingham City WFC,969,,18,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:18.842,Pass,
,,,,,,,,,,,,,,,,0.630413,,,,,,,,,,,,,,65972aa5-d61b-4f63-af7b-7aa009439cd0,31,,,"[41.0, 80.0]",19804,0,,,,-1.4711276,,,,,,"[42.0, 70.0]",,Low Pass,,10.049875,,,Chloe Arthur,10193.0,,,,,Throw-in,1,From Throw In,Harriet Scott,19592.0,Right Back,3,Birmingham City WFC,969,['ad141021-8290-4628-80bf-9043fe119c57'],26,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:26.809,Pass,
,,,,,,,,,,,,,,,,1.2449,,,,,,,,,,,,,,a5341612-de8a-4a99-aecb-778d9eebb56a,34,,,"[42.0, 70.0]",19804,0,,,,2.3561945,,Right Foot,,,,"[36.0, 76.0]",,Low Pass,,8.485281,,,Harriet Scott,19592.0,,,,,,1,From Throw In,Chloe Arthur,10193.0,Left Defensive Midfield,3,Birmingham City WFC,969,['1c75f547-54fc-484d-baab-bb392c206a84'],27,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:27.479,Pass,
,,,,,,,,,,,,,,,,1.356612,,,,,,,,,,,,,,d388d5c3-8975-42e5-b40f-1b33738163c0,37,,,"[34.0, 73.0]",19804,0,,,,-2.819842,,Right Foot,,,,"[16.0, 67.0]",,Ground Pass,,18.973665,,,Meaghan Sargeant,19502.0,,,,,,1,From Throw In,Harriet Scott,19592.0,Right Back,3,Birmingham City WFC,969,['ccadbd3e-9403-4e53-9634-299a51268594'],29,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:29.546,Pass,
,,,,,,,,,,,,,,,,2.441323,,,,,,,,,,,,,,02456287-0a02-4500-840a-12d49fd45b44,41,,,"[14.0, 67.0]",19804,0,,,,-2.0344439,,Right Foot,,,,"[3.0, 45.0]",,Ground Pass,,24.596748,,,Hannah Hampton,22032.0,,,,,,1,From Throw In,Meaghan Sargeant,19502.0,Right Center Back,3,Birmingham City WFC,969,['d1cfd550-dec0-47af-8ee3-55018ce6357c'],31,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:31.853,Pass,
,,,,,,,,,,,,,,,,2.227226,,,,,,,,,,,,,,03ec3dfb-4f6e-4bf1-b851-7cd6fef2e6e7,44,,,"[3.0, 45.0]",19804,0,,,,1.5182133,,Left Foot,,,,"[4.0, 64.0]",,Ground Pass,,19.026299,,,Meaghan Sargeant,19502.0,,,,,,1,From Throw In,Hannah Hampton,22032.0,Goalkeeper,3,Birmingham City WFC,969,['e6627ffd-d579-40d9-b4ee-63d908802578'],34,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:34.335,Pass,
,,,,,,,,,,,,,,,,1.9939,,,,,,,,,,,,,,e35922a2-590a-4d02-8763-794e9b61025f,47,,,"[13.0, 65.0]",19804,0,,,,-0.19204801,,Right Foot,,,,"[49.0, 58.0]",,High Pass,,36.67424,,,Chloe Arthur,10193.0,,,,,,1,From Throw In,Meaghan Sargeant,19502.0,Right Center Back,3,Birmingham City WFC,969,['6965605f-6d6c-4756-b9f9-ae5a0f61e015'],39,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:39.371,Pass,
,,,,,,,,,,,,,,,,1.357447,,,,,,,,,,,,,,2d1fecd2-2b99-4891-8acc-a5cc73253e82,50,,,"[49.0, 58.0]",19804,0,,,,2.0074234,,Right Foot,,,,"[42.0, 73.0]",,Low Pass,,16.552946,,,Harriet Scott,19592.0,,,,,,1,From Throw In,Chloe Arthur,10193.0,Left Defensive Midfield,3,Birmingham City WFC,969,['2de6d93a-1c6d-44b0-a8c3-bc713daad256'],41,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:41.405,Pass,
,,,,,,,,,,,,,,,,0.790825,,,,,,,,,,,,,,b4ecf9a5-d087-4a63-b1c2-5e480521bf8c,54,,,"[34.0, 73.0]",19804,0,,,,-1.2924967,,Left Foot,,,,"[38.0, 59.0]",,Ground Pass,,14.56022,,,Lucy Staniforth,15562.0,,,,,,1,From Throw In,Harriet Scott,19592.0,Right Back,3,Birmingham City WFC,969,['d08e1258-e23f-4d18-8ce9-49cc544d39bb'],45,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:45.885,Pass,
,,,,,,,,,,,,,,,,1.2862,,,,,,,,,,,,,,398bf7c2-9e9e-4fd9-9ce5-f924e8e3fe2e,58,,,"[35.0, 51.0]",19804,0,,,,-2.077895,,Right Foot,,,,"[25.0, 33.0]",,Ground Pass,,20.59126,,,Aoife Mannion,19503.0,,,,,,1,From Throw In,Lucy Staniforth,15562.0,Center Attacking Midfield,3,Birmingham City WFC,969,['14dc55b7-5a6c-4acf-ab05-b4fe1d11f1d2'],48,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:48.484,Pass,
,,,,,,,,,,,,,,,,2.9757,,,,,,,,,,,,,,2103fafd-4487-43e7-b9b6-c2e6c641672b,65,,,"[76.0, 65.0]",19804,2,,,,-0.8567056,,Right Foot,,,,"[102.0, 35.0]",,High Pass,,39.698868,Incomplete,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,Free Kick,1,From Free Kick,Kim Little,15616.0,Left Center Midfield,4,Arsenal WFC,968,"['5da8ee7c-de82-498a-b4c0-494fb5ea7587', 'da1677bb-db65-4e15-9912-d628356c8653']",30,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:30.193,Pass,
,,,,,,,,,,,,,,,,0.114817,,,,,,,,,,,,,,6ed0738f-dc82-4503-ac4c-bf61b9804bbe,71,,,"[92.0, 44.0]",19804,2,,,,0.5880026,,Right Foot,,,,"[95.0, 46.0]",,Low Pass,,3.6055512,Incomplete,,Lisa Evans,10179.0,,,,,,1,From Free Kick,Vivianne Miedema,15623.0,Center Forward,4,Arsenal WFC,968,"['58877c21-12f3-4641-9954-1690fcf2e760', 'be91077f-fc7a-4a8a-97ba-5a5766258303']",35,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:35.667,Pass,
,,,,,,,,,,,,,,,,1.2772,,,,,,,,,,,,,,d7de706b-6e35-44c8-aa9d-3765de220cc2,76,,,"[46.0, 23.0]",19804,2,,,,-0.27094686,,Right Foot,,,,"[64.0, 18.0]",,Ground Pass,,18.681541,Incomplete,,Chloe Arthur,10193.0,,,,,,1,From Free Kick,Charlie Wellings,15563.0,Right Wing,4,Arsenal WFC,968,"['1372befc-979c-4dbc-8284-68c773cd4134', '567eec13-4e83-4d8b-92ae-2ef4f211ca96']",40,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:40.327,Pass,
,,,,,,,,,,,,,,,,2.514258,,,,,,,,,,,,,,567eec13-4e83-4d8b-92ae-2ef4f211ca96,78,,,"[57.0, 63.0]",19804,2,,,,0.7853982,,Right Foot,,,,"[71.0, 77.0]",,Ground Pass,,19.79899,,,Lisa Evans,10179.0,,,,,Recovery,1,From Free Kick,Leah Williamson,18999.0,Right Center Back,4,Arsenal WFC,968,"['acf80e9c-73ed-4623-abff-31a3d30658e7', 'd7de706b-6e35-44c8-aa9d-3765de220cc2']",41,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:41.604,Pass,
,,,,,,,,,,,,,,,,0.988188,,,,,,,,,,,,,,fbde914d-5659-4878-a845-cd740035db29,82,,,"[74.0, 78.0]",19804,2,,,,-1.6421038,,Right Foot,,,,"[73.0, 64.0]",,Ground Pass,,14.035668,,,Vivianne Miedema,15623.0,,,,,,1,From Free Kick,Lisa Evans,10179.0,Right Back,4,Arsenal WFC,968,['0c065ba2-4319-4f40-befd-90add11b4e03'],45,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:45.221,Pass,
,,,,,,,,,,,,,,,,1.313153,,,,,,,,,,,,,,0f9212e8-efc7-4c10-a854-59149a2938cb,89,,,"[42.0, 16.0]",19804,2,,,,2.819842,,Right Foot,,,,"[24.0, 22.0]",,Ground Pass,,18.973665,,,Aoife Mannion,19503.0,,,,,Recovery,1,Regular Play,Lucy Staniforth,15562.0,Center Attacking Midfield,5,Birmingham City WFC,969,"['39129bd2-b9ec-44d3-9eaf-04a881cccdd6', '556fa335-d1ec-47a9-9edb-d1753a18281e']",49,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:49.378,Pass,True
,,,,,,,,,,,,,,,,2.66156,,,,,,,,,,,,,,70a31349-2045-4d08-b990-5f184589ff3b,94,,,"[20.0, 22.0]",19804,2,,,,2.4468544,,Right Foot,,,,"[2.0, 37.0]",,Ground Pass,,23.43075,,,Hannah Hampton,22032.0,,,,,,1,Regular Play,Aoife Mannion,19503.0,Left Center Back,5,Birmingham City WFC,969,"['0e9595c8-da06-4d74-8408-74d89744036d', '8a996fab-8830-4681-b8c5-d8a2bdb732a4']",51,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:51.777,Pass,True
,,,,,,,,,,,,,,,,3.756271,,,,,,,,,,,,,,03cd2aef-ead9-465d-8399-3fa0542304f0,98,,,"[2.0, 38.0]",19804,2,,,,-1.2571757,,Right Foot,,,,"[14.0, 1.0]",,High Pass,,38.8973,Out,,,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,5,Birmingham City WFC,969,['bbbdfa73-4e6b-43ad-bdac-49251cb2ffdc'],54,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:54.479,Pass,True
,,,,,,,,,,,,,,,,2.268,,,,,,,,,,,,,,efdedfba-f1ce-440c-af0d-cb65d5a3c9c5,99,,,"[107.0, 80.0]",19804,3,,,,-1.5707964,,,,,,"[107.0, 65.0]",,Low Pass,,15.0,,,Danielle van de Donk,10658.0,,,,,Throw-in,1,From Throw In,Lisa Evans,10179.0,Right Back,6,Arsenal WFC,968,['162940a3-e554-4d51-b30e-ce396e9cadd3'],11,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:03:11.278,Pass,
,,,,,,,,,,,,,,,,0.2467,,,,,,,,,,,,,,c25de466-0544-42c5-bff8-e701ae855d78,103,,,"[106.0, 68.0]",19804,3,,,,-1.5707964,,Right Foot,,,,"[106.0, 64.0]",,Low Pass,,4.0,Incomplete,,Kim Little,15616.0,,,,,,1,From Throw In,Danielle van de Donk,10658.0,Right Center Midfield,6,Arsenal WFC,968,"['326f2c7c-e883-49a7-953c-f52245569094', 'ffa4aa24-a2db-4e9c-a83c-c03e98a964ed']",16,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:03:16.146,Pass,
,,,,,,,,,,,,,,,,1.263257,,,,,,,,,,,,,,10a7d01b-a4f9-4593-8d7d-a4aba83ca802,106,,,"[26.0, 13.0]",19804,3,,,,-0.87605804,,Right Foot,,,,"[36.0, 1.0]",,Ground Pass,,15.6205,Out,,,,,,,,Recovery,1,From Throw In,Chloe Arthur,10193.0,Left Defensive Midfield,6,Arsenal WFC,968,,18,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:03:18.286,Pass,
,,,,,,,,,,,,,,,,1.3666,,,,,,,,,,,,,,4cde1310-d76d-4e5d-a076-20be83f4c47e,107,,,"[92.0, 80.0]",19804,3,,,,-0.9600704,,,,,,"[99.0, 70.0]",,Low Pass,,12.206555,,,Katie McCabe,15620.0,,,,,Throw-in,1,From Throw In,Lisa Evans,10179.0,Right Back,7,Arsenal WFC,968,['46c46e3b-21f4-4a17-8007-6ff620b6a5ae'],29,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:03:29.924,Pass,
,,,,,,,,,,,,,,,,0.950926,,,,,,,,,,,,,,1797ca62-56b2-4f83-9960-1c16f5b1d362,115,,,"[23.0, 11.0]",19804,3,,,,2.4980915,,Left Foot,,,,"[11.0, 20.0]",,Ground Pass,,15.0,,,Aoife Mannion,19503.0,,,,,Free Kick,1,From Free Kick,Kerys Harrop,15569.0,Left Back,9,Birmingham City WFC,969,['1ca177d6-a516-4735-b41f-f2963e95070d'],41,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:03:41.991,Pass,
,,,,,,,,,,,,,,,,1.500397,,,,,,,,,,,,,,89dae0d2-7126-42f6-8e64-ff56497e9050,118,,,"[19.0, 21.0]",19804,3,,,,-1.4056476,,Right Foot,,,,"[22.0, 3.0]",,Ground Pass,,18.248287,,,Kerys Harrop,15569.0,,,,,,1,From Free Kick,Aoife Mannion,19503.0,Left Center Back,9,Birmingham City WFC,969,['5f9df35e-498d-4b24-93fe-e22eebf99748'],45,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:03:45.464,Pass,
,,,,,,,,,,,,,,,,1.0133,,,,,,,,,,,,,,79da8a03-b7f4-48e0-b119-665c0740bd8d,122,,,"[21.0, 3.0]",19804,3,,,,2.5748634,,Left Foot,,,,"[10.0, 10.0]",,Ground Pass,,13.038404,,,Aoife Mannion,19503.0,,,,,,1,From Free Kick,Kerys Harrop,15569.0,Left Back,9,Birmingham City WFC,969,"['42a425e3-30d1-471c-bfae-e219e44d1e26', 'f8087ad3-e748-459b-8eef-e928e23dc513']",47,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:03:47.882,Pass,True
,,,,,,,,,,,,,,,,2.4493,,,,,,,,,,,,,,a6ddffc9-b181-4656-ad8f-2354b129d246,125,,,"[11.0, 10.0]",19804,3,,,,-0.11848996,,Left Foot,,,,"[53.0, 5.0]",,High Pass,,42.296574,,,Ellen White,10180.0,,,,,,1,From Free Kick,Aoife Mannion,19503.0,Left Center Back,9,Birmingham City WFC,969,['fa0742cc-c5b1-4380-95bc-5a39d28fb3cc'],48,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:03:48.936,Pass,
