50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,260e0ba4-5867-4ba4-96af-9c0cda0a0367,1,,,19782,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,0fbea23f-73af-4c57-ae21-e0e7a7a24ced,2,,,19782,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4312, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,f52aaec9-63e1-4c17-8f95-732d9af672e1,3,,,19782,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['6d6147a3-2dca-4443-a88a-b2ae84edbf8c'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,6d6147a3-2dca-4443-a88a-b2ae84edbf8c,4,,,19782,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['f52aaec9-63e1-4c17-8f95-732d9af672e1'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,b69ed623-8571-4947-8fcb-00c0fc05a9ef,1595,,,19782,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,120,Birmingham City WFC,969,['51bb7748-70bf-470b-8170-63e8bfe23b7e'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,51bb7748-70bf-470b-8170-63e8bfe23b7e,1596,,,19782,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,120,Birmingham City WFC,969,['b69ed623-8571-4947-8fcb-00c0fc05a9ef'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,2.3635,,,,,,,,,,,,,da671bfe-59f6-4e01-9507-3cc466fa8fae,5,,"[61.0, 41.0]",19782,0,,,2.3561945,,,Left Foot,,,,"[46.0, 56.0]",,Ground Pass,21.213203,,Kirstyn Pearce,18152.0,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Attacking Midfield,2,Reading WFC,974,['24f8a615-b708-48c5-9152-e68769084adc'],1,,,,,,,,,,,,,,,,Reading WFC,974,00:00:01.298,Pass,
,,,,,,,,,,,4.035101,,,,,,,,,,,,,e0ae4bb4-2ea1-40b7-8028-5a5d52a4527b,9,,"[48.0, 60.0]",19782,0,,,-0.09347678,,,Left Foot,,,,"[112.0, 54.0]",,Low Pass,64.28063,Incomplete,Brooke Chaplen,15723.0,,,,,,1,From Kick Off,Kirstyn Pearce,18152.0,Right Center Back,2,Reading WFC,974,"['85377a75-5b2f-4e77-a329-2dde1ff85909', 'aba32db4-40b7-4285-ae12-1d761340b401']",7,,,,,,,,,,,,,,,,Reading WFC,974,00:00:07.934,Pass,
,,,,,,,,,,,1.8433,,,,,,,,,,,,,5014cd80-bda5-46b8-9eac-38fe15c195a4,13,,"[7.0, 35.0]",19782,0,,,-0.9179497,,,Right Foot,,,,"[20.0, 18.0]",,Ground Pass,21.400934,Incomplete,Paige Williams,15567.0,,,,,,1,From Kick Off,Hannah Hampton,22032.0,Goalkeeper,2,Reading WFC,974,"['c9da9922-79fb-4058-9b8e-1e1cbe69c38d', 'd5616047-c195-4732-bd9f-633c96389fb5']",22,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:22.720,Pass,
,,,,,,,,,,,0.9134,,,,,,,,,,,,,c9da9922-79fb-4058-9b8e-1e1cbe69c38d,15,,"[101.0, 63.0]",19782,0,,,-0.8519663,,,Right Foot,,,,"[108.0, 55.0]",,Low Pass,10.630146,Pass Offside,Fara Williams,10251.0,,,,,Recovery,1,From Kick Off,Lauren Bruton,15726.0,Right Center Forward,2,Reading WFC,974,"['5014cd80-bda5-46b8-9eac-38fe15c195a4', 'c3c26477-cb70-41fb-a16d-53ed48f85fb1']",24,,,,,,,,,,,,,,,,Reading WFC,974,00:00:24.563,Pass,
