ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,83c5996b-6be8-4416-bebd-1c26622cb626,1,,,,19764,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15708, 'name': 'Amy Goddard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15716, 'name': 'Emily Syme'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15711, 'name': 'Amber Gaylor'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,4bae9861-f911-4df0-b523-b3a8f326ed94,2,,,,19764,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,78a0bfcf-4f5f-418d-98ca-c0f5a47e5a0f,3,,,,19764,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['17811e1e-c20c-49c0-bed4-c468f764e858'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,17811e1e-c20c-49c0-bed4-c468f764e858,4,,,,19764,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['78a0bfcf-4f5f-418d-98ca-c0f5a47e5a0f'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,25dd997b-65c5-4c1e-9391-eefff96f3d8b,1851,,,,19764,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Manchester City WFC,746,['7ee9a723-99df-43ef-8242-ea4314524771'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,7ee9a723-99df-43ef-8242-ea4314524771,1852,,,,19764,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Manchester City WFC,746,['25dd997b-65c5-4c1e-9391-eefff96f3d8b'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,1.543526,,,,,,,,,,,,cf54399c-23b3-4ee4-bb30-913421879c68,5,,,"[60.0, 40.0]",19764,0,,,-2.3561945,,,Right Foot,,,,"[52.0, 32.0]",,Ground Pass,11.313708,,,Bonnie Horwood,15713.0,,,,,Kick Off,1,From Kick Off,Emily Syme,15716.0,Center Attacking Midfield,2,Yeovil Town LFC,970,['97de9bc6-9b38-4bea-b8e7-100e1fd9ebf4'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.880,Pass,
,,,,,,,,,,,1.385461,,,,,,,,,,,,a1216c5b-540f-4cbc-898f-8936075c6959,8,,,"[49.0, 32.0]",19764,0,,,2.9340963,,,Right Foot,,,,"[30.0, 36.0]",,Ground Pass,19.416489,,,Hannah Short,15717.0,,,,,,1,From Kick Off,Bonnie Horwood,15713.0,Left Center Midfield,2,Yeovil Town LFC,970,['207e7038-d142-4938-a790-a2c495a82388'],2,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:02.725,Pass,
,,,,,,,,,,,1.13493,,,,,,,,,,,,b00772e6-505e-4900-afe9-539017b52cb1,12,,,"[27.0, 34.0]",19764,0,,,-1.5707964,,,Right Foot,,,,"[27.0, 19.0]",,Ground Pass,15.0,,,Ellie Mason,15715.0,,,,,,1,From Kick Off,Hannah Short,15717.0,Right Center Back,2,Yeovil Town LFC,970,"['4f85ee60-883f-4427-9f09-36641c50d67c', 'cf8399cd-7cd2-4a65-a64e-164570709ffd']",5,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.260,Pass,True
,,,,,,,,,,,1.399032,,,,,,,,,,,,dac40dd9-661e-41a2-853c-7b0f9dfeb927,16,,,"[27.0, 18.0]",19764,0,,,-1.5707964,,,Left Foot,,,,"[27.0, 3.0]",,Ground Pass,15.0,,,Megan Alexander,15710.0,,,,,,1,From Kick Off,Ellie Mason,15715.0,Left Center Back,2,Yeovil Town LFC,970,"['217e3cc8-c77e-45e9-ac4d-912a80f7d0b7', 'a1ce8f0a-304d-454a-83c9-acd33e77737a']",7,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:07.617,Pass,True
