ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,0.0,,,,,,,,,,,6e634c78-7b4f-4345-b1c9-0f7bc93d5779,1,,,,19715,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16375, 'name': 'Laura Hartley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,0.0,,,,,,,,,,,0def3b3a-52d9-4ac8-b316-5d1ef380a391,2,,,,19715,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16387, 'name': 'Ali Johnson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 16389, 'name': 'Jessica Wooley'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,0.0,,,,,,,,,,,57dc8c87-cf86-4af2-aaa1-92068f9df0aa,3,,,,19715,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['0bed270d-4a24-432c-81bb-d5814f13ead1'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,0.0,,,,,,,,,,,0bed270d-4a24-432c-81bb-d5814f13ead1,4,,,,19715,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['57dc8c87-cf86-4af2-aaa1-92068f9df0aa'],0,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,0.0,,,,,,,,,,,e7f697a0-727e-4d0f-ae97-f5df9e9528f0,1201,,,,19715,45,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Brighton & Hove Albion WFC,965,['44608ac7-8eba-434f-bab6-83cbf5d2335d'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,0.0,,,,,,,,,,,44608ac7-8eba-434f-bab6-83cbf5d2335d,1202,,,,19715,45,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Brighton & Hove Albion WFC,965,['e7f697a0-727e-4d0f-ae97-f5df9e9528f0'],0,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,1.244751,,,,,,,,,,,fbe128bf-b070-438d-89c3-97ffd5ff5711,5,,,"[61.0, 41.0]",19715,0,True,,-1.1737169,,,Right Foot,,"[74.0, 10.0]",Ground Pass,33.61547,,Kate Natkiel,16399.0,,,Kick Off,1,From Kick Off,Kayleigh Green,16400.0,Center Forward,2,Brighton & Hove Albion WFC,965,['883dce45-cef0-4c3f-b645-c0a87c6e8a0f'],1,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:01.215,Pass,
,,,,,,,,1.4945,,,,,,,,,,,36ca8274-2592-4749-a25c-7a3bed8a9bed,8,,,"[38.0, 80.0]",19715,0,,,-0.33205947,,,,,"[67.0, 70.0]",High Pass,30.675724,,Juliette Kemppi,16390.0,,,Throw-in,1,From Throw In,Loren Dykes,16391.0,Right Back,3,Bristol City WFC,973,['2f5f0c9c-bf51-4d53-9da8-328da8926ad5'],4,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:04.714,Pass,
,,,,,,,,0.599057,,,,,,,,,,,d4ab0b24-3db1-4f80-9002-228e6ec930f7,11,,,"[67.0, 70.0]",19715,0,,,2.896614,,,Right Foot,,"[63.0, 71.0]",Ground Pass,4.1231055,Incomplete,,,,,,1,From Throw In,Juliette Kemppi,16390.0,Left Center Forward,3,Bristol City WFC,973,['2a62d0d1-3da2-462e-8c21-88220e92c573'],6,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.249,Pass,
,,,,,,,,2.377019,,,,,,,,,,,acadc606-40b7-407b-a98c-d9b85949c112,15,,,"[56.0, 9.0]",19715,0,,,2.0344439,,,Right Foot,,"[48.0, 25.0]",Ground Pass,17.888544,,Chloe Peplow,16397.0,,,,1,Regular Play,Danielle Buet,20034.0,Right Defensive Midfield,4,Brighton & Hove Albion WFC,965,['e253f547-2ef3-4e24-a42b-52f0b9d2ab4d'],8,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.516,Pass,
