ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,7f827b10-3509-487a-afec-5849de8d2d03,1,,,19751,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 3232, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,91bca195-3608-4204-97fc-f3a83b9a1f3a,2,,,19751,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,14a634a8-1174-4744-b9a3-0bbce768edcd,3,,,19751,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['1b35f6a6-0904-455c-9cc6-40cc15f16e47'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,1b35f6a6-0904-455c-9cc6-40cc15f16e47,4,,,19751,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['14a634a8-1174-4744-b9a3-0bbce768edcd'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,a1bfdda3-a486-4ae8-b13e-e550a76b73d8,1637,,,19751,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,West Ham United LFC,972,['5ef30705-ab44-4d17-90ab-db103bfb7e9b'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,5ef30705-ab44-4d17-90ab-db103bfb7e9b,1638,,,19751,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,West Ham United LFC,972,['a1bfdda3-a486-4ae8-b13e-e550a76b73d8'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,1.264216,,,,,,,,,acbc9bf5-ec94-4e92-8d6a-64064c8b738a,5,,"[60.0, 40.0]",19751,0,,,,3.1415927,,,Right Foot,,,"[49.0, 40.0]",,Ground Pass,11.0,,Sophie Louise Ingle,15549.0,,,,,Kick Off,1,From Kick Off,Francesca Kirby,4641.0,Center Forward,2,Chelsea FCW,971,['f6f701a6-2e80-477f-8bfa-da1be662c646'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.438,Pass,
,,,,,,,,,,2.132501,,,,,,,,,8af99f76-7058-4e14-b6a7-cf18b8ccabfa,9,,"[51.0, 40.0]",19751,0,,,,1.7475052,,,Left Foot,,,"[46.0, 68.0]",,Ground Pass,28.442924,,Hannah Jayne Blundell,17275.0,,,,,,1,From Kick Off,Sophie Louise Ingle,15549.0,Right Center Midfield,2,Chelsea FCW,971,"['177e62d4-f83f-4275-96c3-6f87096e3758', '21c35446-6239-4d9a-92f4-54a2ffc6e27f']",2,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:02.531,Pass,True
,,,,,,,,,,1.124233,,,,,,,,,bbf76a1d-8370-42e4-b420-e55652924d93,12,,"[54.0, 66.0]",19751,0,,,,1.3045443,,,Left Foot,,,"[57.0, 77.0]",,Ground Pass,11.401754,,Ramona Bachmann,4659.0,,,,,,1,From Kick Off,Hannah Jayne Blundell,17275.0,Right Back,2,Chelsea FCW,971,['4e33b427-ccef-4697-833d-18bd677a3f51'],5,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.977,Pass,
,,,,,,,,,,0.917432,,,,,,,,,c4b52319-e68b-42b4-afef-12bc77641c43,16,,"[74.0, 62.0]",19751,0,,,,2.976444,,,Right Foot,,,"[68.0, 63.0]",,Ground Pass,6.0827627,,Sophie Louise Ingle,15549.0,,,,,,1,From Kick Off,Ramona Bachmann,4659.0,Right Wing,2,Chelsea FCW,971,['e2d8a3f1-1000-40d7-8045-b9321760c53c'],15,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:15.649,Pass,
