bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,0b483cd2-1d36-49a0-85c2-149a9de553df,1,,,,7298,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4635, 'name': 'Julia Spetsmark'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4650, 'name': 'Nadia Nadim'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,2c873afb-73bb-48a1-9fd5-bfe1400b4a83,2,,,,7298,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,7.96,,,,,,,,,,,040940a1-5972-431e-b6ac-e723edd8e7c2,3,,,,7298,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['5ba286bd-c397-4ac4-b12f-6bace943afce'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,8.16,,,,,,,,,,,5ba286bd-c397-4ac4-b12f-6bace943afce,4,,,,7298,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['040940a1-5972-431e-b6ac-e723edd8e7c2'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,9.52,,,,,,,,,,,f353f153-ea0e-4102-8dd3-695b8dfc9991,1928,,,,7298,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Manchester City WFC,746,['439fa3da-9bd5-4571-b2b1-0bcf2b3e7ca4'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,9.56,,,,,,,,,,,439fa3da-9bd5-4571-b2b1-0bcf2b3e7ca4,1929,,,,7298,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Manchester City WFC,746,['f353f153-ea0e-4102-8dd3-695b8dfc9991'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,2a456ec2-352c-499b-b5cc-e68bf84c7e9a,5,,,"[61.0, 40.0]",7298,0,,-0.98279375,,,Right Foot,,,"[63.0, 37.0]",,Ground Pass,3.6055512,,Ramona Bachmann,4659.0,,,,,Kick Off,1,From Kick Off,So-Yun Ji,4647.0,Center Midfield,2,Chelsea FCW,971,['483b7286-e75e-4191-80be-ac93bfed1473'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.100,Pass,
,,,,,,,,,,,,1.64,,,,,,,,,,,38023613-6b26-44e2-a0f8-9aab9960d2ff,9,,,"[69.0, 33.0]",7298,0,,-1.0789871,,,Right Foot,,,"[84.0, 5.0]",,Low Pass,31.764761,,Crystal Alyssia Dunn Soubrier,5088.0,,,,,,1,From Kick Off,Ramona Bachmann,4659.0,Left Center Forward,2,Chelsea FCW,971,"['22f23387-caec-4ddd-8b31-8f25608094c3', 'f69fd6f1-9f85-4c49-be7f-c03b4a273a4e']",0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.500,Pass,True
,,,,,,,,,,,,2.587,,,,,,,,,,,b8c43bec-de04-4cbb-87b5-f0c454a6fa94,15,,,"[6.0, 43.0]",7298,0,,0.456072,,,Right Foot,,,"[59.0, 69.0]",,High Pass,59.03389,Incomplete,Nikita Parris,4654.0,,,,,Goal Kick,1,From Goal Kick,Ellie Roebuck,4637.0,Goalkeeper,3,Manchester City WFC,746,"['e2fbc93d-d820-4597-857c-050db6b9b883', 'fa7be948-c79a-4f6e-a0b4-73808797ce53']",25,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:25.873,Pass,
,,,,,,,,,,,,1.173,,,,,,,,,,,fa7be948-c79a-4f6e-a0b4-73808797ce53,17,,,"[62.0, 12.0]",7298,0,,-0.11065722,,,Right Foot,,,"[80.0, 10.0]",,High Pass,18.110771,Incomplete,Crystal Alyssia Dunn Soubrier,5088.0,,,,,Recovery,1,From Goal Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,3,Manchester City WFC,746,"['7cc1c0c6-2c01-44d7-84dc-af3174363676', '994e9fef-8ab6-4f1b-9b80-f43ffde1cc17', 'b8c43bec-de04-4cbb-87b5-f0c454a6fa94']",28,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:28.460,Pass,
