ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,1.432769,,,,,,,,,,9c0330a1-2fed-4423-af6b-61303549b147,17,,"[58.0, 32.0]",19720,0,,,-0.8794594,,,Left Foot,,,"[82.0, 3.0]",High Pass,37.64306,,Jonna Ann-Charlotte Andersson,10222.0,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Chelsea FCW,971,['ad0dc65a-91a6-4f5b-afbc-a7e6c7d8db3f'],11,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:11.864,Pass,
,,,,,,,,4.814654,,,,,,,,,,6b779836-2215-41cc-b3d1-b5bab63b2d43,19,,"[84.0, 3.0]",19720,0,,,0.0,,,Head,,,"[119.0, 3.0]",High Pass,35.0,Out,Ramona Bachmann,4659.0,,,,1,From Kick Off,Jonna Ann-Charlotte Andersson,10222.0,Left Back,2,Chelsea FCW,971,['abafedaa-d8f9-42b8-97b9-f0a3c14d0ec6'],13,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:13.377,Pass,
,,,,,,,,1.8948,,,,,,,,,,89ddf1b0-7ebb-4ae7-87e1-525cc4fa0e3a,21,,"[7.0, 41.0]",19720,0,,,0.86630225,,,Left Foot,,,"[24.0, 61.0]",Ground Pass,26.24881,,Danique Kerkdijk,16383.0,,,Goal Kick,1,From Goal Kick,Sophie Baggaley,16376.0,Goalkeeper,3,Bristol City WFC,973,['f2634acf-3908-4264-930e-1616d9e147d4'],41,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:41.650,Pass,
,,,,,,,,1.7668,,,,,,,,,,9273e29b-c2ad-4380-b2e8-bfc2c3d210e7,23,,"[24.0, 61.0]",19720,0,,,-2.3561945,,,Left Foot,,,"[9.0, 46.0]",Ground Pass,21.213203,,Sophie Baggaley,16376.0,,,,1,From Goal Kick,Danique Kerkdijk,16383.0,Right Center Back,3,Bristol City WFC,973,['7831417c-0f44-4b7d-9e31-d9d790d9a692'],43,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:43.545,Pass,
,,,,,,,,5.4023,,,,,,,,,,2ad7321c-a96e-45e7-ad2b-ce5043ce96c1,26,,"[9.0, 46.0]",19720,0,,,0.39479113,,,Right Foot,,,"[45.0, 61.0]",High Pass,39.0,,Carla Humphrey,16384.0,,,,1,From Goal Kick,Sophie Baggaley,16376.0,Goalkeeper,3,Bristol City WFC,973,['6c8228f4-ef93-4ffc-9111-9d4a0d14aa65'],45,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:45.352,Pass,
,,,,,,,,1.5759,,,,,,,,,,8a1282fe-aea1-4dca-b913-a0805e82db88,29,,"[44.0, 60.0]",19720,0,,,-1.7681919,,,Head,,,"[43.0, 55.0]",High Pass,5.0990195,,Lucy Hope,16386.0,,,,1,From Goal Kick,Carla Humphrey,16384.0,Right Wing,3,Bristol City WFC,973,"['457d4bc5-c28d-4a29-9b03-b95ecee33a1b', 'e5db688e-84a5-4353-8e75-5533a7a4d0ef']",50,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:50.794,Pass,True
,,,,,,,,1.1426,,,,,,,,,,760200b7-243c-4c8a-a065-4170ae8f20e6,31,,"[43.0, 55.0]",19720,0,,,2.961739,,,Head,,,"[32.0, 57.0]",High Pass,11.18034,,Danique Kerkdijk,16383.0,,,,1,From Goal Kick,Lucy Hope,16386.0,Right Center Midfield,3,Bristol City WFC,973,['7ea6e1b0-b181-4a31-9a50-e8daeb24a1ca'],52,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:52.370,Pass,
,,,,,,,,1.9598,,,,,,,,,,ce3fb918-f626-4254-98f9-d681543afa3e,34,,"[30.0, 58.0]",19720,0,,,-0.13706617,,,Right Foot,,,"[59.0, 54.0]",High Pass,29.274563,,Juliette Kemppi,16390.0,,,,1,From Goal Kick,Danique Kerkdijk,16383.0,Right Center Back,3,Bristol City WFC,973,['08499b92-024d-4856-a7d7-89310b524314'],54,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:54.287,Pass,
,,,,,,,,0.973,,,,,,,,,,ee14b6ab-1e0e-4469-aa56-8932eecbb479,46,,"[71.0, 44.0]",19720,1,,,-1.4464413,,,Left Foot,,,"[72.0, 36.0]",Ground Pass,8.062258,,Julie Biesmans,10095.0,,,,1,From Goal Kick,Ella Rutherford,16388.0,Left Wing,3,Bristol City WFC,973,['fb055f9d-3734-41c2-84ad-322588e1a29c'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:00.191,Pass,
,,,,,,,,0.5253,,,,,,,,,,3a7b13a9-43f6-4e34-b2a1-129ac5ccea85,49,,"[73.0, 36.0]",19720,1,,,0.4636476,,,Left Foot,,,"[87.0, 43.0]",Ground Pass,15.652476,Incomplete,Carla Humphrey,16384.0,,,,1,From Goal Kick,Julie Biesmans,10095.0,Left Center Midfield,3,Bristol City WFC,973,"['7033066a-8af7-40ce-8102-dd1df06c2c04', 'd084e516-ffdf-42d2-8605-d9d5a6163b66']",1,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:01.315,Pass,
,,,,,,,,0.1117,,,,,,,,,,b6a4faab-582b-44b5-b339-2e8d991fb468,52,,"[25.0, 28.0]",19720,1,,,-0.24497867,,,Left Foot,,,"[29.0, 27.0]",High Pass,4.1231055,Incomplete,,,,,Recovery,1,From Goal Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,3,Bristol City WFC,973,['32aa3de0-cb59-461b-b464-8206503f571c'],4,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:04.046,Pass,
,,,,,,,,1.0986,,,,,,,,,,ecfd793e-4566-4119-89aa-d001a5ebb86c,59,,"[116.0, 71.0]",19720,1,,,-2.5829933,,,Left Foot,,,"[108.0, 66.0]",Ground Pass,9.433981,,Carla Humphrey,16384.0,,,,1,From Goal Kick,Ella Rutherford,16388.0,Left Wing,3,Bristol City WFC,973,['87876f55-4678-4e2f-be9a-d3a18fbaf571'],10,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:10.118,Pass,
,,,,,,,,1.879619,,,,,,,,,,82959c14-1be9-4558-82b8-2e23b829da79,62,,"[107.0, 66.0]",19720,1,,,-1.6814536,,,Right Foot,,,"[106.0, 57.0]",High Pass,9.055386,Incomplete,,,,,,1,From Goal Kick,Carla Humphrey,16384.0,Right Wing,3,Bristol City WFC,973,['785d2e51-d365-4996-8965-7aa07ec7d2bd'],11,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:11.377,Pass,
,,,,,,,,3.06766,,,,,,,,,,67a0e645-a266-40cf-878d-dfb97a727de3,65,,"[18.0, 29.0]",19720,1,,,1.2277724,,,Right Foot,,,"[28.0, 57.0]",Ground Pass,29.732138,,So-Yun Ji,4647.0,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,4,Chelsea FCW,971,['c765b568-0494-4daa-8875-7194bb2e76d5'],14,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:14.467,Pass,
,,,,,,,,1.9335,,,,,,,,,,8ce52b29-ce36-4b5c-997f-003c6a1078bf,68,,"[28.0, 58.0]",19720,1,,,1.7126933,,,Right Foot,,,"[26.0, 72.0]",Ground Pass,14.142136,,Erin Cuthbert,4660.0,,,,1,Regular Play,So-Yun Ji,4647.0,Right Center Midfield,4,Chelsea FCW,971,['bfb82993-1cc5-46ec-a12e-0485f6e987b1'],17,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:17.575,Pass,
,,,,,,,,1.2683,,,,,,,,,,dd55a4de-bfd1-498f-808b-487312cac4ae,71,,"[27.0, 72.0]",19720,1,,,-1.2220253,,,Right Foot,,,"[31.0, 61.0]",Ground Pass,11.7046995,,So-Yun Ji,4647.0,,,,1,Regular Play,Erin Cuthbert,4660.0,Right Wing,4,Chelsea FCW,971,['bfe495cc-9549-47a3-9d8b-83101f69692b'],19,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:19.759,Pass,
,,,,,,,,1.169389,,,,,,,,,,3513cd17-cc58-4747-bb32-b1c2934432ae,74,,"[42.0, 67.0]",19720,1,,,1.3045443,,,Right Foot,,,"[45.0, 78.0]",Ground Pass,11.401754,,Erin Cuthbert,4660.0,,,,1,Regular Play,So-Yun Ji,4647.0,Right Center Midfield,4,Chelsea FCW,971,['342f97bf-837c-4e02-8d95-733f44219f48'],23,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:23.863,Pass,
,,,,,,,,1.523917,,,,,,,,,,995d5875-b95f-46ab-937f-affb5f5ef025,77,,"[49.0, 76.0]",19720,1,,,-1.9028558,,,Right Foot,,,"[39.0, 47.0]",Ground Pass,30.675724,,Millie Bright,4642.0,,,,1,Regular Play,Erin Cuthbert,4660.0,Right Wing,4,Chelsea FCW,971,['e6431201-4958-46f5-bd49-38524e58f48b'],28,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:28.407,Pass,
,,,,,,,,2.188357,,,,,,,,,,3f219d63-82a9-46cd-8a01-b9a47c8c72ed,80,,"[44.0, 47.0]",19720,1,,,-1.1071488,,,Right Foot,,,"[66.0, 3.0]",High Pass,49.193497,,Jonna Ann-Charlotte Andersson,10222.0,,True,,1,Regular Play,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,['5d03844a-f554-458d-baf2-b4fea05b5e10'],31,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:31.653,Pass,
,,,,,,,,0.0061,,,,,,,,,,bd6c7484-c023-4c28-8875-beb80d8e7afe,84,,"[70.0, 4.0]",19720,1,,,-1.5707964,,,Left Foot,,,"[70.0, 1.0]",High Pass,3.0,Incomplete,,,,,,1,Regular Play,Jonna Ann-Charlotte Andersson,10222.0,Left Back,4,Chelsea FCW,971,['de14fe7f-4c3d-41a6-89d7-6bfbcfb91235'],34,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:34.920,Pass,
,,,,,,,,1.614024,,,,,,,,,,5ea3c523-c6a4-4e0d-95ca-9d92608d5907,86,,"[71.0, 1.0]",19720,1,,,2.634494,,,,,,"[53.0, 11.0]",Low Pass,20.59126,,Magdalena Lilly Eriksson,4633.0,,,Throw-in,1,From Throw In,Jonna Ann-Charlotte Andersson,10222.0,Left Back,5,Chelsea FCW,971,['e12fde77-7ae3-465f-9bb1-5b5eb20be918'],45,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:45.900,Pass,
