ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,2220f091-88cf-4ff4-bc95-1459a075fa11,1,,,19744,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,fe4f8aa3-37dd-4f34-a242-9d98e90e88b5,2,,,19744,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 3142, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,37444434-6b2c-46d7-8d5f-d06000bfd8da,3,,,19744,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['d8fdbf66-686c-494e-b485-5bce558a71ce'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,d8fdbf66-686c-494e-b485-5bce558a71ce,4,,,19744,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['37444434-6b2c-46d7-8d5f-d06000bfd8da'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,6d441a32-77fc-4f9c-a86e-9a18f55bb9e7,1847,,,19744,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Arsenal WFC,968,['8be3fe2d-bcca-46c9-bb3f-0ecaed879eb2'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,8be3fe2d-bcca-46c9-bb3f-0ecaed879eb2,1848,,,19744,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Arsenal WFC,968,['6d441a32-77fc-4f9c-a86e-9a18f55bb9e7'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.3202,,,,,,,,,,,820b795e-c730-43e0-b5fd-422211c34737,5,,"[61.0, 41.0]",19744,0,,,2.9441972,,,Right Foot,,,"[51.0, 43.0]",,Ground Pass,10.198039,,,Carla Humphrey,16384.0,,,,,Kick Off,1,From Kick Off,Juliette Kemppi,16390.0,Center Forward,2,Bristol City WFC,973,['996db765-264e-4ce8-bce8-e1daefa1c5e1'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.678,Pass,
,,,,,,,,,,,,,5.3744,,,,,,,,,,,2054b570-708e-4079-bb7b-9d45693871e7,9,,"[51.0, 47.0]",19744,0,,,1.8086323,,,Right Foot,,,"[43.0, 80.0]",,Ground Pass,33.955853,,Out,Loren Dykes,16391.0,,,,,,1,From Kick Off,Carla Humphrey,16384.0,Right Center Midfield,2,Bristol City WFC,973,"['840923a8-2bf9-45a4-a925-d6b3f5e3b51d', 'f2b8a7ca-c2df-490f-9b6e-3dc1c979dddf']",3,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.721,Pass,True
,,,,,,,,,,,,,0.8061,,,,,,,,,,,10e31dee-f41c-4238-a5f8-e599a03317ce,11,,"[74.0, 1.0]",19744,0,,,0.9272952,,,,,,"[77.0, 5.0]",,Low Pass,5.0,,,Jordan Nobbs,10192.0,,,,,Throw-in,1,From Throw In,Katie McCabe,15620.0,Right Center Midfield,3,Arsenal WFC,968,['62b44382-7cf0-40a3-b090-2ae45dd347cd'],9,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:09.985,Pass,
,,,,,,,,,,,,,2.4203,,,,,,,,,,,d7ec04d1-2c29-4e66-8483-3b91c3e962e3,15,,"[78.0, 2.0]",19744,0,,,3.0584514,,,Left Foot,,,"[66.0, 3.0]",,Ground Pass,12.0415945,,,Emma Mukandi,18998.0,,,,,,1,From Throw In,Jordan Nobbs,10192.0,Left Center Forward,3,Arsenal WFC,968,['feb1405f-08e9-406d-88c8-6df702701f3b'],14,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:14.887,Pass,
