50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbfb2fd2-ee2c-410f-bc95-023a90673862,1,,,19815,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63d8d1ec-26a4-4607-84e4-da14f04a1a66,2,,,19815,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c22c78cc-99c4-48cd-87f8-f9d2d75102fe,3,,,19815,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['18d31be8-e8a4-4368-97d5-6b9ae2ff570b'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18d31be8-e8a4-4368-97d5-6b9ae2ff570b,4,,,19815,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['c22c78cc-99c4-48cd-87f8-f9d2d75102fe'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,884c6667-cc8c-4f3f-aa73-d8a7dd3dfa0f,1854,,,19815,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,75,Arsenal WFC,968,['4bfddf2b-6c6c-4d3f-84af-9ffc443baf10'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4bfddf2b-6c6c-4d3f-84af-9ffc443baf10,1855,,,19815,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,75,Arsenal WFC,968,['884c6667-cc8c-4f3f-aa73-d8a7dd3dfa0f'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.637872,,,,,,,,,,,,,f4df258c-8abd-4196-9af4-7d3d94bcc144,5,,"[60.0, 40.0]",19815,0,,,,-2.7547169,,Right Foot,,,,"[33.0, 29.0]",,Ground Pass,,29.15476,,,,Victoria Williams,16395.0,,,,,,Kick Off,1,From Kick Off,Kayleigh Green,16400.0,Center Forward,2,Brighton & Hove Albion WFC,965,['b2a0a6c2-fc8e-4a53-82de-944d7707f4a3'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.258,Pass,
,,,,,,,,,,,,,,,,,2.293422,,,,,,,,,,,,,4b539e3c-d15f-4700-87ee-16f2e1ac00e7,8,,"[27.0, 31.0]",19815,0,,,,1.5707964,,Right Foot,,,,"[27.0, 55.0]",,Ground Pass,,24.0,,,,Fern Whelan,19420.0,,,,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['97be0d78-1c4d-4151-a7b3-2f05af5e9a80'],3,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:03.525,Pass,
,,,,,,,,,,,,,,,,,2.759516,,,,,,,,,,,,,fbc2cf4d-a328-49dc-875d-e8cf5c49b883,11,,"[35.0, 69.0]",19815,0,,,,0.07827114,,Right Foot,,,,"[86.0, 73.0]",,High Pass,,51.156624,,,,Kayleigh Green,16400.0,,,,,,,1,From Kick Off,Fern Whelan,19420.0,Right Center Back,2,Brighton & Hove Albion WFC,965,['9325deaf-aa33-4f62-b3d7-64b7754328b9'],8,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.075,Pass,
,,,,,,,,,,,,,,,,,2.275,,,,,,,,,,,,,4f3edb4e-112f-4090-b523-0952535acf00,14,,"[87.0, 72.0]",19815,0,,,True,-1.8925469,,,,,,"[83.0, 60.0]",,High Pass,,12.649111,,,,Emily Simpkins,23289.0,,,,,,,1,From Kick Off,Kayleigh Green,16400.0,Center Forward,2,Brighton & Hove Albion WFC,965,"['55bc8008-a272-4335-90ba-c9ddd33acfbc', 'b0a5bc79-f392-4110-a153-471b98093a19']",10,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:10.914,Pass,True
