50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,,c9425423-18d0-4c75-bdf1-cac6ecfef8cd,1,,,,19743,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a9c1eba-633a-42de-8386-64af450d5d44,2,,,,19743,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 42211, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,d3bda43e-4172-42e0-8a29-0629fab2a5ac,3,,,,19743,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['1f0b713f-be11-4c49-8a21-d42f1f66ef87'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,1f0b713f-be11-4c49-8a21-d42f1f66ef87,4,,,,19743,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['d3bda43e-4172-42e0-8a29-0629fab2a5ac'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0cd17449-5532-4111-b86c-bc767c7074db,1930,,,,19743,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Chelsea FCW,971,['4bc4e0d9-9766-475e-944e-e3a0ff11bb77'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,4bc4e0d9-9766-475e-944e-e3a0ff11bb77,1931,,,,19743,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Chelsea FCW,971,['0cd17449-5532-4111-b86c-bc767c7074db'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,1.228695,,,,,,,,,,,,,,667dda2e-b35d-4d46-ad09-40b3f491f160,5,,,"[61.0, 41.0]",19743,0,,,,2.7233684,,,Right Foot,,"[52.0, 45.0]",Ground Pass,9.848858,,Sophie Louise Ingle,15549.0,,,,,Kick Off,1,From Kick Off,Francesca Kirby,4641.0,Center Forward,2,Chelsea FCW,971,['8dc92bd7-d6a0-4d60-b24e-b0352d135b62'],1,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:01.324,Pass,
,,,,,,,,,,,1.693583,,,,,,,,,,,,,,932644ad-d6be-4cf3-b6e2-048d4e9e1651,8,,,"[53.0, 45.0]",19743,0,,,,-2.3561945,,,Right Foot,,"[38.0, 30.0]",Ground Pass,21.213203,,Magdalena Lilly Eriksson,4633.0,,,,,,1,From Kick Off,Sophie Louise Ingle,15549.0,Right Defensive Midfield,2,Chelsea FCW,971,['d0b87c61-dff3-424c-8543-d8fdf4267fe7'],3,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.388,Pass,
,,,,,,,,,,,1.257417,,,,,,,,,,,,,,0bb993c0-3201-4169-ac17-a594b5dd66c1,11,,,"[38.0, 30.0]",19743,0,,,,1.7942729,,,Left Foot,,"[33.0, 52.0]",Ground Pass,22.561028,,Millie Bright,4642.0,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Chelsea FCW,971,['fc41344a-265d-4216-8802-0f56add7b85f'],5,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.122,Pass,
,,,,,,,,,,,1.58506,,,,,,,,,,,,,,175af0fd-bd34-4cc7-bbf6-e82802734429,14,,,"[36.0, 57.0]",19743,0,,,,1.19029,,,Right Foot,,"[44.0, 77.0]",Ground Pass,21.540659,,Jessica Carter,19422.0,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,['7e99b3a1-2880-46e6-8d35-fd38e1adb9cd'],9,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:09.208,Pass,
