bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,ec48c9d9-869d-49f6-a7c0-f74d088553ed,1,,,19787,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,a599b342-73b1-44ec-b4c1-3b5edcce2a04,2,,,19787,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,1463f5ef-84d4-4ad1-9bda-451df3414ed5,3,,,19787,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['bc6e2f63-1035-4448-8158-1bb607dd582d'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,bc6e2f63-1035-4448-8158-1bb607dd582d,4,,,19787,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['1463f5ef-84d4-4ad1-9bda-451df3414ed5'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,3cde3dd8-d7f8-4ce6-ae94-297d0c2819ef,1494,,,19787,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Birmingham City WFC,969,['8b2c5ce2-95fe-408f-9afb-cd63f8081aaa'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,8b2c5ce2-95fe-408f-9afb-cd63f8081aaa,1495,,,19787,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Birmingham City WFC,969,['3cde3dd8-d7f8-4ce6-ae94-297d0c2819ef'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,0.869227,,,,,,,,,,c43ef0b4-a289-4ee5-967a-db866b7ce7dc,5,,"[61.0, 41.0]",19787,0,,,,3.050933,,,Right Foot,,,"[50.0, 42.0]",,Ground Pass,11.045361,,Hayley Ladd,19501.0,,,,,Kick Off,1,From Kick Off,Charlie Wellings,15563.0,Center Forward,2,Birmingham City WFC,969,['7bff38c8-83f5-4da9-84be-13aec0790f03'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.370,Pass,
,,,,,,,,,,,1.466548,,,,,,,,,,0331b2bd-869e-4313-b374-127c257b9e3d,8,,"[50.0, 41.0]",19787,0,,,,-2.0552742,,,Right Foot,,,"[40.0, 22.0]",,Ground Pass,21.470911,,Kerys Harrop,15569.0,,,,,,1,From Kick Off,Hayley Ladd,19501.0,Left Center Midfield,2,Birmingham City WFC,969,['74b97076-3124-4095-b982-7194200c4896'],2,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.177,Pass,
,,,,,,,,,,,1.629896,,,,,,,,,,1ff4928c-f2ec-49d5-bff4-a2eb69a965bb,12,,"[52.0, 29.0]",19787,0,,,,2.7468016,,,Left Foot,,,"[40.0, 34.0]",,Ground Pass,13.0,,Aoife Mannion,19503.0,,,,,,1,From Kick Off,Kerys Harrop,15569.0,Left Center Back,2,Birmingham City WFC,969,"['6bc36739-4a62-48db-b57d-3948789c84a6', 'e9ff59a7-5c82-49dc-aa21-e46e066ab3ab']",7,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:07.387,Pass,True
,,,,,,,,,,,1.500938,,,,,,,,,,3e1a0f79-c70d-409c-881f-14a618efbf0e,15,,"[38.0, 39.0]",19787,0,,,,1.3258177,,,Right Foot,,,"[43.0, 59.0]",,Ground Pass,20.615528,,Meaghan Sargeant,19502.0,,,,,,1,From Kick Off,Aoife Mannion,19503.0,Center Defensive Midfield,2,Birmingham City WFC,969,['248d0f5c-a7f9-4f6d-8792-4c2ae726a627'],9,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:09.500,Pass,
