50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,3763df7b-6b38-4d3c-9c60-d64204568832,1,,,,19722,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15708, 'name': 'Amy Goddard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 19776, 'name': 'Monique Fischer'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,04c75f11-1d32-48df-867e-fdab8710e472,2,,,,19722,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 15612, 'name': 'Jessica Marie Wik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,0ac7195b-9dd3-4619-a862-373334624313,3,,,,19722,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['cba032e9-cde1-4b7c-ba51-06053aa9255f'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,cba032e9-cde1-4b7c-ba51-06053aa9255f,4,,,,19722,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['0ac7195b-9dd3-4619-a862-373334624313'],0,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,a39b21fb-f2f6-4821-918f-d6f675dcf12a,1767,,,,19722,45,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,73,Yeovil Town LFC,970,['4a332a69-9419-425e-925d-cf1a37087470'],0,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,4a332a69-9419-425e-925d-cf1a37087470,1768,,,,19722,45,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,73,Yeovil Town LFC,970,['a39b21fb-f2f6-4821-918f-d6f675dcf12a'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.929719,,,,,,,,,,,5953c9ad-240c-4480-903f-9a25b2453125,5,,,"[60.0, 40.0]",19722,0,,3.1415927,,,Right Foot,,,"[50.0, 40.0]",,Ground Pass,10.0,,Bonnie Horwood,15713.0,,,,,Kick Off,1,From Kick Off,Anne-Marie Heatherson,15714.0,Right Attacking Midfield,2,Yeovil Town LFC,970,['51103dfd-6756-4d32-9d96-696a5274d416'],0,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.590,Pass,
,,,,,,,,,,,,,1.671434,,,,,,,,,,,0f4f6483-a30a-4e33-920a-134d733818b5,9,,,"[50.0, 40.0]",19722,0,,-2.6011732,,,Right Foot,,,"[30.0, 28.0]",,Ground Pass,23.323807,,Nicola Cousins,15712.0,,,,,,1,From Kick Off,Bonnie Horwood,15713.0,Center Defensive Midfield,2,Yeovil Town LFC,970,"['39105727-50c6-4416-a81b-0c1a65158913', '4506b98e-0be4-4704-b9b0-3324475cd82a']",2,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:02.206,Pass,True
,,,,,,,,,,,,,1.293906,,,,,,,,,,,8e0b9329-f52b-445f-9229-1846d4c0dffd,12,,,"[30.0, 24.0]",19722,0,,-0.9600704,,,Right Foot,,,"[44.0, 4.0]",,Ground Pass,24.41311,,Megan Alexander,15710.0,,,,,,1,From Kick Off,Nicola Cousins,15712.0,Left Center Back,2,Yeovil Town LFC,970,['b77c44a7-10be-4a5b-ad87-962782d6a8df'],5,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.099,Pass,
,,,,,,,,,,,,,2.182394,,,,,,,,,,,2ea40d15-96d5-4b17-a43e-6e0decd25236,15,,,"[45.0, 5.0]",19722,0,,0.36254424,,,Left Foot,,,"[74.0, 16.0]",,High Pass,31.016125,Incomplete,Anne-Marie Heatherson,15714.0,,,,,,1,From Kick Off,Megan Alexander,15710.0,Left Back,2,Yeovil Town LFC,970,"['0285af01-77c6-43e5-b574-72f0bfe55362', '2e6dfa02-f267-4681-930d-80313c18ff1e']",7,,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:07.538,Pass,
