bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80dbab3d-db9e-4295-b621-b4e81bf0d581,1,,,19811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f992cace-6119-45d8-bbd8-0ed4ae3deeba,2,,,19811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15112ed5-6946-436f-90c3-a90c059d52d4,3,,,19811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['6e5d96cd-66c3-40cb-a5a4-fdf7c933738a'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e5d96cd-66c3-40cb-a5a4-fdf7c933738a,4,,,19811,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['15112ed5-6946-436f-90c3-a90c059d52d4'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae61f341-14f3-4017-bf7f-9c46434905b0,1681,,,19811,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Arsenal WFC,968,['e027afd7-e54a-4c50-a87b-7bc9fa7ad760'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e027afd7-e54a-4c50-a87b-7bc9fa7ad760,1682,,,19811,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Arsenal WFC,968,['ae61f341-14f3-4017-bf7f-9c46434905b0'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.417256,,,,,,,,,,,,,53742213-75ae-4f72-ad69-a4de50d77250,5,,"[60.0, 40.0]",19811,0,,,,1.1071488,,Right Foot,,,,"[61.0, 42.0]",,Ground Pass,,2.236068,,,Vivianne Miedema,15623.0,,,,,,Kick Off,1,From Kick Off,Danielle van de Donk,10658.0,Center Attacking Midfield,2,Arsenal WFC,968,['a781d193-f0ef-4d24-896a-4d202f502720'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.163,Pass,
,,,,,,,,,,,,,,,1.347758,,,,,,,,,,,,,121053ad-8de6-48c8-a5c6-ee2c56fb47d2,8,,"[66.0, 43.0]",19811,0,,,,1.0427219,,Left Foot,,,,"[73.0, 55.0]",,Ground Pass,,13.892444,,,Kim Little,15616.0,,,,,,,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['d351b9db-4abd-4c00-bd45-9bbdcbf89ed9'],2,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:02.286,Pass,
,,,,,,,,,,,,,,,1.171887,,,,,,,,,,,,,cf5581f9-6c8a-4f95-9952-16b51f0f8069,11,,"[81.0, 62.0]",19811,0,,,,1.2679114,,Right Foot,,,,"[86.0, 78.0]",,Ground Pass,,16.763054,,,Bethany Mead,15619.0,,,,,,,1,From Kick Off,Kim Little,15616.0,Right Defensive Midfield,2,Arsenal WFC,968,['dfe0fda6-fd6d-49b0-bdc6-70032ac7d551'],4,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:04.825,Pass,
,,,,,,,,,,,,,,,1.331738,,,,,,,,,,,,,6a6daa32-04c2-4dd7-b981-e19964221d7f,14,,"[86.0, 77.0]",19811,0,,,,-3.0750246,,Right Foot,,,,"[71.0, 76.0]",,Ground Pass,,15.033297,,,Lisa Evans,10179.0,,,,,,,1,From Kick Off,Bethany Mead,15619.0,Right Wing,2,Arsenal WFC,968,['b4ba596b-9c76-4231-b14d-9d91a9a4ce42'],7,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:07.655,Pass,
