ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,,68bce006-806f-4633-ab6c-17e22f788ea1,1,,,19745,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 16379, 'name': 'Jodie Brett'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,,40236adc-2dc9-4c80-a947-81dfb4fd2dce,2,,,19745,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15708, 'name': 'Amy Goddard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 15705, 'name': 'Emily Donovan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15711, 'name': 'Amber Gaylor'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,,5bd28c05-30bd-4ba6-b70a-9405379556a9,3,,,19745,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['80a7a833-2f71-4339-8ac3-1efc18556005'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,80a7a833-2f71-4339-8ac3-1efc18556005,4,,,19745,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['5bd28c05-30bd-4ba6-b70a-9405379556a9'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,fa5f98ad-722f-4fd5-80bb-9a4c2de1b5bf,1308,,,19745,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Brighton & Hove Albion WFC,965,['f0728a2e-2df0-412b-88a2-8c568803d280'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,f0728a2e-2df0-412b-88a2-8c568803d280,1309,,,19745,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Brighton & Hove Albion WFC,965,['fa5f98ad-722f-4fd5-80bb-9a4c2de1b5bf'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,1.642896,,,,,,,,,,,,,,a511cd49-afe2-4790-ba03-e85472b12981,5,,"[60.0, 40.0]",19745,0,,,3.0172377,,,Right Foot,,,"[52.0, 41.0]",,Ground Pass,8.062258,,Amber Gaylor,15711.0,,,,,Kick Off,1,From Kick Off,Anne-Marie Heatherson,15714.0,Left Center Forward,2,Yeovil Town LFC,970,['72178978-39ed-415e-9c06-27a4050af4ab'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.943,Pass,
,,,,,,,,,,1.966466,,,,,,,,,,,,,,c2fabefa-fc9b-4e94-92e4-0fff4759a39a,9,,"[53.0, 40.0]",19745,0,,,-1.487655,,,Right Foot,,,"[56.0, 4.0]",,Ground Pass,36.124783,,Megan Alexander,15710.0,,,,,,1,From Kick Off,Amber Gaylor,15711.0,Left Wing,2,Yeovil Town LFC,970,"['47043817-7725-4398-925e-07ea140f0c0d', 'b28f9ae1-e689-49cc-a426-411f45719f29']",3,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:03.075,Pass,True
,,,,,,,,,,1.91237,,,,,,,,,,,,,,7e6fd0c3-da40-4a0b-bf18-a37a8bd2769d,13,,"[56.0, 4.0]",19745,0,,,-0.14189705,,,Left Foot,,,"[77.0, 1.0]",,Low Pass,21.213203,Out,,,,,,,,1,From Kick Off,Megan Alexander,15710.0,Left Back,2,Yeovil Town LFC,970,['0095930f-dc48-4ca2-a565-8dfcaf41eb26'],5,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:05.956,Pass,True
,,,,,,,,,,1.116416,,,,,,,,,,,,,,e462a908-9a1c-433b-97b2-abfcee1f74b3,14,,"[37.0, 80.0]",19745,0,,,-0.6435011,,,,,,"[41.0, 77.0]",,Low Pass,5.0,,Danielle Buet,20034.0,,,,,Throw-in,1,From Throw In,Kirsty Barton,19414.0,Right Back,3,Brighton & Hove Albion WFC,965,['ffe6037e-25a6-49f3-abb4-6087459491ca'],12,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:12.351,Pass,
