ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,e297c5e8-0c95-4bb5-a0fe-a262b9fcc3cd,1,,,19735,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,073f9199-a96a-49ed-bdc2-754611476af6,2,,,19735,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,d2d561eb-a207-419b-8b87-030855dd8cbd,3,,,19735,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['bb8ac6c3-109f-48a8-89ac-6a08866a7416'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,bb8ac6c3-109f-48a8-89ac-6a08866a7416,4,,,19735,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['d2d561eb-a207-419b-8b87-030855dd8cbd'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,9cc83ef8-02fa-4715-924c-d73c139a56c3,2101,,,19735,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Manchester City WFC,746,['20a0860f-9b6f-48cb-8a39-120801c910a8'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,20a0860f-9b6f-48cb-8a39-120801c910a8,2102,,,19735,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Manchester City WFC,746,['9cc83ef8-02fa-4715-924c-d73c139a56c3'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,1.675621,,,,,,,,,,4f41824f-983f-4a69-9e52-a80ca8b7d0b9,5,,"[61.0, 41.0]",19735,0,,,,2.976444,,,Right Foot,,,"[43.0, 44.0]",,Ground Pass,18.248287,,Kate Longhurst,18147.0,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,Center Forward,2,West Ham United LFC,972,['9a11bf94-8435-4aa3-9ac6-628e5794a955'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.100,Pass,
,,,,,,,,,,2.193919,,,,,,,,,,fa29d0c2-130a-4292-9ee2-b5250b4ffe55,8,,"[43.0, 44.0]",19735,0,,,,1.7475052,,,Right Foot,,,"[38.0, 72.0]",,Ground Pass,28.442924,,Erin Simon,18155.0,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Right Center Midfield,2,West Ham United LFC,972,['6d620a6c-f706-46fa-9b5d-109655ab5cc4'],1,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:01.985,Pass,
,,,,,,,,,,2.705669,,,,,,,,,,adf41a24-2bac-4b3c-acfa-1dc194ca8c54,10,,"[39.0, 72.0]",19735,0,,,,-2.3561945,,,Right Foot,,,"[30.0, 63.0]",,Ground Pass,12.727922,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,1,From Kick Off,Erin Simon,18155.0,Right Back,2,West Ham United LFC,972,['bc32e8db-55c5-457d-880a-4632d46564b1'],4,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:04.179,Pass,
,,,,,,,,,,2.2038,,,,,,,,,,0cdf9ea4-d1bd-40ea-917f-89d3464318c0,14,,"[28.0, 56.0]",19735,0,,,,-2.5308666,,,Right Foot,,,"[8.0, 42.0]",,Ground Pass,24.41311,,Rebecca Leigh Spencer,18158.0,,,,,,1,From Kick Off,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,2,West Ham United LFC,972,"['97d2fa80-9d97-4570-a1be-10498acdfa33', '9b03d72e-976e-4cae-bf88-0ccd5370e442']",6,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:06.908,Pass,True
