50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0da99a8e-31c2-454e-b782-dc195f902b53,1,,,19819,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f51c74e-c826-4f43-9d0c-4491a4004609,2,,,19819,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,972f057d-a5ff-4888-b93e-f9ad6511abe9,3,,,19819,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['663e3f6e-da48-44c4-bc9e-4f9d363912a0'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,663e3f6e-da48-44c4-bc9e-4f9d363912a0,4,,,19819,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['972f057d-a5ff-4888-b93e-f9ad6511abe9'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,00063d26-bcf7-4233-a68f-9720c3830500,1488,,,19819,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Brighton & Hove Albion WFC,965,['44b9e0d5-cf26-4231-a8a4-8d547258bc2b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44b9e0d5-cf26-4231-a8a4-8d547258bc2b,1489,,,19819,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Brighton & Hove Albion WFC,965,['00063d26-bcf7-4233-a68f-9720c3830500'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.4003,,,,,,,,,,,,,9b23732e-1b53-454a-8123-d2fa632034f2,5,,"[60.0, 40.0]",19819,0,,,,,-3.0890095,,Left Foot,,,"[41.0, 39.0]",,Ground Pass,,19.026299,,,,Chloe Peplow,16397.0,,,,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Right Center Forward,2,Brighton & Hove Albion WFC,965,['a6e5c241-8c99-4a40-a254-78e95f73542b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.318,Pass,
,,,,,,,,,,,,,,,,,,1.838006,,,,,,,,,,,,,a7edd57e-1d95-4ce6-ab49-d24ab2e6f36a,8,,"[41.0, 37.0]",19819,0,,,,,-2.6779451,,Right Foot,,,"[27.0, 30.0]",,Ground Pass,,15.652476,,,,Victoria Williams,16395.0,,,,,,,1,From Kick Off,Chloe Peplow,16397.0,Left Defensive Midfield,2,Brighton & Hove Albion WFC,965,['02e08e0d-2f2d-4211-9a60-9c22262e5a9f'],2,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:02.328,Pass,
,,,,,,,,,,,,,,,,,,1.738416,,,,,,,,,,,,,5924d667-a077-4310-a051-d019840d7788,11,,"[28.0, 30.0]",19819,0,,,,,1.6124389,,Right Foot,,,"[27.0, 54.0]",,Ground Pass,,24.020824,,,,Danielle Buet,20034.0,,,,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['c7b44841-afcc-48ab-8ac1-7b7209589467'],5,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:05.490,Pass,
,,,,,,,,,,,,,,,,,,2.932804,,,,,,,,,,,,,a7660ed8-9350-41d5-ae9b-d920bf9f4ce8,14,,"[35.0, 64.0]",19819,0,,,,,-0.22049376,,Right Foot,,,"[93.0, 51.0]",,High Pass,,59.439045,,Incomplete,,Iniabasi Anefiok Umotong,16378.0,,,,,,,1,From Kick Off,Danielle Buet,20034.0,Right Center Back,2,Brighton & Hove Albion WFC,965,"['817f31ae-6cba-42f1-9307-3dbef52ccdac', 'fe85c2af-2d49-4d1d-b68c-98624fb2f6e5']",10,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:10.622,Pass,
