ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,,,c6f50ab4-d111-4161-871e-a42bb575ce88,1,,,,19746,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 32221, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,,,9fd1f3a2-beef-4990-997a-acf8f080d337,2,,,,19746,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 3232, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,,,a10357a5-8bd5-459a-95c1-e661628964a5,3,,,,19746,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['554b5ca9-1ac9-4fa2-9a3e-f8bf2a9f8b4c'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,,554b5ca9-1ac9-4fa2-9a3e-f8bf2a9f8b4c,4,,,,19746,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['a10357a5-8bd5-459a-95c1-e661628964a5'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,,eb0707d6-5a03-4cfd-a97e-93d5e8e3379f,1491,,,,19746,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Everton LFC,967,['5e0b41c2-137b-4a26-bf62-0f1c375a505b'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,,,5e0b41c2-137b-4a26-bf62-0f1c375a505b,1492,,,,19746,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Everton LFC,967,['eb0707d6-5a03-4cfd-a97e-93d5e8e3379f'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,1.447985,,,,,,,,,,,,,,,bac4bb17-d26f-4c0f-830f-2640909aaacc,5,,,"[61.0, 41.0]",19746,0,,,3.0584514,,Right Foot,,,"[49.0, 42.0]",,Ground Pass,12.0415945,,,Kate Longhurst,18147.0,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,Left Center Forward,2,West Ham United LFC,972,['8fdab10c-4837-454c-aeba-3d8bbb1cd0d7'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.958,Pass,
,,,,,,,,,,2.006473,,,,,,,,,,,,,,,0cf7e992-36fa-42ab-a972-a547de7f1023,8,,,"[48.0, 43.0]",19746,0,,,1.3460852,,Right Foot,,,"[56.0, 78.0]",,High Pass,35.902645,,,Esmee de Graaf,18154.0,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Center Midfield,2,West Ham United LFC,972,['846d04fe-cd53-4380-be42-ab0695900483'],3,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:03.873,Pass,
,,,,,,,,,,1.477942,,,,,,,,,,,,,,,571433fa-e1a4-47d2-961d-7045e4200853,17,,,"[49.0, 4.0]",19746,0,,,3.0584514,,Right Foot,,,"[37.0, 5.0]",,Ground Pass,12.0415945,,,Gabrielle George,15575.0,,,,,,1,Regular Play,Inessa Kaagman,15579.0,Right Attacking Midfield,3,Everton LFC,967,"['c59d360d-3756-496f-8d9e-20a74fd472eb', 'ec1b97fd-9cde-4de1-b849-4a3ea00cce88']",8,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:08.819,Pass,True
,,,,,,,,,,0.4594,,,,,,,,,,,,,,,6e61c15c-8093-43ba-b7ff-1aaf7a6edb07,21,,,"[37.0, 6.0]",19746,0,,,0.86217004,,Left Foot,,,"[43.0, 13.0]",,Ground Pass,9.219544,,,Angharad James,15577.0,,,,,,1,Regular Play,Gabrielle George,15575.0,Left Center Back,3,Everton LFC,967,['fbc5ab2d-a5f1-4f8c-80cf-a3550dfc544a'],10,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:10.336,Pass,
