ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,9450ae36-85dc-4c32-9aca-805538e8db52,1,,,,19736,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 17273, 'name': 'Adelina Engman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,bf4e3f11-5e9a-46de-b9f2-00eac441f3d9,2,,,,19736,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,d67fabd1-558c-48fa-a97d-96866a820666,3,,,,19736,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['8540a1a2-f9c9-47b5-8333-05936e23351d'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,8540a1a2-f9c9-47b5-8333-05936e23351d,4,,,,19736,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['d67fabd1-558c-48fa-a97d-96866a820666'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,4b6fff7c-62db-40e9-9a13-3ee12ca1ef0b,1518,,,,19736,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,112,Arsenal WFC,968,['15e93ec6-3fc8-4d3d-bc1c-5f5e284b5e4a'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,15e93ec6-3fc8-4d3d-bc1c-5f5e284b5e4a,1519,,,,19736,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,112,Arsenal WFC,968,['4b6fff7c-62db-40e9-9a13-3ee12ca1ef0b'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,1.66292,,,,,,,,,,,a28cf152-53c9-4a9d-9413-750299124643,5,,,"[61.0, 41.0]",19736,0,,,,-2.536048,,,Right Foot,,,,"[48.0, 32.0]",,Ground Pass,15.811388,,,Maria Thorisdottir,4636.0,,,,,Kick Off,1,From Kick Off,Francesca Kirby,4641.0,Center Forward,2,Chelsea FCW,971,['0a4f31b1-7d52-4ef1-877e-95ea66a28f72'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.239,Pass,
,,,,,,,,,,,0.958794,,,,,,,,,,,5cff291f-5d18-40d9-beda-1beffa6ca2f3,8,,,"[43.0, 32.0]",19736,0,,,,1.7681919,,,Right Foot,,,,"[38.0, 57.0]",,Ground Pass,25.495098,,,Millie Bright,4642.0,,,,,,1,From Kick Off,Maria Thorisdottir,4636.0,Center Defensive Midfield,2,Chelsea FCW,971,['bff06732-3ccb-44d4-a67b-af8d98daa810'],2,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:02.970,Pass,
,,,,,,,,,,,1.076746,,,,,,,,,,,241f3c9c-298d-4529-a27d-9c3909c0c841,11,,,"[31.0, 67.0]",19736,0,,,,1.2490457,,,Right Foot,,,,"[35.0, 79.0]",,Ground Pass,12.649111,,,Jessica Carter,19422.0,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,['caadf3f4-8d5c-4436-96eb-75a1c315bb93'],5,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.706,Pass,
,,,,,,,,,,,1.5419,,,,,,,,,,,78fc81fb-3701-4f56-8843-0eeb86110c39,15,,,"[36.0, 80.0]",19736,0,,,,-0.53581125,,,Right Foot,,,,"[68.0, 61.0]",,High Pass,37.215588,,Incomplete,,,,,,,,1,From Kick Off,Jessica Carter,19422.0,Right Back,2,Chelsea FCW,971,"['41506bb0-8aa0-42ba-b100-73a3808f5e8f', '51ecb599-e88f-4cce-bbbd-7ee88cdbf54d']",7,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:07.995,Pass,True
