50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,053d9f08-265a-4f51-8974-3bc6f05c4cd3,1,,,19820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24747, 'name': 'Millie Laura Farrow'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bfa48290-af85-4a34-8397-756b167f625f,2,,,19820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 15553, 'name': 'Karen Julia Carney'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,90b36cfa-faa8-467b-bd8a-27b474187747,3,,,19820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['dd448eeb-2af7-4a76-8172-b29758bd0aad'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dd448eeb-2af7-4a76-8172-b29758bd0aad,4,,,19820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['90b36cfa-faa8-467b-bd8a-27b474187747'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f483cc12-fda0-477b-96ce-b90c41f44eb1,1789,,,19820,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Chelsea FCW,971,['c5e9408d-ddfd-4367-9d30-a4cf1a936879'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5e9408d-ddfd-4367-9d30-a4cf1a936879,1790,,,19820,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Chelsea FCW,971,['f483cc12-fda0-477b-96ce-b90c41f44eb1'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.797143,,,,,,,,,,,,3e0beba0-3dc0-4d86-b574-eb4c4f0ce3a0,5,,"[61.0, 41.0]",19820,0,,,,,2.6779451,,Right Foot,,,"[53.0, 45.0]",,Ground Pass,,8.944272,,,,,Rachel Furness,15706.0,,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Forward,2,Reading WFC,974,['4e04466e-db34-462b-8472-64b93146377f'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.244,Pass,
,,,,,,,,,,,,,,,,1.07343,,,,,,,,,,,,53849600-0e55-4c8c-b399-59d432b7ddfb,8,,"[50.0, 41.0]",19820,0,,,,,-1.5707964,,Left Foot,,,"[50.0, 25.0]",,Ground Pass,,16.0,,,,,Remi Allen,18149.0,,,,,,,1,From Kick Off,Rachel Furness,15706.0,Center Defensive Midfield,2,Reading WFC,974,['7baeab8f-c9b2-431c-b117-626b060f53d9'],2,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.337,Pass,
,,,,,,,,,,,,,,,,1.5383,,,,,,,,,,,,be3371e2-433e-4152-93b8-785d9af3bbfd,12,,"[45.0, 24.0]",19820,0,,,,,2.910502,,Right Foot,,,"[28.0, 28.0]",,Ground Pass,,17.464249,,,,,Sophie Howard,15720.0,,,,,,,1,From Kick Off,Remi Allen,18149.0,Left Center Midfield,2,Reading WFC,974,"['3dfa1075-0034-4065-93ce-0949b97cacdd', '56c6b13c-b645-4507-8b8a-21344404cd54']",4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.499,Pass,True
,,,,,,,,,,,,,,,,0.2629,,,,,,,,,,,,feacbdb9-722d-434b-ba3f-33ae468812fe,15,,"[28.0, 27.0]",19820,0,,,,,-0.27829966,,Right Foot,,,"[35.0, 25.0]",,Ground Pass,,7.28011,,,Incomplete,,Remi Allen,18149.0,,,,,,,1,From Kick Off,Sophie Howard,15720.0,Left Center Back,2,Reading WFC,974,"['a54aaeb7-c0f0-4005-869b-809729cf06ca', 'ad25251d-a137-4e54-b3b8-3b14f1c6f10c']",6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.118,Pass,
