ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0fa87e46-c607-4dd5-aa26-3ddc74ece2e7,1,,,3802802,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8511, 'name': 'Thilo Kehrer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f15dcb45-a995-41ea-a931-a25726b77301,2,,,3802802,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 15731, 'name': 'Predrag Rajković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31799, 'name': 'Andreaw Gravillon'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8854, 'name': 'Wout Faes'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 7378, 'name': 'Yunis Abdelhamid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15782, 'name': 'Thomas Foket'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 32}, {'player': {'id': 23922, 'name': 'Maxime Busi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 4}, {'player': {'id': 22098, 'name': 'Azor Matusiwa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 26063, 'name': 'Jens-Lys Michel Cajuste'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 29962, 'name': 'Nathanaël Mbuku'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 132418, 'name': 'Bradley Locko'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 50429, 'name': 'Hugo Ekitike'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,013d941c-7a4c-465b-9990-f6476d5a2ea3,3,,,3802802,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['14cb79c1-a071-431c-8861-450b05684a67'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14cb79c1-a071-431c-8861-450b05684a67,4,,,3802802,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['013d941c-7a4c-465b-9990-f6476d5a2ea3'],0,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5ac1d7c3-1cf5-4be1-9da7-8ac73724574b,2222,,,3802802,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Paris Saint-Germain,131,['c0f69b27-af46-461c-8b35-3bb8288e540b'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c0f69b27-af46-461c-8b35-3bb8288e540b,2223,,,3802802,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Paris Saint-Germain,131,['5ac1d7c3-1cf5-4be1-9da7-8ac73724574b'],0,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.936816,,,,,,,,,,,,1a3fa428-e2ac-4565-b107-82c618122a34,5,,"[61.0, 40.1]",3802802,0,,,,-2.4805496,,Right Foot,,"[53.8, 34.5]",,Ground Pass,,9.121404,,,,Marco Verratti,3166.0,,,,,,Kick Off,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Paris Saint-Germain,131,['41349c62-2988-496e-b18e-c2d42f5c9d0b'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.282,Pass,
,,,,,,,,,,,,,,,,0.93192,,,,,,,,,,,,5a5eb75d-a170-450c-a0e5-a0640f0eb1e0,7,,"[54.0, 35.1]",3802802,0,,,,2.3070538,,Right Foot,,"[45.3, 44.7]",,Ground Pass,,12.955694,,,,Leandro Daniel Paredes,16308.0,,,,,,,1,From Kick Off,Marco Verratti,3166.0,Left Center Midfield,2,Paris Saint-Germain,131,['58217dec-c8d3-41ef-b15c-8fb9204a7f82'],1,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.219,Pass,
,,,,,,,,,,,,,,,,1.212502,,,,,,,,,,,,596cd83c-d1f0-4168-a11b-38b54d033252,10,,"[45.9, 45.4]",3802802,0,,,,2.2759078,,Right Foot,,"[33.9, 59.5]",,Ground Pass,,18.51513,,,,Marcos Aoás Corrêa,4372.0,,,,,,,1,From Kick Off,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['79528ae8-160c-438f-9478-16bb4de92a4d'],2,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.980,Pass,
,,,,,,,,,,,,,,,,1.555515,,,,,,,,,,,,b515ceb7-24b0-4522-b633-7522145bee53,12,,"[33.9, 59.5]",3802802,0,,,,-0.8046266,,Right Foot,,"[44.1, 48.9]",,Ground Pass,,14.710541,,,,Leandro Daniel Paredes,16308.0,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['4d564c06-8c75-4315-94c6-ac1e7dbb9460'],4,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.192,Pass,
