bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.679554,,,,,,,,,,,,,,01b43d8a-b925-4a33-a99b-2470fadfeeee,18,,,"[7.3, 43.6]",3802643,0,,,,-1.2331018,,Right Foot,,,"[21.1, 4.3]",,High Pass,,41.652493,,,,,Presnel Kimpembe,2999.0,,,,,,,1,From Kick Off,Gianluigi Donnarumma,7036.0,Goalkeeper,2,Paris Saint-Germain,131,['b69c0f5f-1c8a-4930-8fdb-df81c36d0538'],11,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:11.294,Pass,
,,,,,,,,,,,,,,,,1.497466,,,,,,,,,,,,,,1293cb19-3f9a-4a2e-8f44-50dc59c4a1c8,20,,,"[21.1, 4.3]",3802643,0,,,,2.5743842,,Head,,,"[7.6, 12.9]",,Low Pass,,16.006561,,,,,Sergio Ramos García,5201.0,,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['1e323c79-da3b-4097-8e86-919b6926bd0f'],13,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:13.013,Pass,
,,,,,,,,,,,,,,,,2.843788,,,,,,,,,,,,,,95a80cf0-eb3b-4d2e-8588-93d704146f13,24,,,"[3.9, 19.4]",3802643,0,,,,1.2490457,,Right Foot,,,"[22.8, 76.1]",,High Pass,,59.767048,,,,,Achraf Hakimi Mouh,5245.0,,,True,,,,1,From Kick Off,Sergio Ramos García,5201.0,Center Back,2,Paris Saint-Germain,131,"['c108bde9-89d1-4b97-9f57-c156f55f1303', 'da713506-cc03-4c14-8d19-4dde70a7b903']",16,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:16.132,Pass,True
,,,,,,,,,,,,,,,,1.271519,,,,,,,,,,,,,,290407cb-dec1-426c-8e3a-2d176905b740,27,,,"[20.9, 76.3]",3802643,0,,,,-1.5490606,,Left Foot,,,"[21.1, 67.1]",,Ground Pass,,9.202173,,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Wing Back,2,Paris Saint-Germain,131,['832fc65b-a9a6-4a45-9a5a-104b8c245df3'],20,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:20.453,Pass,
,,,,,,,,,,,,,,,,0.687076,,,,,,,,,,,,,,29583af6-c475-41f1-8d9b-de453915f568,30,,,"[21.1, 67.1]",3802643,0,,,,1.6751775,,Right Foot,,,"[20.0, 77.6]",,Ground Pass,,10.557462,,,,,Achraf Hakimi Mouh,5245.0,,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['e5a0d36d-1870-40f9-be44-401f215c3dee'],21,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:21.864,Pass,
,,,,,,,,,,,,,,,,0.994849,,,,,,,,,,,,,,37394fdc-d16b-4093-bac0-277b7624b7ae,33,,,"[14.0, 73.7]",3802643,0,,,,-1.3982859,,Right Foot,,,"[16.3, 60.5]",,Ground Pass,,13.398881,,,,,Marco Verratti,3166.0,,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Wing Back,2,Paris Saint-Germain,131,['1888bce0-87ba-4a35-ba72-06477a0d8b59'],23,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:23.776,Pass,
,,,,,,,,,,,,,,,,2.546224,,,,,,,,,,,,,,5528802d-d253-4a40-8f10-02d2327e8258,39,,,"[14.5, 59.1]",3802643,0,True,,,-1.0028608,,Right Foot,,,"[31.6, 32.3]",,Ground Pass,,31.790722,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Free Kick,1,From Free Kick,Marco Verratti,3166.0,Left Defensive Midfield,3,Paris Saint-Germain,131,['0fffd232-1bfe-41cc-b099-91252d8f5100'],31,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:31.042,Pass,
,,,,,,,,,,,,,,,,0.939354,,,,,,,,,,,,,,e7d61548-f307-443b-9295-9c15628be792,44,,,"[87.4, 38.7]",3802643,0,,,,-1.9849349,,Left Foot,,,"[83.4, 29.6]",,Ground Pass,,9.940322,,,Incomplete,,Jean-Ricner Bellegarde,19718.0,,,,,,Recovery,1,From Free Kick,Ludovic Ajorque,7208.0,Right Center Forward,3,Paris Saint-Germain,131,"['8d698ec4-fb26-4269-99b7-f963d82034ec', 'cdffbd89-a58a-4e7d-b5b4-45630c6f5afc', 'e1e6be0f-a885-4177-aaf5-b8a8698c78c0']",36,,,,,,,,,,,,,,,,,Strasbourg,138,00:00:36.307,Pass,True
,,,,,,,,,,,,,,,,1.024603,,,,,,,,,,,,,,50667789-0c2e-4a7a-844c-21439310b9c7,48,,,"[36.1, 53.0]",3802643,0,,,,1.7499568,,Left Foot,,,"[33.8, 65.7]",,Ground Pass,,12.906588,,,,,Achraf Hakimi Mouh,5245.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Paris Saint-Germain,131,['6c8baf03-ddb3-4b70-95e2-7568396c60ff'],37,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:37.672,Pass,
,,,,,,,,,,,,,,,,1.366964,,,,,,,,,,,,,,283177dd-03ee-4450-843b-91235b87950d,51,,,"[33.8, 65.7]",3802643,0,,,,-0.4012288,,Right Foot,,,"[43.7, 61.5]",,Ground Pass,,10.754069,,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,From Free Kick,Achraf Hakimi Mouh,5245.0,Right Wing Back,3,Paris Saint-Germain,131,['53f939c1-28d4-4e25-9d90-50c0072aaca7'],38,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:38.922,Pass,
