50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51d14683-4bde-4e7a-9abe-10cda39e6bbb,1,,,,3802809,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8870, 'name': 'Alfred Benjamin Gomis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 39265, 'name': 'Warmed Omari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16353, 'name': 'Birger Meling'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 3426, 'name': 'Benjamin Bourigeaud'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3550, 'name': 'Flavien Tait'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 35658, 'name': 'Kamaldeen Sulemana'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3190, 'name': 'Gaëtan Laborde'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 4420, 'name': 'Martin Terrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,16befb71-739d-4fb9-897c-112ba95bb91b,2,,,,3802809,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 50}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf798518-44d7-4619-bbb5-379bef1068d3,3,,,,3802809,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['087f36f1-1958-4cc2-bd17-85ca1ae17183'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,087f36f1-1958-4cc2-bd17-85ca1ae17183,4,,,,3802809,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['cf798518-44d7-4619-bbb5-379bef1068d3'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8c7d310b-38a2-4dd1-86f3-d8fb54ad6807,1963,,,,3802809,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Rennes,134,['6b2eef17-c8ae-4ed3-9036-bf38d5b2bc76'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b2eef17-c8ae-4ed3-9036-bf38d5b2bc76,1964,,,,3802809,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Rennes,134,['8c7d310b-38a2-4dd1-86f3-d8fb54ad6807'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.024361,,,,,,,,,,,,81a90d89-5a2d-4f09-a1c4-7e911216e802,5,,,"[60.0, 40.0]",3802809,0,,,,,2.7928216,,Right Foot,,,"[49.0, 44.0]",,Ground Pass,,11.7046995,,,,Marco Verratti,3166.0,,,,,,Kick Off,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Center Forward,2,Paris Saint-Germain,131,['1dc58219-606a-4163-8e57-bee24a23896e'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.565,Pass,
,,,,,,,,,,,,,,,,,,1.791924,,,,,,,,,,,,7da85443-6277-4483-b85d-5c96545b3923,8,,,"[48.6, 45.9]",3802809,0,,,,,1.9206008,,Right Foot,,,"[40.1, 69.2]",,Ground Pass,,24.802015,,,,Achraf Hakimi Mouh,5245.0,,,,,,,1,From Kick Off,Marco Verratti,3166.0,Left Defensive Midfield,2,Paris Saint-Germain,131,['095a7909-a4ec-4011-8686-d4d20bf7051e'],2,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.852,Pass,
,,,,,,,,,,,,,,,,,,1.169333,,,,,,,,,,,,9115b955-3659-4ea3-8fce-81991e4875d8,11,,,"[40.1, 69.2]",3802809,0,,,,,-2.2352195,,Right Foot,,,"[28.9, 54.9]",,Ground Pass,,18.163975,,,,Marcos Aoás Corrêa,4372.0,,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Paris Saint-Germain,131,['841e40de-067b-491e-9906-fa4f25b77730'],5,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:05.633,Pass,
,,,,,,,,,,,,,,,,,,1.74309,,,,,,,,,,,,95328dc8-ed76-41a7-84f8-d0a7ce6ece9d,14,,,"[28.9, 54.9]",3802809,0,,,,,-1.6328467,,Right Foot,,,"[26.8, 21.1]",,Ground Pass,,33.865173,,,,Presnel Kimpembe,2999.0,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['bc048c1f-7d3d-43a9-b921-b9becc9aa76f'],7,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.789,Pass,
