ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.880804,,,,,,,,,,,,,dab6f10f-e716-435d-ae7b-def6a4712713,17,,,"[21.5, 22.0]",3802805,0,,,,,1.6999938,,Left Foot,,,,"[18.2, 47.4]",,Ground Pass,,25.613474,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Paris Saint-Germain,131,['c62467a2-23ac-4f35-bc7e-a48c1fe36e99'],9,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.891,Pass,
,,,,,,,,,,,,,,,,2.076448,,,,,,,,,,,,,e01462d4-dcfd-41e9-affe-216bfd8ba516,20,,,"[22.9, 48.1]",3802805,0,,,,,-1.5849297,,Right Foot,,,,"[22.5, 19.8]",,Ground Pass,,28.302826,,,Abdou Diallo,8553.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['65434b9c-6d17-4768-a09d-e23e7fee4d3a'],14,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:14.362,Pass,
,,,,,,,,,,,,,,,,1.196566,,,,,,,,,,,,,bd394369-5ba6-4c68-9679-6244c4a8061f,23,,,"[22.7, 16.4]",3802805,0,,,,,-1.0206306,,Left Foot,,,,"[31.9, 1.4]",,Ground Pass,,17.59659,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Paris Saint-Germain,131,['a68b5757-a599-4a42-8487-6ab04416ab7d'],17,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:17.554,Pass,
,,,,,,,,,,,,,,,,1.314262,,,,,,,,,,,,,186a5181-9666-4766-9409-56aaa880ab04,27,,,"[29.4, 3.8]",3802805,0,,,,,2.8169603,,Left Foot,,,,"[8.6, 10.8]",,Ground Pass,,21.946299,,,Abdou Diallo,8553.0,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Left Back,2,Paris Saint-Germain,131,"['8931c853-6e07-4e8b-9923-fdeb9def6e04', 'cc93d346-94f5-4e0c-b580-192d245b89c7']",19,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:19.796,Pass,True
,,,,,,,,,,,,,,,,1.24122,,,,,,,,,,,,,b3c44a80-19e7-45d1-951d-e84a6a31d1d8,30,,,"[8.6, 13.8]",3802805,0,,,,,1.928926,,Left Foot,,,,"[2.2, 30.9]",,Ground Pass,,18.258423,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Paris Saint-Germain,131,['031762d8-9474-4679-9068-63a75992c846'],22,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:22.162,Pass,
,,,,,,,,,,,,,,,,1.701425,,,,,,,,,,,,,b02023ad-78cd-4c04-947d-6465d4708cd2,34,,,"[3.1, 30.9]",3802805,0,,,,,1.3813659,,Left Foot,,,,"[8.2, 57.5]",,Ground Pass,,27.084497,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Keylor Navas Gamboa,5597.0,Goalkeeper,2,Paris Saint-Germain,131,"['6de52390-fae6-4757-84b6-36a5c16f3697', 'adfeaf60-c8cb-4d0d-b5e2-5f6fe2d9fe74']",24,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:24.602,Pass,True
,,,,,,,,,,,,,,,,2.376265,,,,,,,,,,,,,a541f84f-1ecd-489f-b8ec-7415665ffd09,37,,,"[6.0, 57.0]",3802805,0,,,,,-1.63081,,Right Foot,,,,"[4.6, 33.7]",,Ground Pass,,23.342022,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['36648d6c-e680-43ae-b5a6-054213b003ac'],28,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:28.565,Pass,
,,,,,,,,,,,,,,,,1.542088,,,,,,,,,,,,,f87ba5d2-98ee-4519-a0bb-e94579aeb060,40,,,"[4.1, 33.1]",3802805,0,,,,,-1.3485669,,Right Foot,,,,"[8.8, 12.3]",,Ground Pass,,21.3244,,,Abdou Diallo,8553.0,,,,,,1,From Kick Off,Keylor Navas Gamboa,5597.0,Goalkeeper,2,Paris Saint-Germain,131,['0609b6f8-af4b-4408-9066-cf79e7928dfa'],31,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:31.277,Pass,
,,,,,,,,,,,,,,,,1.921914,,,,,,,,,,,,,54560ba3-276e-4df4-86c5-016541604f26,43,,,"[9.3, 2.7]",3802805,0,,,,,-0.028125573,,Left Foot,,,,"[48.4, 1.6]",,High Pass,,39.11547,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Paris Saint-Germain,131,['ff763f33-b9a6-4f9e-92b1-1366912741c8'],34,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:34.357,Pass,
,,,,,,,,,,,,,,,,2.49234,,,,,,,,,,,,,c320dcc4-a215-4a67-974d-cf248ada0ff2,45,,,"[48.2, 2.5]",3802805,0,,,,,0.71289974,,Head,,,,"[57.8, 10.8]",,Low Pass,,12.690548,Incomplete,,,,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Paris Saint-Germain,131,['c6d5d300-eb84-45b6-99a4-6e12a4e09a07'],36,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:36.373,Pass,
