50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.642486,,,,,,,,,,,,,6ac52b2a-f40d-43ff-8904-598668db3b13,2262,,,"[115.0, 55.0]",3802907,55,,,,-1.4946725,,Right Foot,True,,,"[115.9, 43.2]",,Ground Pass,,11.834272,,Incomplete,,Kylian Mbappé Lottin,3009.0,,,,,,2,From Free Kick,Achraf Hakimi Mouh,5245.0,Right Back,102,Paris Saint-Germain,131,"['7644175e-94b9-4177-b752-d18833411766', 'c9cfaee4-c64c-48a5-83c6-fdcf4c3d3741']",33,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:10:33.161,Pass,
,,,,,,,,,,,,,,,,,1.284285,,,,,,,,,,,,,a3c85b4e-9eb4-4398-83d4-be1203ebe602,2267,,,"[10.7, 6.5]",3802907,55,,,,1.3592447,,Right Foot,,,,"[13.9, 21.4]",,Ground Pass,,15.239751,,,,Gabriel Gudmundsson,29594.0,,,,,,2,From Free Kick,Jonathan Bamba,4256.0,Left Midfield,102,Paris Saint-Germain,131,['7d3eeb3b-c40f-4fa3-8efe-71ed0e2d039f'],39,,,,,,,,,,,,,,,,,,,Lille,143,00:10:39.340,Pass,
,,,,,,,,,,,,,,,,,0.295335,,,,,,,,,,,,,a8fcadb0-cdda-4879-8952-9608068d6f4f,2277,,,"[117.4, 49.1]",3802907,55,,,,-2.1751018,,Right Foot,,,,"[114.5, 44.9]",,Ground Pass,,5.10392,,Incomplete,,Kylian Mbappé Lottin,3009.0,,,,,,2,From Free Kick,Achraf Hakimi Mouh,5245.0,Right Back,102,Paris Saint-Germain,131,"['2e3e17bd-edc6-4236-9096-8fdd08a152a7', '9163d69c-aa92-4d8d-b94f-f676985b2a55']",44,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:10:44.941,Pass,
,,,,,,,,,,,,,,,,,0.945057,,,,,,,,,,,,,566331e2-e93d-4a10-b9b0-5bd037f90624,2283,,,"[4.6, 34.9]",3802907,55,,,,-0.94812554,,Left Foot,,,,"[10.2, 27.1]",,Ground Pass,,9.602083,,Incomplete,,,,,,,,,2,From Free Kick,Sven Botman,21551.0,Left Center Back,102,Paris Saint-Germain,131,"['61dfc183-c511-40e6-adbd-7683235129b5', '84886323-8edf-4623-a2a4-9ca5aa6c7555']",46,,,,,,,,,,,,,,,,,,,Lille,143,00:10:46.345,Pass,True
,,,,,,,,,,,,,,,,,1.093061,,,,,,,,,,,,,dee688ee-920b-40f3-8313-16a09ba6bf24,2291,,,"[14.5, 23.1]",3802907,55,,,,-0.95449936,,Left Foot,,,,"[26.4, 6.3]",,Ground Pass,,20.587618,,,,Jonathan Bamba,4256.0,,,,,,2,Regular Play,Gabriel Gudmundsson,29594.0,Left Back,103,Lille,143,['10ad7be0-c6d5-4eaa-8886-93500555e42d'],50,,,,,,,,,,,,,,,,,,,Lille,143,00:10:50.594,Pass,
,,,,,,,,,,,,,,,,,0.834805,,,,,,,,,,,,,596ef95b-380b-4b0e-abf7-29ead769a11f,2295,,,"[22.2, 10.3]",3802907,55,,,,1.3547114,,Right Foot,,,,"[24.0, 18.5]",,Ground Pass,,8.395237,,,,Benjamin André,2990.0,,,,,,2,Regular Play,Jonathan Bamba,4256.0,Left Midfield,103,Lille,143,"['5b0360d9-c242-4b7e-bd3b-faf36950489b', 'a64c222a-689f-4626-a2a1-87af4f26b462']",54,,,,,,,,,,,,,,,,,,,Lille,143,00:10:54.189,Pass,True
,,,,,,,,,,,,,,,,,1.026716,,,,,,,,,,,,,d2a48c14-a51a-417d-8bbf-fe8331c106a5,2297,,,"[24.0, 18.5]",3802907,55,,,,-2.5979474,,Right Foot,,,,"[14.9, 13.0]",,Ground Pass,,10.632968,,,,Gabriel Gudmundsson,29594.0,,,,,,2,Regular Play,Benjamin André,2990.0,Left Defensive Midfield,103,Lille,143,['1c14c7ee-e161-4743-b7b9-a283e1373dc8'],55,,,,,,,,,,,,,,,,,,,Lille,143,00:10:55.024,Pass,
,,,,,,,,,,,,,,,,,1.396958,,,,,,,,,,,,,e60dddf8-c650-4db3-b079-5c47daba42e5,2299,,,"[14.9, 13.0]",3802907,55,,,,0.44843966,,Left Foot,,,,"[25.5, 18.1]",,Ground Pass,,11.763078,,,,Benjamin André,2990.0,,,,,,2,Regular Play,Gabriel Gudmundsson,29594.0,Left Back,103,Lille,143,['eaa98eb9-b4c4-42d6-8403-8eb6911ac0f0'],56,,,,,,,,,,,,,,,,,,,Lille,143,00:10:56.050,Pass,
,,,,,,,,,,,,,,,,,0.396951,,,,,,,,,,,,,0fd8cb26-e45e-4bf1-885a-36f68b98cf65,2302,,,"[22.8, 8.1]",3802907,56,,,,0.032246884,,Left Foot,,,,"[29.0, 8.3]",,Low Pass,,6.203225,,Incomplete,,Jonathan Bamba,4256.0,,,,,,2,Regular Play,Benjamin André,2990.0,Left Defensive Midfield,103,Lille,143,"['67c14705-b16e-4280-8ddd-305f7463ee17', '92494ad1-faec-42f8-acde-5598791c2fec']",0,,,,,,,,,,,,,,,,,,,Lille,143,00:11:00.073,Pass,
,,,,,,,,,,,,,,,,,0.370592,,,,,,,,,,,,,3406fb3e-c06a-4041-87ac-893d7efd7daa,2308,,,"[90.2, 71.8]",3802907,56,,,,-1.3521274,,Right Foot,,,,"[91.0, 68.2]",,High Pass,,3.6878178,,,,Achraf Hakimi Mouh,5245.0,,,,,,2,Regular Play,Danilo Luís Hélio Pereira,13621.0,Right Center Midfield,104,Paris Saint-Germain,131,"['af1ec27c-452b-4a8f-b85c-d93f221125c0', 'd7bd5be8-f94d-42d9-8074-20fc6dd03810']",1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:01.519,Pass,True
