bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1a39df26-c838-4482-8665-e1221817c7b8,1,,,3802795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 34}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,091c72ba-bfee-4aba-9c91-edf0413bda35,2,,,3802795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 36360, 'name': 'Doğan Alemdar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 39265, 'name': 'Warmed Omari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16353, 'name': 'Birger Meling'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 28914, 'name': 'Lovro Majer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3108, 'name': 'Baptiste Santamaría'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3426, 'name': 'Benjamin Bourigeaud'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 4420, 'name': 'Martin Terrier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3190, 'name': 'Gaëtan Laborde'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ccf6135-d46c-4a91-ab1d-bd7e07a9e654,3,,,3802795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['a3b9dd23-a61b-478f-a509-b15c6c9e92ee'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3b9dd23-a61b-478f-a509-b15c6c9e92ee,4,,,3802795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['7ccf6135-d46c-4a91-ab1d-bd7e07a9e654'],0,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f1f23c5-3b40-4a49-ac75-4aac6efb1046,2100,,,3802795,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Rennes,134,['e2234e26-fa07-4768-8c5f-eb6cbf77aad5'],0,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2234e26-fa07-4768-8c5f-eb6cbf77aad5,2101,,,3802795,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Rennes,134,['4f1f23c5-3b40-4a49-ac75-4aac6efb1046'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.365528,,,,,,,,,,,,,fb8487e9-2a6e-4558-9858-4de3965cd585,5,,"[60.0, 40.0]",3802795,0,,,,,3.0370371,,Left Foot,,,,"[43.8, 41.7]",,Ground Pass,,16.288954,,,,,Leandro Daniel Paredes,16308.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Paris Saint-Germain,131,['d345feeb-625d-455c-a017-b82cc8a5c6cf'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.858,Pass,
,,,,,,,,,,,,,,,,1.170388,,,,,,,,,,,,,bb1aa8cd-1081-41f0-a5b1-4209b427993c,8,,"[43.5, 41.7]",3802795,0,,,,,2.5158412,,Right Foot,,,,"[29.8, 51.6]",,Ground Pass,,16.902662,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['426de277-bd4e-49fd-a330-a8fa6c0ba8a8'],2,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.983,Pass,
,,,,,,,,,,,,,,,,1.109069,,,,,,,,,,,,,a1e49ad0-1eab-4e57-b13e-dcef04d0915f,11,,"[29.6, 52.2]",3802795,0,,,,,-1.534613,,Right Foot,,,,"[30.4, 30.1]",,Ground Pass,,22.114475,,,,,Presnel Kimpembe,2999.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['2f068365-7fc4-4d01-bfb9-a29bd587d805'],6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.900,Pass,
,,,,,,,,,,,,,,,,1.506204,,,,,,,,,,,,,43e3debd-3c06-48e5-a5db-2777e9044ba6,14,,"[30.4, 30.1]",3802795,0,,,,,1.7049071,,Left Foot,,,,"[28.7, 42.7]",,Ground Pass,,12.714166,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['61eb46f5-0aac-4565-a2ac-7951e1934b0f'],10,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:10.352,Pass,
