50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6a078b9b-3c81-4ddd-b4f3-09e3a42c633a,1,,,,3802839,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 44225, 'name': 'Osman Bukari'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 86586, 'name': 'Quentin Merlin'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 29}, {'player': {'id': 3143, 'name': 'Andrei Girotto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 3235, 'name': 'Ludovic Blas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8485, 'name': 'Pedro Chirivella Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 22097, 'name': 'Randal Kolo Muani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 18163, 'name': 'Moses Daddy-Ajala Simon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5c1b9a53-6e07-4802-84d0-3457cddea2c7,2,,,,3802839,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8511, 'name': 'Thilo Kehrer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,753a394a-ba0a-4969-a89d-bb6c2ee185bf,3,,,,3802839,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['89586d10-0493-455c-adb5-7fe0307fa051'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,89586d10-0493-455c-adb5-7fe0307fa051,4,,,,3802839,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['753a394a-ba0a-4969-a89d-bb6c2ee185bf'],0,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2705f34a-e474-4590-af67-e065ee68a797,1998,,,,3802839,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,90,Paris Saint-Germain,131,['c1688653-6b83-4b38-a26d-2da64118527c'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c1688653-6b83-4b38-a26d-2da64118527c,1999,,,,3802839,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,90,Paris Saint-Germain,131,['2705f34a-e474-4590-af67-e065ee68a797'],0,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.892346,,,,,,,,,,,,,,,,aad00017-70da-43ee-8114-4a14f59b2155,5,,,"[60.0, 40.0]",3802839,0,,,,,3.0548544,,Right Foot,,,"[48.5, 41.0]",,Ground Pass,,11.543396,,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Center Forward,2,Paris Saint-Germain,131,['e4717ff1-e44b-4524-b18b-b7cfa4240c78'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.653,Pass,
,,,,,,,,,,,,,,,,,,,1.655123,,,,,,,,,,,,,,,,9538a2a8-73f1-443a-ad02-591f1a29232b,8,,,"[46.8, 38.3]",3802839,0,,,,,-1.6106526,,Right Foot,,,"[45.5, 5.7]",,Ground Pass,,32.62591,,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['3cc9b2ac-5bd7-43ac-a031-e19a1fd724f7'],3,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.143,Pass,
,,,,,,,,,,,,,,,,,,,0.702044,,,,,,,,,,,,,,,,8a348242-75e4-45cd-9c60-6987406f1203,11,,,"[45.5, 5.7]",3802839,0,,,,,-0.5144513,,Left Foot,,,"[50.1, 3.1]",,Ground Pass,,5.283938,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Left Back,2,Paris Saint-Germain,131,['0793115a-0a79-4bc5-8347-dd912d9aa333'],5,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:05.790,Pass,
,,,,,,,,,,,,,,,,,,,0.812309,,,,,,,,,,,,,,,,6e37c91e-8054-4862-a93c-61e43a950edb,13,,,"[50.1, 3.1]",3802839,0,,,,,2.6779451,,Left Foot,,,"[46.3, 5.0]",,Ground Pass,,4.248529,,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Paris Saint-Germain,131,['c8e6e01a-f457-49c7-bfda-dc3e6ec280b6'],6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.492,Pass,
