ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d19b8840-4b1b-4eb4-a923-e4f508871616,1,,,,3775587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e82fee38-cda5-4c52-8895-8634e751df75,2,,,,3775587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b77a66c-f336-46d9-99dc-a0f086864767,3,,,,3775587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['9778fe0e-ad03-4c03-9451-471ffd20e730'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9778fe0e-ad03-4c03-9451-471ffd20e730,4,,,,3775587,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['5b77a66c-f336-46d9-99dc-a0f086864767'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e549f057-90ff-4034-bf97-92511036cc87,1915,,,,3775587,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Manchester United,1475,['932f38ff-4086-4d0e-b9d0-161535f93f7f'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,932f38ff-4086-4d0e-b9d0-161535f93f7f,1916,,,,3775587,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Manchester United,1475,['e549f057-90ff-4034-bf97-92511036cc87'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.960874,,,,,,,,,,,,,65115093-6360-4b5c-b61c-271ff9c37a1b,5,,,"[61.0, 40.1]",3775587,0,,,,-3.0051901,,Right Foot,,,"[40.6, 37.3]",,Ground Pass,,20.59126,,,,,Rikke Læntver Sevecke,15789.0,,,,,,Kick Off,1,From Kick Off,Isobel Mary Christiansen,4645.0,Right Center Midfield,2,Everton LFC,967,['d151a819-119b-4314-91d7-59d50fd8a09c'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.181,Pass,
,,,,,,,,,,,,,,,,,,3.069518,,,,,,,,,,,,,0fdabd12-2887-4db5-a2df-c2e06f75ebfc,8,,,"[42.7, 37.5]",3775587,0,,,,-0.15077443,,Right Foot,,,"[86.8, 30.8]",,High Pass,,44.606052,,,Incomplete,,Lucy Hope,16386.0,,,,,,,1,From Kick Off,Rikke Læntver Sevecke,15789.0,Left Center Back,2,Everton LFC,967,"['7f945611-45e6-4399-a30a-36f9e4b1d6c4', 'a7f5c47d-a4a5-4206-86ea-ddb67d55c5cf']",3,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:03.113,Pass,
,,,,,,,,,,,,,,,,,,1.036515,,,,,,,,,,,,,6dd08956-2311-4ed5-858b-34703916e08e,19,,,"[48.3, 46.6]",3775587,0,,,,-0.27122265,,Right Foot,,,"[67.0, 41.4]",,Low Pass,,19.409534,,,Incomplete,,Christen Annemarie Press,6817.0,,,,Through Ball,True,,1,From Kick Off,Katie Zelem,31540.0,Right Defensive Midfield,2,Everton LFC,967,"['d05219b7-c042-4b39-aad7-eaa5938e5b00', 'f6e40f82-f101-40d7-818b-00c5951d95e1']",11,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:11.120,Pass,
,,,,,,,,,,,,,,,,,,1.630643,,,,,,,,,,,,,3620a1b1-cbc6-477d-bd59-e4b6ba68de94,22,,,"[67.9, 52.2]",3775587,0,,,,-0.51345974,,Right Foot,,,"[81.2, 44.7]",,High Pass,,15.268923,,,Incomplete,,Christen Annemarie Press,6817.0,,,,,,Recovery,1,From Kick Off,Ella Toone,31534.0,Right Wing,2,Everton LFC,967,"['2acbf587-c7a5-4920-a528-fb8ce4446b5d', '58aa7cdc-9de0-4b4d-8824-007e06c90346']",15,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:15.174,Pass,
