50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1150310f-efed-4e54-b52c-0ab2859b0e2a,1,,,3775628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6a75b709-7b9a-4645-bf7f-7856c3fafa0b,2,,,3775628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6a6a3f24-e65d-4ac2-9e1a-475fa4df41ad,3,,,3775628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['5711dc0a-49e6-4e70-a0a2-4ece985f4c43'],0,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5711dc0a-49e6-4e70-a0a2-4ece985f4c43,4,,,3775628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['6a6a3f24-e65d-4ac2-9e1a-475fa4df41ad'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51d29aa0-af8b-4bfb-984e-6f4b20621a3a,1582,,,3775628,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,West Ham United LFC,972,['ff948e8a-0ab8-41de-81d3-29c48a79da47'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ff948e8a-0ab8-41de-81d3-29c48a79da47,1583,,,3775628,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,West Ham United LFC,972,['51d29aa0-af8b-4bfb-984e-6f4b20621a3a'],0,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.97978,,,,,,,,,,,,d9070e68-8582-4fb5-ae23-9bc4e5c87eef,5,,"[60.0, 40.0]",3775628,0,,,,,-2.618017,,Right Foot,,,,"[50.3, 34.4]",,Ground Pass,,11.200446,,,,,Katie Zelem,31540.0,,,,,Kick Off,1,From Kick Off,Christen Annemarie Press,6817.0,Center Forward,2,Manchester United,1475,['cf920070-b77a-4fa0-b9c3-40632615fdfd'],0,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.459,Pass,
,,,,,,,,,,,,,,,,,1.595794,,,,,,,,,,,,d51298cd-28c6-430a-a244-0942406e1a24,8,,"[50.3, 31.8]",3775628,0,,,,,-1.6849227,,Right Foot,,,,"[47.4, 6.5]",,Ground Pass,,25.465664,,,,,Ona Batlle Pascual,46639.0,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Center Midfield,2,Manchester United,1475,['e05c483a-06c9-4d36-9c3c-9859fb5a7bda'],2,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:02.314,Pass,
,,,,,,,,,,,,,,,,,1.03319,,,,,,,,,,,,702917c0-8ca4-470b-95bc-1157e3af6d11,11,,"[48.9, 12.1]",3775628,0,,,,,0.9082334,,Right Foot,,,,"[56.0, 21.2]",,Ground Pass,,11.542097,,,,,Ella Toone,31534.0,,,,,,1,From Kick Off,Ona Batlle Pascual,46639.0,Left Back,2,Manchester United,1475,['c0bf9afc-f8d4-4859-8ab7-d202b7e6a34b'],4,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:04.532,Pass,
,,,,,,,,,,,,,,,,,2.430409,,,,,,,,,,,,4e0da337-e183-4328-bd9e-7742a6b8d80e,15,,"[53.3, 21.3]",3775628,0,,,,,1.9325255,,Right Foot,,,,"[42.1, 50.9]",,Ground Pass,,31.648066,,,,,Amy Turner,31533.0,,,,,,1,From Kick Off,Ella Toone,31534.0,Right Wing,2,Manchester United,1475,"['3b84d0e6-4f4b-4288-9948-9abf121e9bb5', '913828b2-d104-4592-8b06-42fe852ea1f8']",7,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:07.056,Pass,True
