50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7debea92-46cb-49b7-808f-12d0f452eb17,1,,,,3775618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 35407, 'name': 'Ga-Eul Jeon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ef4a9ea9-1023-45d3-b0fd-4380e1bc99f4,2,,,,3775618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,982ceb07-a7a8-40dc-99f4-63b03c8e2336,3,,,,3775618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['9a19280b-c822-4035-b71a-96677aeb33ea'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a19280b-c822-4035-b71a-96677aeb33ea,4,,,,3775618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['982ceb07-a7a8-40dc-99f4-63b03c8e2336'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9f32fbed-d79f-4e9d-aebb-339aa4a5c02f,1673,,,,3775618,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Birmingham City WFC,969,['604e5b62-1413-40c2-b550-cab6be0b070f'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,604e5b62-1413-40c2-b550-cab6be0b070f,1674,,,,3775618,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,93,Birmingham City WFC,969,['9f32fbed-d79f-4e9d-aebb-339aa4a5c02f'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.081689,,,,,,,,,,,,,,3c5dc39c-acc2-407c-ad07-900d09f33b7f,5,,,"[60.0, 40.0]",3775618,0,,,,,3.0874288,,Right Foot,,,,"[43.4, 40.9]",,Ground Pass,,16.62438,,,,Jessica Fishlock,5016.0,,,,,,Kick Off,1,From Kick Off,Amalie Vevle Eikeland,26570.0,Center Forward,2,Reading WFC,974,['18e2f3b9-282a-4937-8b33-8c00177f1991'],2,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.151,Pass,
,,,,,,,,,,,,,,,,,,1.21905,,,,,,,,,,,,,,61b883cc-e15c-483d-97d3-f1293bf51df1,8,,,"[43.2, 39.2]",3775618,0,,,,,-2.0262475,,Right Foot,,,,"[36.0, 24.5]",,Ground Pass,,16.368567,,,,Molly Bartrip,21021.0,,,,,,,1,From Kick Off,Jessica Fishlock,5016.0,Center Defensive Midfield,2,Reading WFC,974,['b5017aea-c053-4170-8a56-a5021bfc004c'],4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.405,Pass,
,,,,,,,,,,,,,,,,,,1.997267,,,,,,,,,,,,,,5eb9c19f-def9-4081-8fb8-731b37aee5d2,11,,,"[36.0, 24.5]",3775618,0,,,,,1.4261819,,Right Foot,,,,"[40.5, 55.4]",,Ground Pass,,31.22595,,,,Deanna Cooper,20061.0,,,,,,,1,From Kick Off,Molly Bartrip,21021.0,Left Center Back,2,Reading WFC,974,['a68602ce-17d6-4f00-a5f6-7f7b1c08fa94'],6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.898,Pass,
,,,,,,,,,,,,,,,,,,0.813407,,,,,,,,,,,,,,8d01957a-65ec-4cec-99a9-708ff1cc3658,14,,,"[55.0, 57.5]",3775618,0,,,,,-0.42285392,,Right Foot,,,,"[73.0, 49.4]",,Low Pass,,19.73854,,Incomplete,,Lauren Bruton,15726.0,,,,,,,1,From Kick Off,Deanna Cooper,20061.0,Right Center Back,2,Reading WFC,974,"['24ad43f5-0e02-4913-b92d-a3b2de76ec31', '405e9311-8f76-4a2d-8908-21449b52397b']",12,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:12.215,Pass,
