50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,329b823a-3834-4bb5-9183-5fc953625326,1,,,,3775595,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1ad14a5-e33b-453a-9860-be46dd6e7d0a,2,,,,3775595,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24370, 'name': 'Cecilie Fiskerstrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3c83bf2d-7c3b-4203-bac8-11e650fdb0e6,3,,,,3775595,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['8899ff27-616a-4f1d-a59b-203e32996960'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8899ff27-616a-4f1d-a59b-203e32996960,4,,,,3775595,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['3c83bf2d-7c3b-4203-bac8-11e650fdb0e6'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f42d09a-9d9e-4201-8805-99651252ebb2,1791,,,,3775595,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Bristol City WFC,973,['a9f28f0f-68c3-479f-8c8f-0fbc5c12d7e6'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a9f28f0f-68c3-479f-8c8f-0fbc5c12d7e6,1792,,,,3775595,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Bristol City WFC,973,['9f42d09a-9d9e-4201-8805-99651252ebb2'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,2.3057,,,,,,,,,,,,,b9fb223e-adee-489d-a643-176eed6fb51d,5,,,"[61.0, 40.1]",3775595,0,,,,2.8269594,,Right Foot,,,,"[44.1, 45.6]",,Ground Pass,,17.772451,,,,Aimee Palmer,36801.0,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Center Forward,2,Bristol City WFC,973,['d5ed09df-2ce8-488c-8ad6-3f81b4303ae6'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.145,Pass,
,,,,,,,,,,,,,,,,,,,1.391269,,,,,,,,,,,,,5c7d6e32-bc03-4666-a247-482243a7b42f,8,,,"[40.7, 46.0]",3775595,0,,,,2.9397027,,Right Foot,,,,"[23.6, 49.5]",,Ground Pass,,17.454512,,,,Gemma Evans,16381.0,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Center Defensive Midfield,2,Bristol City WFC,973,['6da1e7c8-01da-457e-ac97-6978511375b6'],3,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.080,Pass,
,,,,,,,,,,,,,,,,,,,1.93263,,,,,,,,,,,,,583464ec-c718-4a09-8db9-2c1118ce54d4,11,,,"[22.8, 41.8]",3775595,0,,,,-1.7664587,,Left Foot,,,,"[18.4, 19.6]",,Ground Pass,,22.631836,,,,Jasmine Matthews,15618.0,,,,,,1,From Kick Off,Gemma Evans,16381.0,Right Center Back,2,Bristol City WFC,973,['68d4a615-83d1-4c9e-8881-f2d7ff0dcdd1'],6,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.855,Pass,
,,,,,,,,,,,,,,,,,,,2.314389,,,,,,,,,,,,,10b1a5d0-dbf1-4601-a84e-b9c6f46cb529,15,,,"[17.4, 10.8]",3775595,0,,,,0.20881979,,Left Foot,,,,"[74.5, 22.9]",,High Pass,,58.36797,,Incomplete,,Ebony Salmon,31527.0,,,,,,1,From Kick Off,Jasmine Matthews,15618.0,Left Center Back,2,Bristol City WFC,973,"['ae264d31-d0a2-4b82-8ad0-270a95fe826c', 'cdd97728-f0a7-4a1e-a63f-121b000fa92f', 'dccaf2d6-772c-4e26-a7ab-04e9323a70dc']",11,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:11.084,Pass,True
