50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7fff301-0c23-4cd5-b4d8-baaa9fe6cdfb,1,,,3775639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99569819-5658-4ddb-b8e8-630c896d4409,2,,,3775639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0f05b20-2571-467a-8a4b-e3eb6051a720,3,,,3775639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['c29e1026-2b97-4ce2-868f-15794a294e8c'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c29e1026-2b97-4ce2-868f-15794a294e8c,4,,,3775639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['c0f05b20-2571-467a-8a4b-e3eb6051a720'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,True,f2f20c43-049b-4f73-ad01-c10aec624bdd,1991,,,3775639,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Manchester City WFC,746,['d4e8f78a-1d17-4085-b079-1818455e377f'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,True,d4e8f78a-1d17-4085-b079-1818455e377f,1992,,,3775639,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Manchester City WFC,746,['f2f20c43-049b-4f73-ad01-c10aec624bdd'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.4379,,,,,,,,,,,,,bd441ebf-0772-46a7-a265-24b75b19e13f,5,,"[61.0, 40.1]",3775639,0,,,,,-2.8017035,,Right Foot,,,,"[34.7, 30.8]",,Ground Pass,,27.895878,,,,,Gabrielle George,15575.0,,,,,,Kick Off,1,From Kick Off,Lucy Hope,16386.0,Left Midfield,2,Everton LFC,967,['73e34649-f50b-44b1-ae26-21465b74c2c1'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.343,Pass,
,,,,,,,,,,,,,,,,,4.806498,,,,,,,,,,,,,0e4f0b0f-9b67-4331-85ad-28454e3cd957,7,,"[34.7, 30.5]",3775639,0,,,,,0.39011744,,Left Foot,,,,"[75.8, 47.4]",,High Pass,,44.438946,,,,,Valérie Gauvin,25442.0,,,,,,,1,From Kick Off,Gabrielle George,15575.0,Left Center Back,2,Everton LFC,967,['a0a0902f-12f9-48f5-9304-99e555950957'],1,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:01.781,Pass,
,,,,,,,,,,,,,,,,,2.43069,,,,,,,,,,,,,28ee441d-07c2-43e2-8cc4-a72e46e292e7,10,,"[75.8, 46.6]",3775639,0,,,,True,-1.2173561,,,,,,"[79.6, 36.3]",,High Pass,,10.978616,,,Incomplete,,Lucy Hope,16386.0,,,,,,,1,From Kick Off,Valérie Gauvin,25442.0,Center Forward,2,Everton LFC,967,"['168f7809-bb4f-4acb-a7d8-72414fc46044', 'd3f6504a-5d7b-4cf4-8f52-6980d59568aa', 'e9eb7ba5-d385-4834-bb61-45615a6ca3de']",6,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:06.588,Pass,True
,,,,,,,,,,,,,,,,,1.200175,,,,,,,,,,,,,d3f6504a-5d7b-4cf4-8f52-6980d59568aa,12,,"[40.5, 43.8]",3775639,0,,,,,2.2991138,,Left Foot,,,,"[30.6, 54.9]",,Ground Pass,,14.8734665,,,,,Lucy Bronze,10178.0,,,,,,Recovery,1,Regular Play,Keira Walsh,4658.0,Right Center Midfield,3,Manchester City WFC,746,"['081905e8-7e1c-4a86-8020-33a027acfd29', '28ee441d-07c2-43e2-8cc4-a72e46e292e7']",9,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:09.018,Pass,
