ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,795de050-a672-4c39-971e-4903b74cfc62,1,,,,3775591,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24930b74-0b44-4a40-9c02-ffdff1437393,2,,,,3775591,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df006e53-b83f-4ff6-9cac-1f71f59634f0,3,,,,3775591,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['4054a26d-2f16-41f3-a27c-bc271a67dee0'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4054a26d-2f16-41f3-a27c-bc271a67dee0,4,,,,3775591,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['df006e53-b83f-4ff6-9cac-1f71f59634f0'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4cab4a44-c0b3-47aa-8a23-8783d8929474,1655,,,,3775591,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea FCW,971,['9d603ce9-7542-4385-803e-620e01407770'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d603ce9-7542-4385-803e-620e01407770,1656,,,,3775591,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea FCW,971,['4cab4a44-c0b3-47aa-8a23-8783d8929474'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.376373,,,,,,,,,,,,,7b9aace8-61c3-47fa-afc0-861c6a010cb4,5,,,"[61.0, 40.1]",3775591,0,,,,,3.006065,,Right Foot,,,,"[54.4, 41.0]",,Ground Pass,,6.661081,,,Dagný Brynjarsdóttir,10124.0,,,,,Kick Off,1,From Kick Off,Martha Thomas,31558.0,Center Forward,2,West Ham United LFC,972,['710f4d04-cb75-49c5-8d13-dd264c524443'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.976,Pass,
,,,,,,,,,,,,,,,2.214149,,,,,,,,,,,,,d20d4203-b240-49b3-ac07-d2d90e678b44,9,,,"[54.0, 43.8]",3775591,0,,,,,0.8655183,,Right Foot,,,,"[79.2, 73.4]",,High Pass,,38.874157,Incomplete,,,,,,,,,1,From Kick Off,Dagný Brynjarsdóttir,10124.0,Right Defensive Midfield,2,West Ham United LFC,972,['9150559f-ccf2-46fb-80ae-1372770a8b05'],3,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:03.165,Pass,
,,,,,,,,,,,,,,,2.961023,,,,,,,,,,,,,9150559f-ccf2-46fb-80ae-1372770a8b05,10,,,"[40.9, 6.7]",3775591,0,,,,,0.29866663,,Left Foot,,,,"[82.8, 19.6]",,High Pass,,43.840847,Incomplete,,Bethany England,15550.0,,,,,Recovery,1,From Kick Off,Jonna Ann-Charlotte Andersson,10222.0,Left Back,2,West Ham United LFC,972,"['4b5985fd-3fe8-49b4-b053-adb5ab6a149e', 'd20d4203-b240-49b3-ac07-d2d90e678b44', 'f42e6559-1ed7-44d3-b1a7-8d11f03b517d']",5,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.380,Pass,
,,,,,,,,,,,,,,,3.124027,,,,,,,,,,,,,f42e6559-1ed7-44d3-b1a7-8d11f03b517d,12,,,"[37.3, 60.5]",3775591,0,,,,,0.6652894,,Head,,,,"[56.8, 75.8]",,High Pass,,24.785883,,,Cecilie Redisch Kvamme,31553.0,,,,,Recovery,1,From Kick Off,Gilly Louise Scarlett Flaherty,18151.0,Center Back,2,West Ham United LFC,972,"['72584bf4-b8d1-485d-866d-cc85391cefe0', '9150559f-ccf2-46fb-80ae-1372770a8b05']",8,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:08.341,Pass,
