ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,88368754-3397-4206-8b21-ffb6b9fbe9a6,1,,,3764234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 46540, 'name': 'Sian Rogers'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5a237283-c90a-4d91-aced-bece5af3556b,2,,,3764234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e558bd77-094b-474c-8e72-0c21ab2788de,3,,,3764234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['33f96251-de91-4071-b9d5-1582459c4d22'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,33f96251-de91-4071-b9d5-1582459c4d22,4,,,3764234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['e558bd77-094b-474c-8e72-0c21ab2788de'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,32f95687-aea2-4be2-bd4a-1669f5546138,1883,,,3764234,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Manchester City WFC,746,['cd301bdf-db0f-47bb-8a88-d486a72f270c'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd301bdf-db0f-47bb-8a88-d486a72f270c,1884,,,3764234,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Manchester City WFC,746,['32f95687-aea2-4be2-bd4a-1669f5546138'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.633952,,,,,,,,,,,,a6a8584d-8da8-4756-bdca-601168a01887,5,,"[60.0, 40.0]",3764234,0,,,,,-3.0453992,,Right Foot,,,,"[48.6, 38.9]",Ground Pass,,11.452948,,,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Georgia Stanway,4643.0,Center Forward,2,Manchester City WFC,746,['f82f77dc-1ca3-4535-8de2-1f94d15310f7'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.407,Pass,
,,,,,,,,,,,,,,,1.639802,,,,,,,,,,,,995b23db-7be7-4df5-be39-0a2c0faacb44,8,,"[48.6, 38.6]",3764234,0,,,,,2.4234009,,Left Foot,,,,"[37.5, 48.3]",Ground Pass,,14.741099,,,,,Stephanie Houghton,10185.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Center Defensive Midfield,2,Manchester City WFC,746,['a1743a52-5467-461e-8161-9d0fbd60cb88'],1,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:01.867,Pass,
,,,,,,,,,,,,,,,5.048257,,,,,,,,,,,,29bca3c2-3e33-471f-9a58-bf44601cfb5c,11,,"[37.5, 48.1]",3764234,0,,,,,-0.4881581,,Right Foot,,,,"[106.8, 11.3]",High Pass,,78.464836,,,,,Chloe Kelly,15570.0,,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['0e5ad5c0-ae8f-4cfe-87fd-0ca6d33acaa3'],4,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:04.770,Pass,
,,,,,,,,,,,,,,,0.897429,,,,,,,,,,,,cc4f12f7-4f48-4c4e-9013-166ad3c5f14c,15,,"[112.4, 20.5]",3764234,0,,,,,1.8170891,1a783b00-fb8a-4879-95f7-9ff055b84467,Left Foot,True,,,"[107.9, 38.4]",Low Pass,,18.456978,,,,,Georgia Stanway,4643.0,True,,,,,,1,From Kick Off,Chloe Kelly,15570.0,Left Wing,2,Manchester City WFC,746,['145953a1-feca-4c94-a52b-5bff7686f9d5'],11,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:11.398,Pass,
,,,,,,,,,,,,,,,2.368588,,,,,,,,,,,,95a9e2be-4626-4b3c-99a1-6f59fa3c94d2,25,,"[7.0, 44.1]",3764234,0,,True,,,0.6821462,,Right Foot,,,,"[51.2, 80.0]",High Pass,,56.942516,,,Out,,,,,,,,,Goal Kick,1,From Goal Kick,Sian Rogers,46540.0,Goalkeeper,3,Aston Villa,2647,,33,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:33.976,Pass,
,,,,,,,,,,,,,,,1.801924,,,,,,,,,,,,3b912c80-69ad-4f5f-b06e-c2ea8852763d,26,,"[67.9, 0.1]",3764234,0,,,,,2.6050692,,,,,,"[45.2, 13.6]",High Pass,,26.410982,,,,,Gemma Bonner,15554.0,,,,,,Throw-in,1,From Throw In,Demi Stokes,4651.0,Left Back,4,Manchester City WFC,746,['65fb1b6e-c24b-4f72-b0c2-510973e4938a'],39,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:39.711,Pass,
,,,,,,,,,,,,,,,1.45018,,,,,,,,,,,,242a4c6d-d36a-4078-9ec9-4dfaa177866d,29,,"[44.3, 13.8]",3764234,0,,,,,1.8545904,,Right Foot,,,,"[37.3, 37.8]",Ground Pass,,25.0,,,,,Stephanie Houghton,10185.0,,,,,,,1,From Throw In,Gemma Bonner,15554.0,Left Center Back,4,Manchester City WFC,746,['eee4b6b2-983e-44c4-8a1a-0cee6f0fe1a8'],43,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:43.279,Pass,
,,,,,,,,,,,,,,,0.781374,,,,,,,,,,,,b5ca675a-ecdd-4252-93cc-581dd2dcdad8,32,,"[51.6, 42.5]",3764234,0,,,,,-0.27569097,,Right Foot,,,,"[66.8, 38.2]",Ground Pass,,15.796518,,,,,Georgia Stanway,4643.0,,,,,,,1,From Throw In,Stephanie Houghton,10185.0,Right Center Back,4,Manchester City WFC,746,['209d9d98-c87f-4a03-a453-ed68b066c4a7'],51,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:51.961,Pass,
,,,,,,,,,,,,,,,0.425669,,,,,,,,,,,,c175b08d-790e-4f1b-a333-4b94e4b686e2,35,,"[66.8, 38.2]",3764234,0,,,,,-2.3961732,,Right Foot,,,,"[62.9, 34.6]",Ground Pass,,5.307542,,,Incomplete,,Keira Walsh,4658.0,,,,,,,1,From Throw In,Georgia Stanway,4643.0,Center Forward,4,Manchester City WFC,746,"['2526b332-a445-4850-85d2-ee0ec0cb39dc', '6b6134d7-ba2d-46af-ae6d-b2dd8fddbcb0']",52,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:52.779,Pass,
,,,,,,,,,,,,,,,0.9785,,,,,,,,,,,,6b6134d7-ba2d-46af-ae6d-b2dd8fddbcb0,37,,"[57.2, 45.5]",3764234,0,,,,,-0.71306086,,Left Foot,,,,"[64.6, 39.1]",Ground Pass,,9.78366,,,,,Stine Larsen,10102.0,,,,,,Recovery,1,Regular Play,Ramona Petzelberger,46533.0,Left Center Midfield,5,Aston Villa,2647,"['7fc47390-1b94-40e8-af53-3cff531f57a2', 'c175b08d-790e-4f1b-a333-4b94e4b686e2']",53,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:53.205,Pass,
