ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,58e1379c-e075-40eb-a1a5-02e7af281d47,1,,,,3775593,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,5c5efb03-8ba2-4f67-a195-14e4f276510b,2,,,,3775593,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 46636, 'name': 'Bethan Roberts'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 46635, 'name': 'Emma Harries'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 36}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,9b1d8211-4e4b-4c4f-9221-3d14e53dc39a,3,,,,3775593,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['a8224b34-1dc5-4732-8e61-45664049ebe1'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,a8224b34-1dc5-4732-8e61-45664049ebe1,4,,,,3775593,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['9b1d8211-4e4b-4c4f-9221-3d14e53dc39a'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,bd7f133e-8644-41c7-ba2f-2b7e77714fa4,1749,,,,3775593,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,80,Chelsea FCW,971,['c192674a-139e-4ca6-9c72-655c5d5f04c8'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,c192674a-139e-4ca6-9c72-655c5d5f04c8,1750,,,,3775593,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,80,Chelsea FCW,971,['bd7f133e-8644-41c7-ba2f-2b7e77714fa4'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.177905,,,,,,,,,,,096db8f8-c241-439d-8031-c4fc51739229,5,,,"[61.0, 40.1]",3775593,0,,,,,2.6255288,,Right Foot,,,"[36.5, 54.0]",,Ground Pass,,28.168423,,,Millie Bright,4642.0,,,,,,Kick Off,1,From Kick Off,So-Yun Ji,4647.0,Left Wing,2,Chelsea FCW,971,['1dfcf686-75e5-490e-ad0d-08181f433c66'],1,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:01.146,Pass,
,,,,,,,,,,,,,,2.672979,,,,,,,,,,,171110ee-c003-4433-85dd-e1071dce32f2,8,,,"[54.7, 62.7]",3775593,0,,,,,0.07883833,,Right Foot,,,"[102.8, 66.5]",,High Pass,,48.24987,Incomplete,,Samantha May Kerr,4961.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['809b7ffd-7be5-4a07-849c-d549940fefea', '93922b79-e2ce-45bc-a3b8-ff67157a0ca2']",8,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:08.297,Pass,
,,,,,,,,,,,,,,1.013284,,,,,,,,,,,ddad8026-3608-46a4-bb6e-b09644ed567b,11,,,"[92.3, 80.0]",3775593,0,,,,,-1.604874,,,,,"[92.0, 71.2]",,Low Pass,,8.805112,,,Melanie Leupolz,15648.0,,,,,,Throw-in,1,From Throw In,Niamh Charles,15631.0,Right Back,3,Chelsea FCW,971,['3cdd50c5-14f7-4842-bd29-42ce65fd2fb5'],15,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:15.825,Pass,
,,,,,,,,,,,,,,0.946896,,,,,,,,,,,14e17423-95b8-4c6b-b072-4bcf7bd81afd,14,,,"[92.0, 71.2]",3775593,0,,,,,1.5707964,,Right Foot,,,"[92.0, 76.2]",,Low Pass,,5.0,,,Niamh Charles,15631.0,,,,,,,1,From Throw In,Melanie Leupolz,15648.0,Right Defensive Midfield,3,Chelsea FCW,971,['df9ad9ee-9797-44fd-9e1e-ca99fd4ce953'],16,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:16.896,Pass,
