50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[57.4, 3.8]",,,,,,,,,,,2.146015,,,,,,,,,,,1eacbd3c-d4c6-4309-9c20-1c7c97fdd202,405,,"[49.6, 3.6]",3775599,12,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hawa Cissoko,31157.0,Left Center Back,29,West Ham United LFC,972,"['210925ae-2d8f-4e2e-b5ce-9637d44a5eac', '294bfb81-e4f6-4a06-9263-ef65ed2adde2', 'd179e8e4-c811-4513-bd20-3e025a0b9b64', 'eb224bf6-031d-401f-b731-37a214b8fe1e']",27,,,,,,,,,,,,,,,,West Ham United LFC,972,00:12:27.344,Carry,True
,,,,"[53.4, 63.6]",,,,,,,,,,,2.187883,,,,,,,,,,,47ce9d78-df2c-4a66-af51-fccaccc29f5d,410,,"[53.0, 73.1]",3775599,12,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Amy West,46543.0,Right Center Midfield,29,West Ham United LFC,972,"['022a4a86-510d-43dd-b7b0-55faba2b0c6d', '040de976-770b-4f31-a7ea-16efe0360497', 'b5390985-e92b-4237-8fde-4429f39a42da']",30,,,,,,,,,,,,,,,,Aston Villa,2647,00:12:30.501,Carry,True
,,,,"[7.3, 30.5]",,,,,,,,,,,2.290773,,,,,,,,,,,9320e40f-97d5-4774-b19b-370672f07811,423,,"[6.7, 30.9]",3775599,12,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Courtney Brosnan,31555.0,Goalkeeper,29,West Ham United LFC,972,"['0b3179a3-5605-472a-a8a5-be55c0c1f663', '13fa6f21-15e7-4a19-8c8b-f0b598dea3a1', '61ba4f1b-c1f0-4788-9bc7-60b5188d3d41']",42,,,,,,,,,,,,,,,,West Ham United LFC,972,00:12:42.653,Carry,True
,,,,"[69.2, 76.5]",,,,,,,,,,,1.085689,,,,,,,,,,,9880277d-9fb3-4a70-9420-04f8b72d2361,433,,"[68.8, 75.6]",3775599,13,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stine Larsen,10102.0,Right Center Forward,30,Aston Villa,2647,"['4bd266d3-036a-4d98-9f48-1ec69df07f52', '849acec7-ab6d-4c92-8bb2-54c827219e25', 'b6b4984d-9322-47d5-a059-1abb98d950f4']",14,,,,,,,,,,,,,,,,Aston Villa,2647,00:13:14.789,Carry,True
,,,,"[53.4, 4.7]",,,,,,,,,,,0.533409,,,,,,,,,,,f41e8f9c-a35a-404f-8f8d-5c5bcedd56f2,449,,"[49.0, 4.0]",3775599,13,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emily Louise van Egmond,5076.0,Left Wing,32,West Ham United LFC,972,"['5d7c01af-e0f1-4370-ab05-07c9496281d6', 'e3eae4a6-9662-4749-869f-38337b6108c9']",33,,,,,,,,,,,,,,,,West Ham United LFC,972,00:13:33.601,Carry,
,,,,"[62.5, 1.5]",,,,,,,,,,,0.611073,,,,,,,,,,,8c02ae9b-cf6a-4c52-83d8-8737caeea848,456,,"[60.2, 1.7]",3775599,13,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Katerina Svitková,24403.0,Left Wing Back,32,West Ham United LFC,972,"['cbc7aba0-f8e5-4e35-9734-7b6824638072', 'f24a016e-f943-49ae-a645-479142ec20c4']",38,,,,,,,,,,,,,,,,West Ham United LFC,972,00:13:38.087,Carry,
,,,,"[84.2, 30.6]",,,,,,,,,,,1.173062,,,,,,,,,,,2a61e98a-d285-44f8-9ace-6db57ae12b1a,468,,"[84.7, 30.2]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Asmita Ale,46541.0,Left Wing Back,34,Aston Villa,2647,"['21ee367d-7608-4d18-b111-a3829a2e6f4a', 'c63b556c-8c8f-4fd0-929e-336103ef095e']",20,,,,,,,,,,,,,,,,Aston Villa,2647,00:14:20.117,Carry,
,,,,"[72.6, 9.9]",,,,,,,,,,,0.220259,,,,,,,,,,,2872dad6-927f-44de-b0c0-9a6fa4664328,473,,"[72.6, 9.9]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jodie Hutton,46537.0,Left Center Back,34,Aston Villa,2647,"['607a0731-5cdc-4347-8253-d4101e20c0cb', 'f55bf43c-6fdc-4878-8f2f-2c501f1066db']",24,,,,,,,,,,,,,,,,Aston Villa,2647,00:14:24.888,Carry,
,,,,"[12.0, 33.6]",,,,,,,,,,,2.919331,,,,,,,,,,,5ac6e89a-7967-434a-a309-65e2cc6d7a45,476,,"[7.7, 36.8]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Courtney Brosnan,31555.0,Goalkeeper,35,West Ham United LFC,972,"['44f0bdbb-3a13-43e7-9373-dc48aa5f172d', 'a8da392b-fe51-47e1-900b-800059ce7a0a']",27,,,,,,,,,,,,,,,,West Ham United LFC,972,00:14:27.591,Carry,
,,,,"[35.6, 3.0]",,,,,,,,,,,3.644766,,,,,,,,,,,6a4c89e9-b330-4a39-bac8-4951078a22c0,479,,"[28.5, 5.3]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Katerina Svitková,24403.0,Left Wing Back,35,West Ham United LFC,972,"['27a38d6c-d71c-45c8-b1ba-3e141cfdeb83', '9bc33525-4db3-4852-bac2-ceec7208289d', 'b20e0439-fab4-4522-afd1-2792d96dbc26']",32,,,,,,,,,,,,,,,,West Ham United LFC,972,00:14:32.347,Carry,True
