bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1151dee9-8ad6-456d-a1aa-03608eabff43,1,,,,3775584,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10380, 'name': 'Leonie Maier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 45156, 'name': 'Malin Gut'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bfc090c9-8e9e-4ddc-9894-19f5b01e1178,2,,,,3775584,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 21556, 'name': 'Connie Scofield'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4841, 'name': 'Destiney Toussaint'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c8daac64-71d0-452f-ac3d-5e557c21b399,3,,,,3775584,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['b800c207-9462-4c1d-bae5-65c92e60404c'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b800c207-9462-4c1d-bae5-65c92e60404c,4,,,,3775584,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['c8daac64-71d0-452f-ac3d-5e557c21b399'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,208420e5-5a1c-4817-8e86-1bbbafbf057d,1499,,,,3775584,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Arsenal WFC,968,['c89364b7-c5f2-47f0-8010-ca9e21f86034'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c89364b7-c5f2-47f0-8010-ca9e21f86034,1500,,,,3775584,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Arsenal WFC,968,['208420e5-5a1c-4817-8e86-1bbbafbf057d'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.109371,,,,,,,,,,,b5e1e34d-98b9-4172-8d59-a67b95551950,5,,,"[60.0, 40.0]",3775584,0,,,,-3.0379653,,Left Foot,,,"[47.5, 38.7]",,Ground Pass,,12.567418,,,,Christie Murray,15628.0,,,,,,Kick Off,1,From Kick Off,Connie Scofield,21556.0,Right Midfield,2,Birmingham City WFC,969,['f2c61a96-e4fc-4806-9207-0e98c3cd79a9'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.096,Pass,
,,,,,,,,,,,,,,,,,2.36059,,,,,,,,,,,a611ed1b-42cb-4f4b-b441-08424215e458,8,,,"[47.3, 37.9]",3775584,0,,,,-0.44274473,,Right Foot,,,"[70.5, 26.9]",,High Pass,,25.675669,,Incomplete,,Claudia Walker,15580.0,,,,,,,1,From Kick Off,Christie Murray,15628.0,Center Defensive Midfield,2,Birmingham City WFC,969,"['0dc7333c-bfa6-4693-a379-fe677727c0a3', '8b0cb5ce-189a-4926-a722-400a36e48e12']",1,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:01.374,Pass,
,,,,,,,,,,,,,,,,,1.396978,,,,,,,,,,,8b0cb5ce-189a-4926-a722-400a36e48e12,11,,,"[49.6, 53.2]",3775584,0,,,True,0.7853982,,,,,"[55.9, 59.5]",,High Pass,,8.909546,,Unknown,,Bethany Mead,15619.0,,,,,,Recovery,1,From Kick Off,Kim Little,15616.0,Right Center Midfield,2,Birmingham City WFC,969,"['4983a3ee-4c91-4681-8cfe-f73ff8d93c4d', 'a611ed1b-42cb-4f4b-b441-08424215e458', 'da12a280-8fac-490b-b26b-11f832b7242d']",3,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:03.734,Pass,True
,,,,,,,,,,,,,,,,,1.483096,,,,,,,,,,,93de493e-5237-4026-8259-72607206bcf7,16,,,"[55.7, 59.3]",3775584,0,,,,-3.100632,,Right Foot,,,"[43.5, 58.8]",,Ground Pass,,12.210241,,,,Leah Williamson,18999.0,,,,,,Free Kick,1,From Free Kick,Leonie Maier,10380.0,Right Back,3,Arsenal WFC,968,['4abe2632-974a-4bff-8687-03183f7276a2'],18,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:18.005,Pass,
