50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,eeeff566-3f0e-423c-ab57-ad86c54c2f63,1,,,,3775649,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 4}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,206e1c0d-bd75-4442-9e4b-c901888181da,2,,,,3775649,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31157, 'name': 'Hawa Cissoko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6bb3fd69-e048-4dbf-8d21-1106b5603808,3,,,,3775649,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['06de4efc-8065-44b8-a5e5-05fbe250380b'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,06de4efc-8065-44b8-a5e5-05fbe250380b,4,,,,3775649,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['6bb3fd69-e048-4dbf-8d21-1106b5603808'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5867e659-a753-43c8-90af-66bc3fb970aa,1397,,,,3775649,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Reading WFC,974,['340b1e64-87fb-4a76-9249-45bce0d2fe5e'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,340b1e64-87fb-4a76-9249-45bce0d2fe5e,1398,,,,3775649,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Reading WFC,974,['5867e659-a753-43c8-90af-66bc3fb970aa'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.44031,,,,,,,,,,,6bfe6e7a-2df2-4853-97a4-1e265c1da97b,5,,,"[61.0, 40.1]",3775649,0,,,,3.1082716,,Right Foot,,,"[46.0, 40.6]",,Ground Pass,,15.008331,,,Kate Longhurst,18147.0,,,,,,Kick Off,1,From Kick Off,Kenza Dali,15421.0,Right Wing,2,West Ham United LFC,972,['d62333f1-c757-4c63-a831-1e9b85a06d52'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.366,Pass,
,,,,,,,,,,,,,,,,,0.980665,,,,,,,,,,,003010a8-dd51-4605-8737-1c5cc405b672,8,,,"[44.5, 45.8]",3775649,0,,,,2.0138988,,Right Foot,,,"[33.3, 69.4]",,Ground Pass,,26.122787,,Unknown,,,,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Right Defensive Midfield,2,West Ham United LFC,972,,2,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:02.883,Pass,
,,,,,,,,,,,,,,,,,4.326898,,,,,,,,,,,a5b78ffe-e195-4e5f-8a4b-e34c53a1ccad,14,,,"[43.1, 47.5]",3775649,2,,,,-0.02449078,,Right Foot,,,"[112.5, 45.8]",,High Pass,,69.420815,,Incomplete,Kenza Dali,15421.0,,,,,,Free Kick,1,From Free Kick,Grace Fisk,34232.0,Right Center Back,3,West Ham United LFC,972,"['8a84966f-867b-4455-b5d6-75c608349f77', 'ed689260-7a1f-43ae-b68f-c0c9f43e3800']",11,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:02:11.671,Pass,
,,,,,,,,,,,,,,,,,1.731299,,,,,,,,,,,23b05e5b-4a38-4fec-873d-a662c84eaee1,18,,,"[16.2, 38.9]",3775649,2,,,,-1.2490457,,Keeper Arm,,,"[23.2, 17.9]",,Ground Pass,,22.135944,,,Deanna Cooper,20061.0,,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,4,Reading WFC,974,['814b59d3-73ce-4493-9d24-990fd292f51d'],24,,,,,,,,,,,,,,,,,Reading WFC,974,00:02:24.838,Pass,
