50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99bb910c-993c-460d-bc61-0062f12b54bd,1,,,,3764237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 34375, 'name': 'Emma Rose Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,30648fce-3b1d-43ca-8e94-15d022d8c1c7,2,,,,3764237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a37450be-99a8-437a-9fc2-3c487dc996f1,3,,,,3764237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['8515a88a-c64f-4ce2-bc0a-11675bca71f6'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8515a88a-c64f-4ce2-bc0a-11675bca71f6,4,,,,3764237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['a37450be-99a8-437a-9fc2-3c487dc996f1'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,38712775-776d-4a88-b0f7-9464b95939b2,1780,,,,3764237,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,119,Birmingham City WFC,969,['ce9f6e09-9566-4c7f-ab6d-f8952754d519'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ce9f6e09-9566-4c7f-ab6d-f8952754d519,1781,,,,3764237,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,119,Birmingham City WFC,969,['38712775-776d-4a88-b0f7-9464b95939b2'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.209504,,,,,,,,,,,,,,d2dd9bab-a9a3-42cd-803f-21dc43aba48d,5,,,"[60.0, 40.0]",3764237,0,,,,-0.76579285,5b3f28c4-8afa-43a2-b1eb-2a9af8b3e398,Right Foot,,,,"[62.6, 37.5]",,Ground Pass,,3.6069376,,Katie Zelem,31540.0,True,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,Center Forward,2,Manchester United,1475,['95d276cd-cb28-48e7-b2a8-457a7653b263'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.587,Pass,
,,,,,,,,,,,,,,,,1.142498,,,,,,,,,,,,,,62e064dc-a1b2-4bdb-b021-c5d0ce354cc9,9,,,"[9.3, 37.5]",3764237,0,,,,1.19029,,Keeper Arm,,,,"[13.7, 48.5]",,Ground Pass,,11.8473625,,Georgia Brougham,15574.0,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,3,Birmingham City WFC,969,['05d7f4ac-004e-428b-85d2-5983aa157024'],5,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:05.995,Pass,
,,,,,,,,,,,,,,,,1.670524,,,,,,,,,,,,,,c1c94f0a-b2e9-4444-9d6c-8b18a969a6ca,12,,,"[15.0, 45.7]",3764237,0,,,,-1.394966,,Right Foot,,,,"[18.5, 26.0]",,Ground Pass,,20.0085,,Rachel Corsie,4984.0,,,,,,,1,Regular Play,Georgia Brougham,15574.0,Right Center Back,3,Birmingham City WFC,969,['5a3fed88-a664-4234-b925-51afb02950a4'],8,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:08.445,Pass,
,,,,,,,,,,,,,,,,2.154619,,,,,,,,,,,,,,4f5bc519-3a11-40b7-86a8-0a2e80e96512,15,,,"[18.5, 26.0]",3764237,0,,,,2.3055134,,Left Foot,,,,"[5.4, 40.5]",,Ground Pass,,19.541239,,Hannah Hampton,22032.0,,,,,,,1,Regular Play,Rachel Corsie,4984.0,Left Center Back,3,Birmingham City WFC,969,['a7f7bcd1-83d7-4153-9906-1b296ac17dfd'],12,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:12.364,Pass,
