ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,69fa5a7e-a0ea-4393-8437-6ec21884dcc8,1,,,,3775589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cbaa56e0-c1c8-4e20-844c-6a01f896a1f1,2,,,,3775589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 78072, 'name': 'Anna Patten'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 45156, 'name': 'Malin Gut'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,92e7e43e-406f-45fe-a849-0af77f9bde5f,3,,,,3775589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['df8652d8-0e82-4433-b346-7ab1e1464b80'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df8652d8-0e82-4433-b346-7ab1e1464b80,4,,,,3775589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['92e7e43e-406f-45fe-a849-0af77f9bde5f'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f0fa2941-3fd5-4658-84ab-6cc4fc99724e,1598,,,,3775589,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Reading WFC,974,['8259ccd1-6849-40a9-81ea-86ec00bb3881'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8259ccd1-6849-40a9-81ea-86ec00bb3881,1599,,,,3775589,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Reading WFC,974,['f0fa2941-3fd5-4658-84ab-6cc4fc99724e'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.484707,,,,,,,,,,,,,,90585382-da8f-498e-b6a9-7214a2bd0870,5,,,"[61.0, 40.1]",3775589,0,,,,2.4087775,,Right Foot,,,,"[60.0, 41.0]",,Ground Pass,,1.3453624,,,,Vivianne Miedema,15623.0,,,,,Kick Off,1,From Kick Off,Jill Roord,10650.0,Right Attacking Midfield,2,Arsenal WFC,968,['3b1fbf95-d140-4b88-bcd2-09b725321f9c'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.080,Pass,
,,,,,,,,,,,,,,,,,1.127108,,,,,,,,,,,,,,bed0c7b5-d267-4a6c-9cb6-0e198b18b347,7,,,"[60.0, 41.0]",3775589,0,,,,-3.1085467,,Right Foot,,,,"[47.9, 40.6]",,Ground Pass,,12.106609,,,,Malin Gut,45156.0,,,,,,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['bfead4e3-b4ba-4af9-84f3-2c0042ec799f'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.564,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,b2347e05-a013-48ed-a96f-85eae49fb35f,10,,,"[53.9, 49.0]",3775589,0,,,,1.3833014,,Left Foot,,,,"[58.7, 74.3]",,Ground Pass,,25.75131,,,,Anna Patten,78072.0,,,,,,1,From Kick Off,Malin Gut,45156.0,Right Defensive Midfield,2,Arsenal WFC,968,['cbe4c553-3c60-4370-9ee5-53effcc79039'],4,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:04.279,Pass,
,,,,,,,,,,,,,,,,,4.093477,,,,,,,,,,,,,,3af67a53-c4bb-4216-abf4-6468a2f91012,13,,,"[68.1, 73.7]",3775589,0,,,,0.06541712,,Right Foot,,,,"[120.0, 77.1]",,High Pass,,52.01125,,Out,,Lia Wälti,10405.0,,,,,,1,From Kick Off,Anna Patten,78072.0,Right Center Back,2,Arsenal WFC,968,['28cdb165-d774-4404-b4cc-1a9ec52af67c'],7,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:07.776,Pass,
