ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.178445,,,,,,,,,,,,,01479253-5c78-4841-a9c9-bae9bfde6958,15,,"[56.3, 7.4]",3775610,0,,,,3.0927186,,Left Foot,,,,"[37.9, 8.3]",,Ground Pass,,18.421997,,,,Millie Turner,31536.0,,,,,,,1,From Throw In,Katie Zelem,31540.0,Center Defensive Midfield,3,Manchester United,1475,['650d2a18-7865-4fd8-81c5-87fd0d48f19a'],18,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:18.883,Pass,
,,,,,,,,,,,,,,,,2.578968,,,,,,,,,,,,,db7c2d7c-4a78-4295-b18d-558e11781caa,18,,"[37.9, 8.3]",3775610,0,,,,2.0074234,,Right Foot,,,,"[23.2, 39.8]",,Ground Pass,,34.761185,,,,Mary Alexandra Earps,31538.0,,,,,,,1,From Throw In,Millie Turner,31536.0,Left Center Back,3,Manchester United,1475,['fc0c6b88-de62-4707-a032-58c89b69a255'],21,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:21.173,Pass,
,,,,,,,,,,,,,,,,1.7543,,,,,,,,,,,,,9d83d579-7cbe-4719-aa33-e762534850f5,21,,"[26.6, 40.1]",3775610,0,,,,-0.8786521,,Right Foot,,,,"[39.2, 24.9]",,Ground Pass,,19.743353,,,,Millie Turner,31536.0,,,,,,,1,From Throw In,Mary Alexandra Earps,31538.0,Goalkeeper,3,Manchester United,1475,['960bae2e-4e6c-4d84-adcb-bd5b36e1f97b'],27,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:27.011,Pass,
,,,,,,,,,,,,,,,,2.13228,,,,,,,,,,,,,fa0291b2-bc87-4d8f-9d3d-c29ab4850920,24,,"[43.4, 25.2]",3775610,0,,,,1.4946387,,Right Foot,,,,"[45.3, 50.1]",,Ground Pass,,24.972385,,,,Amy Turner,31533.0,,,,,,,1,From Throw In,Millie Turner,31536.0,Left Center Back,3,Manchester United,1475,['c5b89e8d-288a-443e-a85e-11f5e2b4b17e'],31,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:31.626,Pass,
,,,,,,,,,,,,,,,,1.18168,,,,,,,,,,,,,985c589e-8a66-4353-b85b-5b8800ee0d2a,27,,"[47.9, 50.9]",3775610,0,,,,1.4162997,,Right Foot,,,,"[49.8, 63.1]",,Ground Pass,,12.347064,,,,Tobin Powell Heath,5013.0,,,,,,,1,From Throw In,Amy Turner,31533.0,Right Center Back,3,Manchester United,1475,['c22a81b1-1dfb-42e5-8339-33b678b580dc'],35,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:35.125,Pass,
,,,,,,,,,,,,,,,,1.183617,,,,,,,,,,,,,2d414e87-9cdf-4e02-87a1-479eae452c67,31,,"[53.9, 56.2]",3775610,0,,,,-3.0123177,,Right Foot,,,,"[43.9, 54.9]",,Ground Pass,,10.084146,,,,Amy Turner,31533.0,,,,,,,1,From Throw In,Tobin Powell Heath,5013.0,Right Wing,3,Manchester United,1475,"['43a725ef-1f14-4958-ac12-a7b9ea2b33ed', 'e318cf02-c51f-4bd8-96ae-3e4626bfcc9a']",41,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:41.761,Pass,True
,,,,,,,,,,,,,,,,1.923942,,,,,,,,,,,,,2586ca5c-4682-445a-b4d5-f5fd05df42ce,34,,"[44.3, 54.7]",3775610,0,,,,-1.6344686,,Right Foot,,,,"[42.4, 24.9]",,Ground Pass,,29.86051,,,,Millie Turner,31536.0,,,,,,,1,From Throw In,Amy Turner,31533.0,Right Center Back,3,Manchester United,1475,['52ae92a9-7e5a-41f8-94e7-e3ecadf99e71'],43,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:43.712,Pass,
,,,,,,,,,,,,,,,,4.834654,,,,,,,,,,,,,ae1201e5-cb57-4e4e-a635-c7647e6ee0bf,37,,"[51.5, 25.7]",3775610,0,,,,-0.45369387,,Right Foot,,,,"[104.0, 0.1]",,High Pass,,58.40899,,Out,,Kirsty Smith,10196.0,,,,,,,1,From Throw In,Millie Turner,31536.0,Left Center Back,3,Manchester United,1475,['fe790a2c-d44e-4833-b53b-eb6d2d06ae43'],47,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:47.349,Pass,
,,,,,,,,,,,,,,,,2.782056,,,,,,,,,,,,,7df387a5-97fa-472f-b107-a6a318b49a20,39,,"[18.2, 80.0]",3775610,1,,,,-0.09226399,,,,,,"[46.3, 77.4]",,High Pass,,28.220028,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Florence Allen,24922.0,Right Back,4,Bristol City WFC,973,['1dbd7753-e52e-4a6e-af44-6a0ae287abf0'],11,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:11.834,Pass,
,,,,,,,,,,,,,,,,2.378537,,,,,,,,,,,,,966e7f19-8a17-4672-b508-6ef4a12b6ed6,45,,"[75.5, 6.2]",3775610,1,,,,2.0301645,,Left Foot,,,,"[61.6, 34.3]",,Ground Pass,,31.34996,,,,Amy Turner,31533.0,,,,,,Free Kick,1,From Free Kick,Katie Zelem,31540.0,Center Defensive Midfield,6,Manchester United,1475,['38421397-f1c8-411f-9642-d4735cff806b'],27,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:27.002,Pass,
