50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36af4ee7-75cc-4328-9f30-5421928b385d,1,,,,3775592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8eff8dce-1a80-4080-872a-475d50aa0f46,2,,,,3775592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,782e037b-b72f-4865-b855-863542af462a,3,,,,3775592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['ee6fccc8-8bf4-490d-a3f9-51efb740a53b'],0,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ee6fccc8-8bf4-490d-a3f9-51efb740a53b,4,,,,3775592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['782e037b-b72f-4865-b855-863542af462a'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,32aff06c-5631-4bd8-82c1-aeb3a299adb1,1482,,,,3775592,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Tottenham Hotspur Women,749,['5cbea096-6b0d-4348-adf0-95f3443770da'],0,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5cbea096-6b0d-4348-adf0-95f3443770da,1483,,,,3775592,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Tottenham Hotspur Women,749,['32aff06c-5631-4bd8-82c1-aeb3a299adb1'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.85693,,,,,,,,,,,,b8b87994-19f4-4172-86c8-fb254c0ef022,5,,,"[60.0, 40.0]",3775592,0,,,,,-2.367183,,Right Foot,,,,"[50.8, 31.0]",,Ground Pass,,12.87012,,,,,Rachel Rowe,19780.0,,,,,Kick Off,1,From Kick Off,Brooke Chaplen,15723.0,Center Attacking Midfield,2,Reading WFC,974,['2132b66f-8c8d-495f-be7f-112a7e9496e9'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.621,Pass,
,,,,,,,,,,,,,,,,,,0.745041,,,,,,,,,,,,13ee1ccf-27bf-4d4b-b9a7-ebf560ba5505,8,,,"[52.0, 29.6]",3775592,0,,,,,2.4485238,,Left Foot,,,,"[46.1, 34.5]",,Ground Pass,,7.66942,,,,,Jessica Fishlock,5016.0,,,,,,1,From Kick Off,Rachel Rowe,19780.0,Left Center Midfield,2,Reading WFC,974,['6c719ce7-cc10-4559-917f-26f450d5006d'],2,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.312,Pass,
,,,,,,,,,,,,,,,,,,0.880159,,,,,,,,,,,,5e3ff563-c810-499c-91a9-34aec8614d13,11,,,"[46.6, 31.0]",3775592,0,,,,,-1.9756881,,Right Foot,,,,"[40.6, 17.0]",,Ground Pass,,15.231546,,,,,Molly Bartrip,21021.0,,,,,,1,From Kick Off,Jessica Fishlock,5016.0,Center Defensive Midfield,2,Reading WFC,974,['2f4acc22-3aa9-4f21-ac77-5c7ed181c919'],4,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.091,Pass,
,,,,,,,,,,,,,,,,,,1.508666,,,,,,,,,,,,f81383a4-b2dd-4a79-a5e7-e1c38ef1ce8b,14,,,"[38.6, 18.0]",3775592,0,,,,,1.6956841,,Right Foot,,,,"[35.7, 41.1]",,Ground Pass,,23.281322,,,,,Deanna Cooper,20061.0,,,,,,1,From Kick Off,Molly Bartrip,21021.0,Left Center Back,2,Reading WFC,974,['8ef5d280-97cc-47e0-92ce-b3f6b9062bf0'],6,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.607,Pass,
