bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d00ed946-b25e-4152-bd59-4507457a4c38,1,,,,3775606,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 46635, 'name': 'Emma Harries'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 36}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,65b28edc-2e2b-41b1-84bb-9dc270567444,2,,,,3775606,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,65c601c9-c9e5-4cc0-abac-5c1962b338e4,3,,,,3775606,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['146e5466-c779-4a80-90d5-736c5634b61e'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,146e5466-c779-4a80-90d5-736c5634b61e,4,,,,3775606,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['65c601c9-c9e5-4cc0-abac-5c1962b338e4'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f1bb80ea-bd4a-4a62-9768-cdaeb9678d3c,1686,,,,3775606,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Chelsea FCW,971,['e90c43e1-c524-4b3d-ad0b-22abf72096c6'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e90c43e1-c524-4b3d-ad0b-22abf72096c6,1687,,,,3775606,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Chelsea FCW,971,['f1bb80ea-bd4a-4a62-9768-cdaeb9678d3c'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,2.419551,,,,,,,,,,,8936b8cf-56e0-4a54-9f93-603ee817f4ff,5,,,"[60.0, 40.0]",3775606,0,,,,-2.5875328,,Right Foot,,,"[32.2, 22.8]",,Ground Pass,,32.69067,,,,Emma Mukandi,18998.0,,,,,Kick Off,1,From Kick Off,Lily Woodham,15704.0,Left Back,2,Reading WFC,974,['01acd985-3632-4c99-880e-a8b310e49b10'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.103,Pass,
,,,,,,,,,,,,,,,,,,,2.307393,,,,,,,,,,,c6da011c-b5e3-4b82-bf35-e00f8fb3585a,8,,,"[27.2, 22.7]",3775606,0,,,,1.6306498,,Left Foot,,,"[25.6, 49.4]",,Ground Pass,,26.747896,,,,Deanna Cooper,20061.0,,,,,,1,From Kick Off,Emma Mukandi,18998.0,Left Center Back,2,Reading WFC,974,['bc92f93a-4b87-43d3-bc04-80b1a103587c'],3,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.811,Pass,
,,,,,,,,,,,,,,,,,,,1.91471,,,,,,,,,,,817b7e43-6e39-4631-8822-2528cce1c135,11,,,"[25.0, 48.6]",3775606,0,,,,-1.3630918,,Right Foot,,,"[30.1, 24.4]",,Ground Pass,,24.731558,,,,Emma Mukandi,18998.0,,,,,,1,From Kick Off,Deanna Cooper,20061.0,Right Center Back,2,Reading WFC,974,['39cdfa46-9146-4bb3-9e91-a778c33c06f8'],7,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:07.318,Pass,
,,,,,,,,,,,,,,,,,,,2.222163,,,,,,,,,,,a4d15a3d-ad98-4fed-8425-4d861c6473e6,14,,,"[36.8, 16.1]",3775606,0,,,,-0.054226536,,Left Foot,,,"[84.7, 13.5]",,High Pass,,47.970512,,Incomplete,,Lily Woodham,15704.0,,,,,,1,From Kick Off,Emma Mukandi,18998.0,Left Center Back,2,Reading WFC,974,"['0dd6c15f-bb41-4adc-8019-345936529919', '147f6b00-51e0-4974-914e-f6ebf9434ac1']",11,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:11.210,Pass,
