50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ee9e7db-bc37-426f-8fbc-a5bd92118838,1,,,3775548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcbdb593-db9e-4db7-a305-146af6d1f538,2,,,3775548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,410e8250-8bad-42a1-9d44-7d222c7ae27e,3,,,3775548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['954e45e7-4340-4ef8-bff4-862c45441b72'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,954e45e7-4340-4ef8-bff4-862c45441b72,4,,,3775548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['410e8250-8bad-42a1-9d44-7d222c7ae27e'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b0327ef-bc28-434d-9ab1-43134c7e9289,1881,,,3775548,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Arsenal WFC,968,['ad4e5095-5f7a-4fe7-b37a-368f96227e0d'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad4e5095-5f7a-4fe7-b37a-368f96227e0d,1882,,,3775548,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Arsenal WFC,968,['8b0327ef-bc28-434d-9ab1-43134c7e9289'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.392985,,,,,,,,,,,,,941ec8b1-6033-4b5f-96d7-cdffff198cb2,5,,"[60.0, 40.0]",3775548,0,,,,,-2.64517,,Right Foot,,,,"[40.8, 29.6]",,Ground Pass,,21.83575,,Magdalena Lilly Eriksson,4633.0,,,,,,Kick Off,1,From Kick Off,So-Yun Ji,4647.0,Left Wing,2,Chelsea FCW,971,['ddf3198a-8a65-4638-9e40-3c6af4d919fe'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.977,Pass,
,,,,,,,,,,,,,,,,,,,2.628779,,,,,,,,,,,,,7e4dc1fa-a834-4db6-a509-6f17587ca65b,8,,"[40.6, 30.3]",3775548,0,,,,,-0.26659185,,Left Foot,,,,"[90.4, 16.7]",,High Pass,,51.62364,,So-Yun Ji,4647.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Chelsea FCW,971,['01b4dd15-154d-4627-9fb2-28b2373545e7'],3,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.952,Pass,
,,,,,,,,,,,,,,,,,,,1.013308,,,,,,,,,,,,,7bb7efc8-888e-46c2-90ae-eb299c5af462,10,,"[90.4, 16.7]",3775548,0,,,,,0.4928364,,Head,,,,"[101.2, 22.5]",,Low Pass,,12.258874,,Samantha May Kerr,4961.0,,,,,,,1,From Kick Off,So-Yun Ji,4647.0,Left Wing,2,Chelsea FCW,971,['226e191b-4bd9-4191-a0dd-c6d7fc6a3f99'],6,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:06.753,Pass,
,,,,,,,,,,,,,,,,,,,0.113072,,,,,,,,,,,,,8d4bad15-24c1-413d-a427-6355e31b50a6,14,,"[110.1, 18.0]",3775548,0,,,,,1.2560387,,Left Foot,,,,"[111.5, 22.3]",,Low Pass,,4.5221677,Incomplete,Francesca Kirby,4641.0,,,,,,,1,From Kick Off,Samantha May Kerr,4961.0,Center Forward,2,Chelsea FCW,971,"['26c49dcc-d59b-4c60-9ae8-2c6bfe722ad3', '600af261-9933-4424-a4dd-364334bc12e9', 'f432beb2-161f-4372-b0c6-379aaab14640']",9,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:09.732,Pass,True
