ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,92d37f31-4497-4bf3-857c-be4ca2445d13,1,,,,3775571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46542, 'name': 'Sophie Haywood'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15716, 'name': 'Emily Syme'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6a41b02f-faed-4b51-b7d3-3eb87a731c51,2,,,,3775571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46636, 'name': 'Bethan Roberts'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 31}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,461cfa59-96fb-45e6-babe-ca5f0c1a8f70,3,,,,3775571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['efbb27e6-d3b0-4b79-8e2b-ec95a7b36b7b'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,efbb27e6-d3b0-4b79-8e2b-ec95a7b36b7b,4,,,,3775571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['461cfa59-96fb-45e6-babe-ca5f0c1a8f70'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a80c734a-97ef-458f-a7f8-abaf6f1e66bc,1632,,,,3775571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,90,Aston Villa,2647,['0d8a3260-3b80-43b4-b2cd-40437127812f'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d8a3260-3b80-43b4-b2cd-40437127812f,1633,,,,3775571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,90,Aston Villa,2647,['a80c734a-97ef-458f-a7f8-abaf6f1e66bc'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.200334,,,,,,,,,,,,23ae12e7-49b6-4740-a553-e77a7b7e1569,5,,,"[60.0, 40.0]",3775571,0,,,,,2.9800904,,Right Foot,,,,"[42.2, 42.9]",,Ground Pass,,18.034689,,,Jessica Fishlock,5016.0,,,,,Kick Off,1,From Kick Off,Natasha Harding,15725.0,Right Center Forward,2,Reading WFC,974,['58e1fc47-19a9-4c26-8649-18f48fb605b7'],1,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:01.114,Pass,
,,,,,,,,,,,,,,,2.401173,,,,,,,,,,,,0df6a49a-e315-4e98-9597-be8baa642109,8,,,"[42.2, 44.9]",3775571,0,,,,,1.7090393,,Right Foot,,,,"[39.0, 67.9]",,Ground Pass,,23.221542,,,Bethan Roberts,46636.0,,,,,,1,From Kick Off,Jessica Fishlock,5016.0,Right Defensive Midfield,2,Reading WFC,974,['3e4767a5-9d32-4fc2-b756-759c2eb4ba82'],3,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.397,Pass,
,,,,,,,,,,,,,,,1.384767,,,,,,,,,,,,2372abe5-8894-433e-a2af-ec626aae1568,11,,,"[39.0, 67.9]",3775571,0,,,,,-2.6050267,,Right Foot,,,,"[23.7, 58.8]",,Ground Pass,,17.801685,,,Deanna Cooper,20061.0,,,,,,1,From Kick Off,Bethan Roberts,46636.0,Right Back,2,Reading WFC,974,['08089488-1a42-496f-b04e-390e8a621864'],6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.189,Pass,
,,,,,,,,,,,,,,,2.173924,,,,,,,,,,,,11c7a367-e254-4314-87f6-126f6bb426ac,14,,,"[24.1, 53.3]",3775571,0,,,,,-1.5931568,,Right Foot,,,,"[23.4, 22.0]",,Ground Pass,,31.307827,,,Molly Bartrip,21021.0,,,,,,1,From Kick Off,Deanna Cooper,20061.0,Right Center Back,2,Reading WFC,974,['d5f41db1-31e3-4339-9759-63c1b0757d8e'],8,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.557,Pass,
